Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;30.27;30.27;30.27;30.27;3900;30.27
29.11.2021;09:35:00-000;30.22;30.22;30.22;30.22;500;30.22
29.11.2021;09:38:00-000;30.26;30.26;30.26;30.26;1148;30.26
29.11.2021;11:15:00-000;30.191;30.191;30.191;30.191;325;30.191
29.11.2021;13:26:00-000;30.31;30.31;30.31;30.31;700;30.31
29.11.2021;13:39:00-000;30.31;30.31;30.31;30.31;300;30.31
29.11.2021;14:32:00-000;30.29;30.29;30.29;30.29;1800;30.29
29.11.2021;15:15:00-000;30.31;30.31;30.31;30.31;500;30.31
29.11.2021;16:10:00-000;30.3031;30.3031;30.3031;30.3031;0;0
29.11.2021;18:30:00-000;30.3031;30.3031;30.3031;30.3031;0;0
29.11.2021;20:00:00-000;30.3031;30.3031;30.3031;30.3031;0;0
