Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:27:00-000;9.75;9.75;9.75;9.75;300;9.75
29.11.2021;11:38:00-000;9.75;9.75;9.75;9.75;300;9.75
29.11.2021;14:06:00-000;9.7452;9.75;9.7452;9.75;639;9.746
29.11.2021;14:49:00-000;9.75;9.75;9.75;9.75;100;9.75
29.11.2021;15:34:00-000;9.75;9.75;9.75;9.75;6793;9.75
29.11.2021;15:44:00-000;9.75;9.75;9.75;9.75;100;9.75
29.11.2021;15:47:00-000;9.73;9.76;9.73;9.76;6493;9.7585
29.11.2021;15:55:00-000;9.77;9.77;9.77;9.77;100;9.77
29.11.2021;15:58:00-000;9.77;9.77;9.77;9.77;100;9.77
29.11.2021;15:59:00-000;9.77;9.77;9.77;9.77;100;9.77
