Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;26.7;26.7;26.7;26.7;100;26.7
29.11.2021;09:47:00-000;26.3688;26.3688;26.3688;26.3688;100;26.3688
29.11.2021;09:56:00-000;26.57;26.57;26.57;26.57;100;26.57
29.11.2021;09:57:00-000;26.51;26.51;26.51;26.51;100;26.51
29.11.2021;10:35:00-000;26.52;26.52;26.52;26.52;100;26.52
29.11.2021;12:23:00-000;26.65;26.65;26.605;26.605;717;26.6215
29.11.2021;12:26:00-000;26.57;26.57;26.3;26.3;15387;26.3618
29.11.2021;12:27:00-000;26.45;26.45;26.45;26.45;100;26.45
29.11.2021;12:28:00-000;26.47;26.47;26.47;26.47;300;26.47
29.11.2021;13:06:00-000;26.33;26.33;26.33;26.33;700;26.33
29.11.2021;13:08:00-000;26.34;26.34;26.34;26.34;100;26.34
29.11.2021;13:45:00-000;26.36;26.36;26.32;26.32;1500;26.3353
29.11.2021;13:46:00-000;26.34;26.34;26.32;26.32;1000;26.328
29.11.2021;13:54:00-000;26.4095;26.4095;26.4095;26.4095;100;26.4095
29.11.2021;14:17:00-000;26.4;26.41;26.4;26.41;890;26.4089
29.11.2021;14:19:00-000;26.41;26.41;26.41;26.41;110;26.41
29.11.2021;14:20:00-000;26.34;26.3905;26.34;26.3905;600;26.3484
29.11.2021;14:31:00-000;26.41;26.41;26.41;26.41;100;26.41
29.11.2021;14:32:00-000;26.41;26.41;26.41;26.41;200;26.41
29.11.2021;14:33:00-000;26.4143;26.4143;26.4;26.4;400;26.4107
29.11.2021;14:34:00-000;26.4143;26.4143;26.4143;26.4143;300;26.4143
29.11.2021;14:35:00-000;26.42;26.45;26.42;26.45;600;26.425
29.11.2021;14:36:00-000;26.42;26.42;26.42;26.42;200;26.42
29.11.2021;14:40:00-000;26.4714;26.4714;26.4714;26.4714;300;26.4714
29.11.2021;14:42:00-000;26.4;26.4;26.4;26.4;300;26.4
29.11.2021;14:43:00-000;26.4714;26.4714;26.4714;26.4714;600;26.4714
29.11.2021;14:45:00-000;26.4;26.4;26.4;26.4;208;26.4
29.11.2021;14:55:00-000;26.4899;26.4899;26.4899;26.4899;200;26.4899
29.11.2021;14:58:00-000;26.43;26.43;26.43;26.43;100;26.43
29.11.2021;15:01:00-000;26.43;26.43;26.43;26.43;295;26.43
29.11.2021;15:11:00-000;26.43;26.43;26.43;26.43;390;26.43
29.11.2021;15:21:00-000;26.42;26.45;26.42;26.42;700;26.4371
29.11.2021;15:24:00-000;26.45;26.45;26.45;26.45;100;26.45
29.11.2021;15:26:00-000;26.45;26.5;26.45;26.5;1300;26.4669
29.11.2021;15:29:00-000;26.475;26.475;26.475;26.475;800;26.475
29.11.2021;15:30:00-000;26.5;26.5;26.5;26.5;400;26.5
29.11.2021;15:47:00-000;26.5;26.5;26.5;26.5;700;26.5
29.11.2021;15:56:00-000;26.5;26.5;26.5;26.5;514;26.5
29.11.2021;15:57:00-000;26.5;26.5;26.4999;26.5;4396;26.5
29.11.2021;16:00:00-000;26.69;26.69;26.69;26.69;150;26.69
29.11.2021;16:10:00-000;26.69;26.69;26.69;26.69;0;0
29.11.2021;18:30:00-000;26.69;26.69;26.69;26.69;0;0
29.11.2021;19:00:00-000;26.69;26.69;26.69;26.69;0;0
