Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:13:00-000;10.05;10.05;10.05;10.05;100;10.05
29.11.2021;07:04:00-000;10.01;10.01;10.01;10.01;500;10.01
29.11.2021;08:00:00-000;10;10;10;10;200;10
29.11.2021;08:05:00-000;10.01;10.01;10.01;10.01;470;10.01
29.11.2021;08:22:00-000;10.04;10.04;10.04;10.04;500;10.04
29.11.2021;08:27:00-000;10;10;10;10;470;10
29.11.2021;09:14:00-000;10.04;10.04;10.04;10.04;250;10.04
29.11.2021;09:20:00-000;10.05;10.05;10.05;10.05;250;10.05
29.11.2021;09:22:00-000;10.04;10.04;10.04;10.04;100;10.04
29.11.2021;09:29:00-000;10.02;10.02;10.02;10.02;100;10.02
29.11.2021;09:30:00-000;10.03;10.03;10.03;10.03;2404;10.03
29.11.2021;09:31:00-000;10.02;10.02;10.0162;10.0162;505;10.0176
29.11.2021;09:32:00-000;10.0289;10.0289;10.0289;10.0289;751;10.0289
29.11.2021;09:33:00-000;10.025;10.025;10.025;10.025;1278;10.025
29.11.2021;09:34:00-000;10.02;10.02;10.01;10.01;2675;10.0107
29.11.2021;09:38:00-000;10.0109;10.0109;10.0109;10.0109;400;10.0109
29.11.2021;09:45:00-000;10.0101;10.015;9.995;9.9999;41691;10.0057
29.11.2021;09:46:00-000;9.995;9.995;9.97;9.9795;46469;9.984
29.11.2021;09:50:00-000;9.9763;9.9789;9.9763;9.9789;253;9.9779
29.11.2021;09:52:00-000;9.9799;9.9799;9.9799;9.9799;230;9.9799
29.11.2021;09:53:00-000;9.98;9.98;9.98;9.98;200;9.98
29.11.2021;09:54:00-000;9.9794;9.9794;9.9794;9.9794;600;9.9794
29.11.2021;09:55:00-000;9.97;9.9781;9.97;9.9781;7836;9.9705
29.11.2021;09:57:00-000;9.975;9.975;9.975;9.975;552;9.9754
29.11.2021;09:59:00-000;9.98;9.98;9.98;9.98;1521;9.9799
29.11.2021;10:00:00-000;9.985;9.985;9.981;9.981;603;9.9823
29.11.2021;10:03:00-000;9.9813;9.99;9.9813;9.99;910;9.989
29.11.2021;10:05:00-000;9.985;9.99;9.985;9.985;6880;9.9878
29.11.2021;10:06:00-000;9.985;9.9875;9.985;9.985;500;9.9855
29.11.2021;10:07:00-000;9.985;9.9891;9.985;9.985;1443;9.9859
29.11.2021;10:08:00-000;9.985;9.985;9.985;9.985;200;9.985
29.11.2021;10:09:00-000;9.985;9.985;9.985;9.985;499;9.9854
29.11.2021;10:10:00-000;9.985;9.985;9.985;9.985;300;9.985
29.11.2021;10:11:00-000;9.985;9.985;9.985;9.985;481;9.9858
29.11.2021;10:12:00-000;9.985;9.985;9.985;9.985;780;9.9845
29.11.2021;10:13:00-000;9.985;9.985;9.985;9.985;301;9.985
29.11.2021;10:14:00-000;9.985;9.985;9.985;9.985;301;9.985
29.11.2021;10:15:00-000;9.985;9.985;9.985;9.985;300;9.985
29.11.2021;10:16:00-000;9.985;9.985;9.985;9.985;505;9.985
29.11.2021;10:17:00-000;9.985;9.99;9.985;9.985;31550;9.989
29.11.2021;10:18:00-000;9.985;9.99;9.9823;9.99;8300;9.9891
29.11.2021;10:19:00-000;9.985;9.985;9.985;9.985;300;9.985
29.11.2021;10:20:00-000;9.985;9.985;9.9801;9.985;1225;9.9845
29.11.2021;10:21:00-000;9.985;9.9893;9.985;9.985;1100;9.9857
29.11.2021;10:22:00-000;9.985;9.985;9.985;9.985;400;9.985
29.11.2021;10:23:00-000;9.985;9.985;9.985;9.985;875;9.9847
29.11.2021;10:24:00-000;9.985;9.9889;9.985;9.9889;401;9.986
29.11.2021;10:26:00-000;9.985;9.99;9.98;9.985;4124;9.9878
29.11.2021;10:27:00-000;9.99;9.99;9.99;9.99;1022;9.9898
29.11.2021;10:29:00-000;9.985;9.99;9.985;9.9899;2624;9.9856
29.11.2021;10:40:00-000;9.99;9.99;9.99;9.99;2373;9.99
29.11.2021;10:42:00-000;9.99;10;9.99;10;13222;9.9989
29.11.2021;10:43:00-000;10;10;9.99;9.99;2000;9.995
29.11.2021;10:45:00-000;10;10;9.99;9.99;10996;9.9994
29.11.2021;10:47:00-000;9.9995;10;9.9995;10;290;9.9976
29.11.2021;10:50:00-000;10;10;9.995;10;5502;9.9998
29.11.2021;10:51:00-000;9.995;10;9.995;9.9991;5322;9.9996
29.11.2021;10:55:00-000;9.9991;9.9991;9.9991;9.9991;401;9.9991
29.11.2021;10:59:00-000;9.995;10;9.995;10;576;9.9983
29.11.2021;11:02:00-000;10;10;10;10;500;10
29.11.2021;11:03:00-000;9.9923;9.9923;9.9923;9.9923;500;9.9923
29.11.2021;11:04:00-000;9.9966;9.9966;9.9966;9.9966;100;9.9966
29.11.2021;11:05:00-000;9.9901;9.9901;9.9901;9.9901;100;9.9901
29.11.2021;11:06:00-000;9.997;9.997;9.997;9.997;500;9.997
29.11.2021;11:09:00-000;10;10;10;10;1250;10
29.11.2021;11:12:00-000;10;10;10;10;100;10
29.11.2021;11:13:00-000;9.992;9.992;9.992;9.992;100;9.992
29.11.2021;11:19:00-000;9.99;9.9908;9.99;9.99;1256;9.9906
29.11.2021;11:20:00-000;9.9908;9.9908;9.9908;9.9908;1002;9.9908
29.11.2021;11:21:00-000;9.9988;9.9988;9.9988;9.9988;110;9.9988
29.11.2021;11:22:00-000;9.999;9.999;9.999;9.999;1007;9.9989
29.11.2021;11:23:00-000;9.9999;9.9999;9.9999;9.9999;200;9.9999
29.11.2021;11:24:00-000;9.992;9.992;9.992;9.992;100;9.992
29.11.2021;11:25:00-000;9.9909;9.9909;9.9909;9.9909;556;9.9916
29.11.2021;11:26:00-000;9.9906;9.9906;9.9906;9.9906;2369;9.9906
29.11.2021;11:27:00-000;9.991;9.991;9.991;9.991;310;9.9926
29.11.2021;11:32:00-000;9.9994;9.9994;9.9994;9.9994;2747;9.9994
29.11.2021;11:34:00-000;9.9999;9.9999;9.9999;9.9999;2508;9.9999
29.11.2021;11:37:00-000;9.9974;9.9974;9.9974;9.9974;5500;9.9974
29.11.2021;11:44:00-000;10;10;9.99;9.99;310;9.9935
29.11.2021;11:47:00-000;9.9912;9.9912;9.9912;9.9912;170;9.9922
29.11.2021;11:54:00-000;9.99;9.995;9.99;9.995;255;9.9922
29.11.2021;12:24:00-000;9.9992;9.9992;9.9992;9.9992;1000;9.9992
29.11.2021;12:27:00-000;9.992;9.992;9.992;9.992;111;9.9928
29.11.2021;12:30:00-000;9.992;9.995;9.99;9.99;15000;9.9903
29.11.2021;12:32:00-000;9.995;9.9999;9.99;9.9999;9050;9.9969
29.11.2021;12:33:00-000;9.9957;9.9957;9.9957;9.9957;2250;9.9957
29.11.2021;12:34:00-000;9.9994;9.9994;9.9994;9.9994;3500;9.9994
29.11.2021;12:35:00-000;9.9994;9.9994;9.9994;9.9994;1459;9.9994
29.11.2021;12:36:00-000;9.99;9.995;9.99;9.99;3200;9.9947
