Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:36:00-000;17.49;17.49;17.49;17.49;341;17.49
29.11.2021;09:30:00-000;17.56;17.56;17.56;17.56;3503;17.5601
29.11.2021;09:31:00-000;17.58;17.58;17.58;17.58;212;17.58
29.11.2021;09:32:00-000;17.59;17.65;17.59;17.6;7586;17.6115
29.11.2021;09:33:00-000;17.61;17.62;17.61;17.61;604;17.6131
29.11.2021;09:34:00-000;17.6;17.6;17.6;17.6;23710;17.6
29.11.2021;09:35:00-000;17.6;17.6;17.59;17.59;975;17.5966
29.11.2021;09:36:00-000;17.615;17.615;17.6;17.6;822;17.6065
29.11.2021;09:37:00-000;17.59;17.6;17.59;17.6;500;17.598
29.11.2021;09:38:00-000;17.5899;17.62;17.5899;17.62;2939;17.6053
29.11.2021;09:39:00-000;17.61;17.61;17.58;17.59;847;17.5967
29.11.2021;09:40:00-000;17.59;17.59;17.58;17.58;1209;17.5883
29.11.2021;09:41:00-000;17.58;17.58;17.54;17.54;6141;17.5616
29.11.2021;09:42:00-000;17.54;17.55;17.54;17.55;1288;17.5419
29.11.2021;09:43:00-000;17.53;17.53;17.53;17.53;302;17.5301
29.11.2021;09:45:00-000;17.53;17.54;17.5;17.54;2918;17.5163
29.11.2021;09:46:00-000;17.535;17.57;17.53;17.56;103030;17.5645
29.11.2021;09:47:00-000;17.58;17.59;17.58;17.59;232;17.5857
29.11.2021;09:48:00-000;17.59;17.6;17.59;17.6;1675;17.5918
29.11.2021;09:50:00-000;17.61;17.65;17.61;17.64;6230;17.6341
29.11.2021;09:51:00-000;17.63;17.63;17.555;17.555;2505;17.5961
29.11.2021;09:52:00-000;17.555;17.555;17.555;17.555;300;17.555
29.11.2021;09:53:00-000;17.56;17.56;17.555;17.555;200;17.5575
29.11.2021;09:54:00-000;17.555;17.56;17.55;17.56;2893;17.5555
29.11.2021;09:55:00-000;17.545;17.545;17.535;17.54;710;17.5531
29.11.2021;09:56:00-000;17.5482;17.5482;17.5482;17.5482;784;17.5482
29.11.2021;09:57:00-000;17.54;17.54;17.51;17.51;1052;17.5254
29.11.2021;09:58:00-000;17.5;17.505;17.49;17.505;2527;17.4931
