Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;6.7593;6.789;6.31;6.789;2231;6.3794
29.11.2021;09:34:00-000;6.3919;6.4899;6.3919;6.4899;1257;6.4295
29.11.2021;09:35:00-000;6.48;6.49;6.47;6.49;1503;6.488
29.11.2021;09:37:00-000;6.498;6.498;6.498;6.498;245;6.4889
29.11.2021;09:54:00-000;6.3854;6.3854;6.3854;6.3854;116;6.3854
29.11.2021;10:10:00-000;6.4;6.4;6.4;6.4;150;6.4
29.11.2021;10:14:00-000;6.48;6.48;6.48;6.48;121;6.475
29.11.2021;10:21:00-000;6.4678;6.4678;6.4678;6.4678;300;6.4678
29.11.2021;10:34:00-000;6.45;6.45;6.43;6.43;200;6.44
29.11.2021;10:38:00-000;6.42;6.42;6.41;6.41;436;6.4099
29.11.2021;10:57:00-000;6.3466;6.3466;6.3466;6.3466;100;6.3466
29.11.2021;11:19:00-000;6.435;6.4899;6.435;6.457;3612;6.47
29.11.2021;11:20:00-000;6.468;6.49;6.4;6.49;7477;6.4514
29.11.2021;11:21:00-000;6.5;6.5;6.48;6.488;4777;6.4975
29.11.2021;11:32:00-000;6.5;6.5;6.5;6.5;200;6.505
29.11.2021;11:38:00-000;6.51;6.51;6.51;6.51;500;6.51
29.11.2021;11:42:00-000;6.51;6.51;6.51;6.51;200;6.51
29.11.2021;11:50:00-000;6.48;6.49;6.48;6.49;2424;6.4842
29.11.2021;11:59:00-000;6.5;6.5;6.5;6.5;500;6.5
29.11.2021;12:00:00-000;6.51;6.51;6.51;6.51;701;6.51
29.11.2021;12:02:00-000;6.4901;6.5;6.49;6.49;6929;6.4913
29.11.2021;12:05:00-000;6.48;6.48;6.48;6.48;400;6.4801
29.11.2021;12:07:00-000;6.48;6.48;6.48;6.48;2789;6.48
29.11.2021;12:32:00-000;6.456;6.51;6.456;6.51;700;6.4937
29.11.2021;12:33:00-000;6.51;6.51;6.51;6.51;1730;6.51
29.11.2021;12:34:00-000;6.51;6.51;6.51;6.51;2174;6.5099
29.11.2021;12:35:00-000;6.51;6.52;6.51;6.52;1464;6.5139
29.11.2021;12:36:00-000;6.525;6.525;6.525;6.525;101;6.5252
29.11.2021;12:43:00-000;6.545;6.55;6.54;6.55;1000;6.548
