Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;24.82;24.82;24.82;24.82;250;24.82
29.11.2021;10:19:00-000;24.725;24.725;24.725;24.725;600;24.725
29.11.2021;10:20:00-000;24.7515;24.7515;24.7515;24.7515;125;24.7515
29.11.2021;10:30:00-000;24.7254;24.7254;24.7254;24.7254;405;24.7254
29.11.2021;10:48:00-000;24.7264;24.7264;24.7264;24.7264;450;24.7264
29.11.2021;11:04:00-000;24.81;24.81;24.81;24.81;200;24.81
29.11.2021;11:06:00-000;24.79;24.79;24.79;24.79;100;24.79
29.11.2021;11:10:00-000;24.79;24.79;24.79;24.79;100;24.79
29.11.2021;11:23:00-000;24.78;24.78;24.78;24.78;100;24.78
29.11.2021;11:27:00-000;24.78;24.78;24.78;24.78;100;24.78
29.11.2021;11:42:00-000;24.78;24.78;24.78;24.78;100;24.78
29.11.2021;11:47:00-000;24.717;24.79;24.717;24.7194;938;24.7257
29.11.2021;11:48:00-000;24.79;24.79;24.79;24.79;159;24.764
29.11.2021;12:01:00-000;24.79;24.79;24.79;24.79;100;24.79
29.11.2021;12:05:00-000;24.79;24.79;24.79;24.79;100;24.79
29.11.2021;12:14:00-000;24.795;24.81;24.76;24.76;800;24.7922
29.11.2021;12:15:00-000;24.79;24.79;24.79;24.79;100;24.79
29.11.2021;12:17:00-000;24.79;24.79;24.79;24.79;100;24.79
29.11.2021;12:18:00-000;24.8;24.81;24.8;24.81;627;24.802
29.11.2021;12:20:00-000;24.809;24.809;24.809;24.809;405;24.809
29.11.2021;12:22:00-000;24.81;24.81;24.81;24.81;100;24.81
29.11.2021;12:26:00-000;24.8099;24.8099;24.8099;24.8099;200;24.8099
29.11.2021;12:31:00-000;24.7887;24.7887;24.7887;24.7887;200;24.7887
29.11.2021;12:32:00-000;24.8;24.8;24.8;24.8;300;24.8
29.11.2021;12:35:00-000;24.77;24.77;24.77;24.77;200;24.77
29.11.2021;12:36:00-000;24.71;24.77;24.71;24.77;273;24.732
29.11.2021;12:37:00-000;24.8;24.8;24.8;24.8;100;24.8
29.11.2021;12:40:00-000;24.775;24.775;24.775;24.775;303;24.775
29.11.2021;12:45:00-000;24.7754;24.7754;24.7754;24.7754;303;24.7754
29.11.2021;12:49:00-000;24.78;24.78;24.78;24.78;200;24.78
29.11.2021;12:56:00-000;24.7615;24.7615;24.7615;24.7615;150;24.7615
