Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;3.9;3.9;3.9;3.9;344;3.9128
29.11.2021;04:13:00-000;3.9;3.9;3.89;3.89;917;3.8933
29.11.2021;04:14:00-000;3.89;3.89;3.89;3.89;148;3.89
29.11.2021;04:17:00-000;3.9;3.9;3.89;3.89;246;3.8941
29.11.2021;04:22:00-000;3.89;3.89;3.89;3.89;1917;3.89
29.11.2021;04:24:00-000;3.9;3.9;3.89;3.89;500;3.892
29.11.2021;04:29:00-000;3.9;3.9;3.9;3.9;100;3.9
29.11.2021;04:46:00-000;3.89;3.89;3.89;3.89;272;3.89
29.11.2021;05:26:00-000;3.9;3.9;3.9;3.9;100;3.9
29.11.2021;05:32:00-000;3.89;3.89;3.89;3.89;150;3.89
29.11.2021;05:41:00-000;3.9;3.9;3.9;3.9;200;3.9
29.11.2021;05:55:00-000;3.93;3.93;3.93;3.93;180;3.93
29.11.2021;06:03:00-000;3.91;3.91;3.9;3.9;200;3.905
29.11.2021;06:05:00-000;3.9;3.9;3.9;3.9;159;3.9
29.11.2021;06:30:00-000;3.9;3.9;3.9;3.9;200;3.9
29.11.2021;06:33:00-000;3.91;3.91;3.91;3.91;150;3.9067
29.11.2021;06:40:00-000;3.9;3.9;3.9;3.9;800;3.9
29.11.2021;07:00:00-000;3.93;3.93;3.93;3.93;2142;3.93
29.11.2021;07:01:00-000;3.92;3.92;3.9;3.9;3020;3.9023
29.11.2021;07:07:00-000;3.91;3.91;3.91;3.91;175;3.91
29.11.2021;07:08:00-000;3.9;3.9;3.9;3.9;100;3.9
29.11.2021;07:12:00-000;3.93;3.93;3.93;3.93;100;3.93
29.11.2021;07:17:00-000;3.92;3.92;3.92;3.92;100;3.92
29.11.2021;07:33:00-000;3.92;3.92;3.92;3.92;3000;3.92
29.11.2021;07:40:00-000;3.91;3.91;3.91;3.91;1300;3.91
29.11.2021;07:41:00-000;3.9;3.9;3.9;3.9;100;3.9
29.11.2021;07:42:00-000;3.9;3.9;3.9;3.9;1105;3.9
29.11.2021;07:59:00-000;3.9;3.9;3.9;3.9;100;3.9
29.11.2021;08:00:00-000;3.9299;3.93;3.8901;3.9099;15431;3.9162
29.11.2021;08:02:00-000;3.9;3.9;3.9;3.9;122;3.901
29.11.2021;08:03:00-000;3.9;3.9;3.9;3.9;1000;3.9
29.11.2021;08:10:00-000;3.91;3.91;3.91;3.91;10000;3.91
29.11.2021;08:11:00-000;3.9;3.9;3.9;3.9;199;3.9
29.11.2021;08:16:00-000;3.91;3.91;3.91;3.91;10000;3.91
29.11.2021;08:19:00-000;3.9;3.9;3.9;3.9;274;3.9
29.11.2021;08:27:00-000;3.9;3.9;3.9;3.9;199;3.9
29.11.2021;08:32:00-000;3.9;3.9;3.9;3.9;185;3.9019
29.11.2021;08:34:00-000;3.92;3.92;3.92;3.92;945;3.92
29.11.2021;08:35:00-000;3.92;3.92;3.92;3.92;200;3.92
29.11.2021;08:38:00-000;3.91;3.91;3.91;3.91;102;3.91
29.11.2021;08:41:00-000;3.91;3.91;3.91;3.91;1020;3.91
29.11.2021;08:42:00-000;3.91;3.91;3.91;3.91;1032;3.9097
29.11.2021;08:49:00-000;3.91;3.91;3.91;3.91;500;3.91
29.11.2021;08:50:00-000;3.91;3.91;3.91;3.91;226;3.91
29.11.2021;08:51:00-000;3.91;3.91;3.91;3.91;400;3.91
29.11.2021;08:52:00-000;3.91;3.91;3.91;3.91;300;3.91
29.11.2021;08:57:00-000;3.91;3.91;3.91;3.91;2000;3.91
29.11.2021;08:58:00-000;3.91;3.91;3.91;3.91;11214;3.91
29.11.2021;08:59:00-000;3.91;3.91;3.91;3.91;200;3.91
29.11.2021;09:00:00-000;3.91;3.91;3.9;3.9;11776;3.9056
29.11.2021;09:02:00-000;3.9;3.9001;3.9;3.9001;1757;3.9004
29.11.2021;09:04:00-000;3.91;3.91;3.91;3.91;4032;3.91
29.11.2021;09:05:00-000;3.9;3.9;3.9;3.9;543;3.9005
29.11.2021;09:06:00-000;3.91;3.91;3.91;3.91;1522;3.9099
29.11.2021;09:07:00-000;3.91;3.91;3.9;3.9;713;3.903
29.11.2021;09:09:00-000;3.9;3.9;3.9;3.9;500;3.9
29.11.2021;09:10:00-000;3.91;3.91;3.91;3.91;221;3.91
29.11.2021;09:11:00-000;3.91;3.91;3.91;3.91;749;3.91
29.11.2021;09:13:00-000;3.9;3.9;3.9;3.9;195;3.9
