Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;9.79;9.79;9.79;9.79;102;9.7902
29.11.2021;12:22:00-000;9.75;9.75;9.75;9.75;300;9.7505
29.11.2021;13:09:00-000;9.75;9.75;9.75;9.75;200;9.75
29.11.2021;13:37:00-000;9.76;9.76;9.76;9.76;1044;9.76
29.11.2021;14:30:00-000;9.7508;9.7508;9.7508;9.7508;100;9.7508
29.11.2021;15:10:00-000;9.75;9.75;9.75;9.75;999;9.75
29.11.2021;15:18:00-000;9.76;9.76;9.76;9.76;100;9.76
29.11.2021;16:10:00-000;9.76;9.76;9.76;9.76;0;0
29.11.2021;18:30:00-000;9.76;9.76;9.76;9.76;0;0
29.11.2021;19:00:00-000;9.76;9.76;9.76;9.76;0;0
