Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;11.42;11.42;11.42;11.42;218;11.4161
29.11.2021;04:12:00-000;11.45;11.45;11.45;11.45;277;11.4498
29.11.2021;04:22:00-000;11.48;11.49;11.48;11.49;370;11.4876
29.11.2021;04:24:00-000;11.49;11.49;11.49;11.49;100;11.49
29.11.2021;04:25:00-000;11.5;11.51;11.5;11.51;200;11.505
29.11.2021;04:27:00-000;11.5;11.5;11.5;11.5;100;11.5
29.11.2021;04:41:00-000;11.46;11.46;11.46;11.46;109;11.4608
29.11.2021;04:44:00-000;11.46;11.46;11.46;11.46;564;11.4591
29.11.2021;04:58:00-000;11.42;11.42;11.42;11.42;194;11.42
29.11.2021;05:35:00-000;11.25;11.25;11.25;11.25;108;11.2478
29.11.2021;06:10:00-000;11.46;11.46;11.46;11.46;600;11.46
29.11.2021;07:04:00-000;11.38;11.38;11.38;11.38;150;11.38
29.11.2021;07:11:00-000;11.33;11.33;11.33;11.33;183;11.3311
29.11.2021;07:48:00-000;11.36;11.36;11.36;11.36;100;11.36
29.11.2021;07:50:00-000;11.36;11.36;11.36;11.36;202;11.36
29.11.2021;07:51:00-000;11.37;11.37;11.37;11.37;152;11.3718
29.11.2021;08:00:00-000;11.3;11.39;11.23;11.36;2897;11.3184
29.11.2021;08:56:00-000;11.41;11.41;11.41;11.41;269;11.4087
29.11.2021;09:10:00-000;11.42;11.42;11.41;11.41;868;11.4177
29.11.2021;09:11:00-000;11.42;11.42;11.42;11.42;700;11.42
29.11.2021;09:17:00-000;11.41;11.41;11.41;11.41;170;11.4059
29.11.2021;09:19:00-000;11.45;11.45;11.45;11.45;1258;11.4492
29.11.2021;09:21:00-000;11.46;11.5;11.46;11.5;4521;11.4976
29.11.2021;09:22:00-000;11.57;11.57;11.57;11.57;252;11.57
29.11.2021;09:25:00-000;11.59;11.8;11.56;11.79;9134;11.7639
29.11.2021;09:29:00-000;11.8;11.82;11.79;11.82;2164;11.8084
29.11.2021;09:30:00-000;11.78;11.78;11.6;11.64;152870;11.777
29.11.2021;09:31:00-000;11.6634;11.68;11.59;11.59;4918;11.61
29.11.2021;09:32:00-000;11.55;11.55;11.5;11.505;2701;11.5183
29.11.2021;09:33:00-000;11.472;11.472;11.42;11.42;3619;11.4479
29.11.2021;09:34:00-000;11.4244;11.45;11.4244;11.45;1356;11.4317
29.11.2021;09:35:00-000;11.42;11.42;11.385;11.42;2949;11.4104
