Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:32:00-000;182.3;182.3;182.3;182.3;146;182.3
29.11.2021;05:09:00-000;182.75;182.75;182.75;182.75;847;182.75
29.11.2021;05:10:00-000;182.75;182.75;182.75;182.75;135;182.75
29.11.2021;06:45:00-000;183.3;183.3;183.3;183.3;156;183.3
29.11.2021;06:47:00-000;183.3;183.3;183.3;183.3;815;183.293
29.11.2021;07:21:00-000;183;183;183;183;294;183
29.11.2021;07:50:00-000;182.48;182.48;182.48;182.48;302;182.477
29.11.2021;08:00:00-000;183.99;183.99;183;183;367;183.176
29.11.2021;08:09:00-000;183;183;183;183;1412;182.945
29.11.2021;08:13:00-000;183;183;183;183;165;183
29.11.2021;08:17:00-000;183;183;183;183;500;182.994
29.11.2021;08:20:00-000;183;183;183;183;305;182.998
29.11.2021;08:23:00-000;183;183;183;183;200;183
29.11.2021;08:34:00-000;183;183;183;183;1138;182.998
29.11.2021;08:42:00-000;183.03;183.03;183.03;183.03;305;183.204
29.11.2021;08:43:00-000;183.04;183.04;183.04;183.04;296;183.18
29.11.2021;08:45:00-000;184;184;184;184;321;183.976
29.11.2021;08:49:00-000;184;184;183.96;183.96;301;183.971
29.11.2021;08:50:00-000;183.88;183.88;183.88;183.88;192;183.857
29.11.2021;08:52:00-000;183.88;183.88;183.88;183.88;504;183.873
29.11.2021;08:58:00-000;183.88;183.88;183.88;183.88;409;183.872
29.11.2021;09:06:00-000;183.51;183.51;183.51;183.51;134;183.584
29.11.2021;09:12:00-000;183.81;183.81;183.81;183.81;270;183.81
29.11.2021;09:21:00-000;184.27;184.27;184.27;184.27;449;184.27
29.11.2021;09:22:00-000;184.956;184.956;184.956;184.956;500;184.956
29.11.2021;09:30:00-000;183.87;186.23;183.8;186.23;44477;184.226
29.11.2021;09:31:00-000;186.34;186.99;186.15;186.94;7501;186.51
29.11.2021;09:32:00-000;186.553;186.89;185.627;186.26;16724;186.185
29.11.2021;09:33:00-000;186.15;186.34;185.16;185.62;21325;185.903
29.11.2021;09:34:00-000;185.41;186.3;185.24;186.27;14723;185.806
29.11.2021;09:35:00-000;185.93;186.44;185.53;186.38;17931;185.97
29.11.2021;09:36:00-000;186.3;186.5;185.84;186.28;8709;186.147
29.11.2021;09:37:00-000;186.29;186.29;184.92;185.57;19420;185.656
29.11.2021;09:38:00-000;185.665;185.84;184.845;185.03;9997;185.442
