Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;32.26;32.34;32.26;32.34;1509;32.2887
29.11.2021;09:32:00-000;32.54;32.54;32.52;32.52;300;32.5267
29.11.2021;09:35:00-000;32.26;32.26;32.26;32.26;100;32.26
29.11.2021;09:37:00-000;32.2856;32.2856;32.2856;32.2856;140;32.2856
29.11.2021;09:38:00-000;32.15;32.15;32.15;32.15;300;32.15
29.11.2021;09:41:00-000;32.1462;32.1462;32.1462;32.1462;242;32.1464
29.11.2021;09:44:00-000;32.1;32.1;32.1;32.1;100;32.1
29.11.2021;09:45:00-000;32.01;32.01;32.01;32.01;110;32.0091
29.11.2021;09:46:00-000;31.9254;31.9254;31.9254;31.9254;227;31.925
29.11.2021;09:47:00-000;31.94;31.94;31.94;31.94;246;31.941
29.11.2021;09:48:00-000;31.855;31.855;31.855;31.855;150;31.8403
29.11.2021;09:52:00-000;31.75;31.75;31.72;31.72;203;31.734
29.11.2021;10:04:00-000;31.59;31.6629;31.581;31.6629;4502;31.6062
29.11.2021;10:06:00-000;31.65;31.65;31.65;31.65;147;31.675
29.11.2021;10:12:00-000;31.68;31.68;31.68;31.68;100;31.68
29.11.2021;10:21:00-000;31.6925;31.6925;31.6925;31.6925;150;31.6925
29.11.2021;10:22:00-000;31.72;31.72;31.72;31.72;100;31.72
29.11.2021;10:26:00-000;31.6173;31.6173;31.6173;31.6173;960;31.6173
29.11.2021;10:29:00-000;31.57;31.57;31.57;31.57;100;31.57
29.11.2021;10:32:00-000;31.4827;31.4827;31.4827;31.4827;951;31.4826
29.11.2021;10:35:00-000;31.53;31.53;31.53;31.53;100;31.53
29.11.2021;10:45:00-000;31.41;31.41;31.41;31.41;100;31.41
29.11.2021;10:48:00-000;31.39;31.39;31.39;31.39;100;31.39
29.11.2021;10:55:00-000;31.5;31.5;31.5;31.5;100;31.5
29.11.2021;10:56:00-000;31.485;31.485;31.485;31.485;477;31.4849
29.11.2021;11:05:00-000;31.56;31.56;31.56;31.56;104;31.56
29.11.2021;11:14:00-000;31.54;31.54;31.54;31.54;104;31.5404
29.11.2021;11:29:00-000;31.3802;31.3802;31.3802;31.3802;5300;31.3802
29.11.2021;11:31:00-000;31.31;31.3166;31.3;31.3;953;31.3051
29.11.2021;11:35:00-000;31.27;31.27;31.27;31.27;1277;31.27
29.11.2021;11:37:00-000;31.27;31.27;31.27;31.27;100;31.27
29.11.2021;11:38:00-000;31.2;31.2;31.2;31.2;212;31.2023
29.11.2021;11:53:00-000;31.54;31.54;31.54;31.54;300;31.54
29.11.2021;12:01:00-000;31.6;31.6;31.6;31.6;100;31.6
29.11.2021;12:08:00-000;31.6536;31.6536;31.6536;31.6536;159;31.6539
29.11.2021;12:22:00-000;31.805;31.805;31.805;31.805;138;31.805
29.11.2021;12:33:00-000;31.93;31.93;31.93;31.93;160;31.93
29.11.2021;12:44:00-000;32.03;32.03;32.03;32.03;100;32.03
29.11.2021;12:46:00-000;32.035;32.035;32.035;32.035;320;32.035
29.11.2021;12:51:00-000;32.02;32.02;32.02;32.02;187;32.006
29.11.2021;13:14:00-000;31.92;31.92;31.92;31.92;175;31.92
29.11.2021;13:17:00-000;31.878;31.878;31.878;31.878;500;31.878
29.11.2021;13:36:00-000;32.0199;32.0199;32.0199;32.0199;100;32.0199
29.11.2021;13:49:00-000;31.929;31.929;31.929;31.929;190;31.929
29.11.2021;13:53:00-000;31.9631;31.9631;31.9631;31.9631;3193;31.9627
29.11.2021;14:05:00-000;32;32;32;32;2132;32
29.11.2021;14:15:00-000;31.92;31.92;31.92;31.92;400;31.92
29.11.2021;14:23:00-000;31.9596;31.9596;31.9596;31.9596;235;31.9596
29.11.2021;14:30:00-000;31.8;31.8;31.8;31.8;113;31.7987
29.11.2021;14:31:00-000;31.69;31.69;31.69;31.69;1301;31.69
29.11.2021;14:33:00-000;31.75;31.75;31.75;31.75;1108;31.75
29.11.2021;14:35:00-000;31.71;31.71;31.71;31.71;114;31.7112
29.11.2021;15:00:00-000;31.735;31.735;31.735;31.735;102;31.736
29.11.2021;15:17:00-000;31.825;31.825;31.825;31.825;227;31.8252
29.11.2021;15:46:00-000;31.5566;31.5566;31.5566;31.5566;100;31.5566
29.11.2021;15:50:00-000;31.57;31.58;31.53;31.53;1124;31.5704
29.11.2021;15:52:00-000;31.57;31.57;31.57;31.57;100;31.57
29.11.2021;15:56:00-000;31.59;31.59;31.59;31.59;200;31.59
29.11.2021;15:59:00-000;31.6;31.6;31.6;31.6;153;31.5958
