Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;56.86;56.86;56.86;56.86;463;56.8598
29.11.2021;09:49:00-000;56.71;56.71;56.71;56.71;3700;56.71
29.11.2021;11:20:00-000;56.65;56.6544;56.63;56.63;1693;56.6437
29.11.2021;11:23:00-000;56.665;56.665;56.665;56.665;120;56.665
29.11.2021;12:08:00-000;56.87;56.87;56.87;56.87;200;56.87
29.11.2021;13:50:00-000;56.95;56.95;56.95;56.95;241;56.95
29.11.2021;14:01:00-000;56.98;56.98;56.96;56.96;948;56.9687
29.11.2021;14:33:00-000;56.95;56.95;56.95;56.95;3300;56.95
29.11.2021;14:34:00-000;56.94;56.94;56.94;56.94;2400;56.94
29.11.2021;14:39:00-000;56.93;56.93;56.93;56.93;551;56.93
29.11.2021;14:54:00-000;56.91;56.91;56.91;56.91;136;56.91
29.11.2021;15:27:00-000;56.8909;56.8909;56.8909;56.8909;143;56.8909
29.11.2021;15:50:00-000;56.83;56.83;56.83;56.83;200;56.83
29.11.2021;15:53:00-000;56.85;56.85;56.8482;56.8482;777;56.8496
29.11.2021;15:56:00-000;56.86;56.86;56.86;56.86;338;56.86
29.11.2021;16:10:00-000;56.8555;56.8555;56.8555;56.8555;0;0
29.11.2021;18:30:00-000;56.8555;56.8555;56.8555;56.8555;0;0
29.11.2021;20:00:00-000;56.8555;56.8555;56.8555;56.8555;0;0
