Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:14:00-000;0.51;0.51;0.51;0.51;328;0.51
29.11.2021;06:30:00-000;0.51;0.51;0.51;0.51;630;0.51
29.11.2021;09:30:00-000;0.5355;0.5355;0.5355;0.5355;312;0.5367
29.11.2021;09:32:00-000;0.5357;0.5357;0.5357;0.5357;10000;0.5357
29.11.2021;09:33:00-000;0.5355;0.5355;0.5355;0.5355;2642;0.5359
29.11.2021;09:34:00-000;0.52;0.52;0.52;0.52;4150;0.52
29.11.2021;09:43:00-000;0.52;0.52;0.52;0.52;100;0.52
29.11.2021;09:44:00-000;0.5567;0.5568;0.5567;0.5568;300;0.5568
29.11.2021;09:51:00-000;0.53;0.57;0.53;0.57;2081;0.5681
29.11.2021;09:52:00-000;0.53;0.53;0.53;0.53;1258;0.53
29.11.2021;09:53:00-000;0.53;0.53;0.53;0.53;200;0.53
29.11.2021;10:00:00-000;0.53;0.53;0.53;0.53;100;0.53
29.11.2021;10:01:00-000;0.53;0.53;0.53;0.53;561;0.53
29.11.2021;10:43:00-000;0.53;0.53;0.525;0.525;1308;0.5262
29.11.2021;10:47:00-000;0.5202;0.5202;0.5201;0.5201;1500;0.5201
29.11.2021;10:55:00-000;0.5299;0.532;0.5299;0.532;24524;0.5304
29.11.2021;10:56:00-000;0.5319;0.5399;0.5319;0.532;7943;0.533
29.11.2021;10:57:00-000;0.5311;0.5311;0.52;0.52;26500;0.5242
29.11.2021;11:15:00-000;0.53;0.5301;0.52;0.52;7120;0.5217
29.11.2021;11:21:00-000;0.5151;0.5151;0.5151;0.5151;7023;0.5151
29.11.2021;11:37:00-000;0.5101;0.515;0.51;0.515;4713;0.5111
29.11.2021;11:41:00-000;0.5051;0.5051;0.5051;0.5051;738;0.5051
29.11.2021;11:46:00-000;0.51;0.53;0.51;0.53;969;0.5217
29.11.2021;11:48:00-000;0.51;0.52;0.51;0.52;881;0.5166
29.11.2021;11:50:00-000;0.51;0.53;0.51;0.53;881;0.5198
29.11.2021;11:52:00-000;0.5356;0.5356;0.5356;0.5356;158;0.5356
29.11.2021;11:55:00-000;0.51;0.5106;0.51;0.5106;201;0.5104
29.11.2021;12:06:00-000;0.51;0.51;0.51;0.51;100;0.51
29.11.2021;12:08:00-000;0.506;0.506;0.506;0.506;1552;0.506
29.11.2021;12:26:00-000;0.5103;0.5103;0.5103;0.5103;150;0.5104
29.11.2021;12:33:00-000;0.5101;0.5101;0.5101;0.5101;3000;0.5101
29.11.2021;12:38:00-000;0.51;0.5103;0.51;0.5103;1814;0.5101
29.11.2021;12:39:00-000;0.5061;0.5061;0.5061;0.5061;877;0.5061
29.11.2021;12:51:00-000;0.5061;0.5061;0.5061;0.5061;502;0.5061
29.11.2021;12:55:00-000;0.5062;0.5062;0.5062;0.5062;700;0.5062
29.11.2021;12:56:00-000;0.5063;0.5063;0.5063;0.5063;1000;0.5063
