Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;34.19;34.19;34.19;34.19;841;34.2104
29.11.2021;09:44:00-000;34.08;34.08;34.08;34.08;220;34.0694
29.11.2021;10:07:00-000;33.77;33.77;33.77;33.77;119;33.7828
29.11.2021;10:31:00-000;33.67;33.67;33.67;33.67;321;33.6698
29.11.2021;10:37:00-000;33.48;33.565;33.47;33.565;772;33.4804
29.11.2021;10:56:00-000;33.45;33.45;33.44;33.44;307;33.4447
29.11.2021;11:00:00-000;33.4201;33.49;33.4201;33.49;438;33.4779
29.11.2021;11:02:00-000;33.55;33.55;33.55;33.55;566;33.549
29.11.2021;11:17:00-000;33.63;33.63;33.63;33.63;220;33.628
29.11.2021;11:18:00-000;33.59;33.59;33.59;33.59;117;33.594
29.11.2021;11:41:00-000;33.57;33.57;33.57;33.57;127;33.5772
29.11.2021;11:45:00-000;33.69;33.69;33.69;33.69;357;33.6662
29.11.2021;12:19:00-000;33.81;33.81;33.81;33.81;325;33.8102
29.11.2021;12:21:00-000;34.02;34.02;34.02;34.02;455;33.9061
29.11.2021;12:27:00-000;34.14;34.14;34.14;34.14;103;34.1393
29.11.2021;12:39:00-000;33.9908;33.9908;33.9908;33.9908;1590;33.9959
29.11.2021;13:51:00-000;34.11;34.11;34.11;34.11;145;34.1032
29.11.2021;14:23:00-000;34.04;34.04;34.04;34.04;527;34.0186
29.11.2021;14:36:00-000;33.97;33.97;33.95;33.95;447;33.9626
29.11.2021;14:37:00-000;33.98;34;33.96;34;891;33.9825
29.11.2021;14:38:00-000;34.07;34.07;34.07;34.07;123;34.0663
29.11.2021;14:45:00-000;34.06;34.06;34.06;34.06;522;34.0529
29.11.2021;14:54:00-000;34;34;33.98;34;1005;34.0068
29.11.2021;14:55:00-000;34.13;34.13;34.13;34.13;145;34.1279
29.11.2021;15:00:00-000;34.02;34.02;34.02;34.02;103;34.0235
29.11.2021;15:19:00-000;34.02;34.02;33.91;33.91;557;33.9673
29.11.2021;15:20:00-000;33.9;33.9;33.9;33.9;179;33.9132
29.11.2021;15:22:00-000;33.93;33.93;33.92;33.92;277;33.9342
29.11.2021;15:25:00-000;33.92;33.92;33.92;33.92;144;33.9331
29.11.2021;15:26:00-000;33.93;33.95;33.92;33.95;1004;33.9214
29.11.2021;15:31:00-000;33.89;33.89;33.89;33.89;124;33.8765
29.11.2021;15:32:00-000;33.74;33.74;33.74;33.74;231;33.7654
29.11.2021;15:34:00-000;33.78;33.78;33.78;33.78;104;33.7835
29.11.2021;15:35:00-000;33.78;33.78;33.78;33.78;268;33.7935
29.11.2021;15:36:00-000;33.77;33.77;33.75;33.75;266;33.7633
29.11.2021;15:37:00-000;33.77;33.8;33.77;33.8;1537;33.7838
29.11.2021;15:38:00-000;33.79;33.79;33.79;33.79;641;33.79
29.11.2021;15:39:00-000;33.74;33.8;33.74;33.8;450;33.768
29.11.2021;15:42:00-000;33.76;33.76;33.76;33.76;737;33.7604
29.11.2021;15:45:00-000;33.78;33.78;33.78;33.78;288;33.769
29.11.2021;15:49:00-000;33.75;33.83;33.75;33.83;369;33.7762
29.11.2021;15:52:00-000;33.64;33.64;33.64;33.64;114;33.6507
29.11.2021;15:53:00-000;33.66;33.66;33.66;33.66;185;33.6738
29.11.2021;15:54:00-000;33.7;33.7;33.62;33.62;589;33.648
29.11.2021;15:55:00-000;33.7;33.7;33.7;33.7;563;33.6964
29.11.2021;15:56:00-000;33.7;33.73;33.7;33.73;573;33.7141
29.11.2021;15:58:00-000;33.76;33.76;33.76;33.76;283;33.7947
29.11.2021;15:59:00-000;33.75;33.76;33.73;33.76;1480;33.7449
29.11.2021;16:00:00-000;33.74;33.74;33.74;33.74;4926;33.74
