Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;14.31;14.31;14.27;14.27;1391;14.3268
29.11.2021;09:31:00-000;14.36;14.36;14.36;14.36;281;14.3531
29.11.2021;09:34:00-000;14.26;14.2956;14.25;14.25;1237;14.2705
29.11.2021;09:45:00-000;14.15;14.15;14.15;14.15;345;14.15
29.11.2021;09:46:00-000;14.12;14.12;14.12;14.12;234;14.1225
29.11.2021;09:56:00-000;14.19;14.19;14.19;14.19;389;14.2007
29.11.2021;09:57:00-000;14.1967;14.1967;14.1967;14.1967;100;14.1967
29.11.2021;09:58:00-000;14.2;14.2;14.2;14.2;110;14.2
29.11.2021;10:10:00-000;14.13;14.13;14.13;14.13;707;14.1311
29.11.2021;10:11:00-000;14.12;14.12;14.12;14.12;203;14.12
29.11.2021;10:19:00-000;14.14;14.14;14.14;14.14;104;14.1412
29.11.2021;10:20:00-000;14.16;14.16;14.16;14.16;102;14.16
29.11.2021;10:22:00-000;14.2;14.2;14.2;14.2;332;14.1805
29.11.2021;10:26:00-000;14.17;14.17;14.17;14.17;173;14.1738
29.11.2021;10:27:00-000;14.13;14.15;14.13;14.15;1196;14.1357
29.11.2021;10:28:00-000;14.15;14.15;14.15;14.15;100;14.15
29.11.2021;10:31:00-000;14.12;14.14;14.1;14.14;3580;14.1006
29.11.2021;10:37:00-000;14.1;14.1;14.1;14.1;139;14.1001
29.11.2021;10:40:00-000;14.08;14.08;14.06;14.06;319;14.0663
29.11.2021;10:41:00-000;14.05;14.05;14.05;14.05;292;14.0532
29.11.2021;10:50:00-000;14.06;14.06;14.05;14.05;282;14.056
29.11.2021;10:52:00-000;14.07;14.07;14.07;14.07;188;14.0663
29.11.2021;10:53:00-000;14.04;14.05;14.04;14.05;324;14.0395
29.11.2021;10:58:00-000;14.03;14.03;14.02;14.02;1116;14.0285
29.11.2021;11:14:00-000;14.02;14.02;14.02;14.02;1537;14.0204
29.11.2021;11:15:00-000;14.0156;14.0156;14.0156;14.0156;600;14.0156
29.11.2021;11:17:00-000;14.02;14.02;14.02;14.02;100;14.02
29.11.2021;11:19:00-000;13.99;13.99;13.99;13.99;139;13.991
29.11.2021;11:20:00-000;13.99;13.99;13.99;13.99;101;13.9905
29.11.2021;11:24:00-000;13.995;13.995;13.995;13.995;114;13.9935
29.11.2021;11:27:00-000;13.98;13.98;13.98;13.98;638;13.9858
29.11.2021;11:31:00-000;14;14;14;14;1125;13.9974
29.11.2021;11:34:00-000;14.01;14.01;14.01;14.01;297;14.0066
29.11.2021;11:40:00-000;14;14;14;14;368;13.9962
29.11.2021;11:43:00-000;14.01;14.01;13.96;13.9837;1420;13.9869
29.11.2021;11:44:00-000;13.9774;14.01;13.9774;14.01;6765;13.9787
29.11.2021;11:45:00-000;13.99;13.99;13.99;13.99;2023;13.9903
29.11.2021;11:46:00-000;13.9401;14.02;13.9401;14.02;5743;13.9433
29.11.2021;11:47:00-000;14.02;14.02;14.005;14.005;303;14.0096
29.11.2021;11:48:00-000;13.99;14.05;13.99;14.04;301;14.0266
29.11.2021;11:49:00-000;14.04;14.04;14.04;14.04;201;14.0398
29.11.2021;12:01:00-000;14.04;14.04;14.04;14.04;103;14.0399
29.11.2021;12:10:00-000;14.065;14.065;14.065;14.065;155;14.0645
29.11.2021;12:29:00-000;14.05;14.05;14.05;14.05;103;14.0502
29.11.2021;12:31:00-000;14.07;14.07;14.07;14.07;301;14.0634
29.11.2021;12:37:00-000;14.05;14.05;14.05;14.05;103;14.0502
29.11.2021;12:38:00-000;14.0755;14.0755;14.0755;14.0755;521;14.0738
29.11.2021;12:48:00-000;14.08;14.08;14.08;14.08;173;14.0795
29.11.2021;12:57:00-000;14.09;14.105;14.09;14.105;773;14.1001
29.11.2021;13:02:00-000;14.11;14.13;14.11;14.13;317;14.1211
29.11.2021;13:05:00-000;14.15;14.15;14.15;14.15;102;14.15
29.11.2021;13:14:00-000;14.15;14.15;14.1;14.1;973;14.145
29.11.2021;13:15:00-000;14.15;14.15;14.15;14.15;281;14.104
29.11.2021;13:21:00-000;14.09;14.09;14.09;14.09;101;14.09
29.11.2021;13:22:00-000;14.171;14.171;14.171;14.171;160;14.1705
29.11.2021;13:35:00-000;14.1;14.1;14.1;14.1;682;14.105
29.11.2021;13:37:00-000;14.1;14.1;14.1;14.1;468;14.0999
29.11.2021;13:48:00-000;14.1;14.13;14.1;14.12;1136;14.1192
29.11.2021;13:54:00-000;14.07;14.07;14.07;14.07;847;14.1087
29.11.2021;14:00:00-000;14.08;14.08;14.08;14.08;480;14.08
29.11.2021;14:01:00-000;14.07;14.07;14.07;14.07;200;14.07
29.11.2021;14:05:00-000;14.08;14.08;14.08;14.08;202;14.08
