Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:10:00-000;1.91;1.91;1.91;1.91;141;1.91
29.11.2021;08:29:00-000;1.86;1.86;1.86;1.86;3000;1.86
29.11.2021;08:32:00-000;1.86;1.86;1.86;1.86;150;1.86
29.11.2021;08:42:00-000;1.86;1.86;1.86;1.86;2999;1.86
29.11.2021;09:16:00-000;1.9;1.9;1.9;1.9;118;1.9
29.11.2021;09:17:00-000;1.9099;1.9099;1.9099;1.9099;1100;1.9099
29.11.2021;09:30:00-000;1.88;1.91;1.88;1.91;7171;1.8877
29.11.2021;09:31:00-000;1.917;1.917;1.917;1.917;400;1.917
29.11.2021;09:32:00-000;1.9166;1.92;1.905;1.905;1985;1.9175
29.11.2021;09:33:00-000;1.905;1.905;1.905;1.905;200;1.905
29.11.2021;09:34:00-000;1.89;1.89;1.89;1.89;2301;1.89
29.11.2021;09:36:00-000;1.885;1.885;1.885;1.885;265;1.885
29.11.2021;09:37:00-000;1.88;1.89;1.88;1.89;1494;1.881
29.11.2021;09:38:00-000;1.9;1.9;1.9;1.9;350;1.9
29.11.2021;09:40:00-000;1.89;1.89;1.8892;1.8892;1879;1.8895
29.11.2021;09:42:00-000;1.88;1.88;1.88;1.88;2226;1.88
29.11.2021;09:43:00-000;1.8605;1.8605;1.86;1.86;4119;1.8605
29.11.2021;09:44:00-000;1.86;1.86;1.86;1.86;2490;1.86
29.11.2021;09:45:00-000;1.86;1.86;1.86;1.86;727;1.8597
29.11.2021;09:46:00-000;1.855;1.855;1.85;1.855;3750;1.8538
29.11.2021;09:47:00-000;1.851;1.851;1.85;1.85;4535;1.8504
29.11.2021;09:49:00-000;1.85;1.8505;1.85;1.8505;279;1.8505
29.11.2021;09:50:00-000;1.85;1.852;1.85;1.85;2678;1.8505
29.11.2021;09:51:00-000;1.8407;1.8407;1.8407;1.8407;300;1.8407
29.11.2021;09:52:00-000;1.84;1.84;1.84;1.84;2351;1.84
29.11.2021;09:53:00-000;1.84;1.845;1.84;1.845;8241;1.8416
29.11.2021;09:54:00-000;1.85;1.8502;1.845;1.85;9858;1.85
29.11.2021;09:55:00-000;1.84;1.845;1.83;1.845;30691;1.8382
29.11.2021;09:56:00-000;1.845;1.85;1.8415;1.8415;1492;1.8477
