Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:25:00-000;29.05;29.05;29.05;29.05;656;29.0625
29.11.2021;09:30:00-000;29.11;29.11;28.9;28.9;11356;28.9143
29.11.2021;09:32:00-000;29.65;29.65;29.63;29.65;607;29.5807
29.11.2021;09:37:00-000;29.29;29.29;29.29;29.29;166;29.3103
29.11.2021;09:39:00-000;29.34;29.34;29.34;29.34;435;29.3336
29.11.2021;09:40:00-000;29.31;29.31;29.21;29.26;740;29.2447
29.11.2021;09:41:00-000;29.16;29.24;29.16;29.24;376;29.1808
29.11.2021;09:42:00-000;29.18;29.28;29.18;29.28;1162;29.2463
29.11.2021;09:44:00-000;29.41;29.41;29.41;29.41;199;29.3677
29.11.2021;09:45:00-000;29.32;29.37;29.32;29.37;288;29.3377
29.11.2021;09:46:00-000;29.3294;29.3294;29.3294;29.3294;250;29.3294
29.11.2021;09:47:00-000;29.38;29.38;29.38;29.38;205;29.36
29.11.2021;09:48:00-000;29.44;29.44;29.375;29.375;300;29.395
29.11.2021;09:49:00-000;29.43;29.48;29.42;29.48;852;29.4333
29.11.2021;09:51:00-000;29.48;29.48;29.43;29.48;504;29.4621
29.11.2021;09:52:00-000;29.58;29.58;29.58;29.58;186;29.5412
29.11.2021;09:53:00-000;29.69;29.79;29.69;29.79;364;29.7391
29.11.2021;09:54:00-000;29.72;29.9;29.72;29.885;708;29.8264
29.11.2021;09:56:00-000;29.89;29.89;29.89;29.89;540;29.8994
29.11.2021;09:57:00-000;29.965;29.965;29.965;29.965;349;29.8283
29.11.2021;09:58:00-000;29.925;29.925;29.925;29.925;102;29.9235
29.11.2021;10:00:00-000;29.885;29.885;29.885;29.885;302;29.7825
29.11.2021;10:01:00-000;29.81;29.81;29.72;29.72;1053;29.716
29.11.2021;10:02:00-000;29.67;29.67;29.67;29.67;245;29.6645
29.11.2021;10:03:00-000;29.67;29.67;29.67;29.67;307;29.6179
29.11.2021;10:05:00-000;29.52;29.6;29.51;29.51;1835;29.5247
29.11.2021;10:06:00-000;29.53;29.58;29.53;29.56;989;29.553
29.11.2021;10:07:00-000;29.64;29.64;29.52;29.59;928;29.5565
29.11.2021;10:08:00-000;29.47;29.47;29.46;29.46;449;29.4547
29.11.2021;10:09:00-000;29.43;29.43;29.405;29.405;328;29.4174
29.11.2021;10:11:00-000;29.355;29.355;29.355;29.355;125;29.3578
29.11.2021;10:13:00-000;29.39;29.39;29.29;29.29;218;29.3377
29.11.2021;10:14:00-000;29.4;29.435;29.4;29.435;492;29.4266
29.11.2021;10:15:00-000;29.55;29.55;29.43;29.43;371;29.4551
29.11.2021;10:16:00-000;29.46;29.46;29.45;29.45;336;29.4259
29.11.2021;10:17:00-000;29.5;29.5;29.5;29.5;346;29.5383
29.11.2021;10:18:00-000;29.449;29.55;29.43;29.52;2696;29.5144
29.11.2021;10:20:00-000;29.61;29.61;29.61;29.61;414;29.5987
29.11.2021;10:21:00-000;29.5;29.5;29.5;29.5;463;29.5097
29.11.2021;10:22:00-000;29.51;29.51;29.51;29.51;267;29.4831
29.11.2021;10:24:00-000;29.41;29.43;29.4;29.4;666;29.4143
29.11.2021;10:25:00-000;29.445;29.445;29.445;29.445;128;29.4266
29.11.2021;10:26:00-000;29.33;29.33;29.29;29.29;789;29.2862
29.11.2021;10:27:00-000;29.05;29.06;29.05;29.06;332;29.057
29.11.2021;10:28:00-000;28.86;28.86;28.86;28.86;145;28.8716
29.11.2021;10:31:00-000;28.92;28.92;28.87;28.87;682;28.899
29.11.2021;10:33:00-000;28.83;28.83;28.83;28.83;181;28.8334
29.11.2021;10:35:00-000;29;29.05;29;29.05;1125;29.0313
29.11.2021;10:36:00-000;29.05;29.05;29.05;29.05;227;29.0501
29.11.2021;10:37:00-000;28.995;28.995;28.995;28.995;332;29.0081
29.11.2021;10:38:00-000;28.91;28.91;28.9;28.9;1147;28.9044
29.11.2021;10:39:00-000;28.9;28.9;28.9;28.9;226;28.917
29.11.2021;10:42:00-000;28.8;28.8;28.8;28.8;226;28.8483
29.11.2021;10:43:00-000;28.88;28.93;28.82;28.82;666;28.875
29.11.2021;10:44:00-000;28.96;29;28.92;28.92;965;28.9506
29.11.2021;10:48:00-000;29.01;29.01;29.01;29.01;299;28.9853
29.11.2021;10:49:00-000;28.9;28.91;28.87;28.87;557;28.8972
29.11.2021;10:52:00-000;28.98;28.98;28.96;28.98;306;28.9725
29.11.2021;10:57:00-000;28.82;28.82;28.81;28.81;509;28.8128
29.11.2021;10:59:00-000;28.84;28.91;28.84;28.89;1645;28.8586
29.11.2021;11:00:00-000;28.86;28.87;28.86;28.87;319;28.8658
29.11.2021;11:01:00-000;28.89;28.89;28.89;28.89;407;28.8755
29.11.2021;11:02:00-000;28.89;28.89;28.89;28.89;585;28.8802
29.11.2021;11:03:00-000;28.95;28.95;28.95;28.95;618;28.9239
29.11.2021;11:04:00-000;28.76;28.76;28.76;28.76;197;28.8091
29.11.2021;11:06:00-000;28.91;28.91;28.91;28.91;107;28.9065
29.11.2021;11:08:00-000;28.89;28.89;28.89;28.89;635;28.8969
29.11.2021;11:13:00-000;29.05;29.075;29.05;29.075;438;29.0481
29.11.2021;11:14:00-000;29.1024;29.1024;29.1024;29.1024;341;29.0675
29.11.2021;11:15:00-000;29.06;29.18;29.06;29.18;281;29.1342
29.11.2021;11:16:00-000;29.14;29.14;29.14;29.14;244;29.1578
29.11.2021;11:18:00-000;29.13;29.13;29.12;29.12;574;29.1352
29.11.2021;11:19:00-000;29.13;29.15;29.12;29.15;749;29.1512
29.11.2021;11:22:00-000;29.17;29.18;29.17;29.17;578;29.1814
29.11.2021;11:26:00-000;29.16;29.16;29.16;29.16;108;29.16
29.11.2021;11:28:00-000;29.12;29.12;29.12;29.12;361;29.132
29.11.2021;11:30:00-000;29.12;29.2;29.12;29.2;758;29.1381
29.11.2021;11:31:00-000;29.13;29.13;29.13;29.13;165;29.1278
29.11.2021;11:32:00-000;29;29;29;29;653;29.0076
29.11.2021;11:33:00-000;28.96;28.98;28.96;28.98;358;28.9722
29.11.2021;11:34:00-000;28.97;28.97;28.97;28.97;575;28.9606
29.11.2021;11:35:00-000;28.93;28.95;28.915;28.929;1227;28.9273
29.11.2021;11:36:00-000;28.87;28.87;28.87;28.87;215;28.868
29.11.2021;11:38:00-000;28.81;28.81;28.81;28.81;500;28.7926
29.11.2021;11:40:00-000;28.81;28.9;28.81;28.9;1104;28.8429
29.11.2021;11:42:00-000;28.96;28.97;28.95;28.96;753;28.9596
29.11.2021;11:43:00-000;28.91;28.91;28.91;28.91;242;28.9132
29.11.2021;11:46:00-000;28.82;28.82;28.82;28.82;213;28.8085
29.11.2021;11:49:00-000;28.83;28.83;28.83;28.83;107;28.8321
29.11.2021;11:50:00-000;28.85;28.85;28.85;28.85;509;28.8534
29.11.2021;11:52:00-000;28.86;28.95;28.86;28.91;1260;28.8808
29.11.2021;11:53:00-000;28.88;28.88;28.88;28.88;299;28.8739
29.11.2021;11:55:00-000;28.86;28.88;28.86;28.88;414;28.8657
29.11.2021;11:56:00-000;28.95;28.96;28.94;28.96;770;28.9555
29.11.2021;11:58:00-000;29;29;29;29;103;28.9991
29.11.2021;12:07:00-000;29;29;29;29;108;29
29.11.2021;12:08:00-000;29;29;29;29;102;29.0001
29.11.2021;12:11:00-000;29.02;29.04;29.02;29.04;505;29.0462
29.11.2021;12:12:00-000;29.02;29.02;29.02;29.02;103;29.0216
29.11.2021;12:19:00-000;29.05;29.05;29.05;29.05;330;29.0515
29.11.2021;12:20:00-000;29.09;29.09;29.09;29.09;146;29.0901
29.11.2021;12:21:00-000;29.11;29.18;29.11;29.18;1832;29.1267
29.11.2021;12:22:00-000;29.1;29.1;29.09;29.09;301;29.0882
29.11.2021;12:23:00-000;29.01;29.04;29.01;29.04;315;29.0207
29.11.2021;12:26:00-000;29.03;29.03;29.02;29.02;717;29.0214
29.11.2021;12:29:00-000;29.01;29.01;29;29;405;29.0089
29.11.2021;12:30:00-000;29.02;29.02;29.02;29.02;213;29.0206
29.11.2021;12:32:00-000;28.95;29.01;28.95;29.01;405;28.9953
29.11.2021;12:34:00-000;29.02;29.02;29.02;29.02;137;29.0178
29.11.2021;12:35:00-000;29.01;29.01;29.01;29.01;305;29.0103
29.11.2021;12:36:00-000;29;29.01;28.975;28.99;1389;28.9964
29.11.2021;12:38:00-000;29.01;29.03;29.01;29.03;403;29.015
29.11.2021;12:39:00-000;29.04;29.04;29.04;29.04;312;29.0181
29.11.2021;12:40:00-000;29.03;29.03;29.03;29.03;205;29.0295
29.11.2021;12:41:00-000;29.01;29.01;29.01;29.01;306;29.0108
29.11.2021;12:42:00-000;29.1;29.1;29.1;29.1;105;29.096
29.11.2021;12:44:00-000;29.01;29.055;29.01;29.055;1041;29.0248
29.11.2021;12:46:00-000;29.08;29.08;29.08;29.08;309;29.0751
29.11.2021;12:47:00-000;29.11;29.16;29.11;29.145;1319;29.1303
29.11.2021;12:49:00-000;29.2;29.21;29.15;29.15;667;29.1777
29.11.2021;12:51:00-000;29.18;29.18;29.18;29.18;105;29.1796
29.11.2021;12:52:00-000;29.08;29.165;29.08;29.165;406;29.1391
29.11.2021;12:55:00-000;29.23;29.23;29.13;29.13;595;29.2004
29.11.2021;12:56:00-000;29.195;29.195;29.195;29.195;101;29.1955
29.11.2021;12:57:00-000;29.25;29.35;29.25;29.33;1517;29.3022
29.11.2021;12:58:00-000;29.31;29.31;29.27;29.27;499;29.3013
29.11.2021;13:00:00-000;29.34;29.34;29.34;29.34;104;29.3377
29.11.2021;13:01:00-000;29.23;29.23;29.23;29.23;323;29.2315
29.11.2021;13:04:00-000;29.24;29.24;29.22;29.23;1154;29.2251
29.11.2021;13:06:00-000;29.175;29.175;29.175;29.175;359;29.1828
29.11.2021;13:07:00-000;29.06;29.17;29.06;29.17;312;29.1068
29.11.2021;13:09:00-000;29.27;29.28;29.26;29.28;1028;29.2732
29.11.2021;13:10:00-000;29.18;29.255;29.18;29.255;401;29.2126
29.11.2021;13:11:00-000;29.32;29.32;29.32;29.32;222;29.318
29.11.2021;13:13:00-000;29.18;29.18;29.18;29.18;308;29.1827
29.11.2021;13:16:00-000;29.145;29.145;29.05;29.09;1233;29.1038
29.11.2021;13:19:00-000;29.01;29.08;29.01;29.08;428;29.0289
29.11.2021;13:20:00-000;29.1;29.1;29.1;29.1;437;29.0968
29.11.2021;13:22:00-000;29.08;29.08;29.08;29.08;365;29.0921
29.11.2021;13:25:00-000;29.07;29.07;29.05;29.06;1841;29.0615
29.11.2021;13:26:00-000;29.16;29.16;29.055;29.055;285;29.1045
29.11.2021;13:27:00-000;29.13;29.21;29.13;29.16;1580;29.1611
29.11.2021;13:30:00-000;29.1;29.1;29.1;29.1;419;29.1249
29.11.2021;13:33:00-000;29.18;29.18;29.18;29.18;558;29.1769
29.11.2021;13:35:00-000;29.17;29.17;29.17;29.17;105;29.17
29.11.2021;13:36:00-000;29.19;29.19;29.12;29.15;506;29.1443
29.11.2021;13:37:00-000;29.13;29.13;29.06;29.06;368;29.1286
29.11.2021;13:39:00-000;29.03;29.065;29.01;29.065;1078;29.0245
29.11.2021;13:40:00-000;29.12;29.12;29.12;29.12;352;29.1213
29.11.2021;13:41:00-000;29.14;29.14;29.14;29.14;215;29.1139
29.11.2021;13:42:00-000;29.18;29.18;29.08;29.08;404;29.1051
29.11.2021;13:43:00-000;29.07;29.07;29.07;29.07;119;29.0693
29.11.2021;13:44:00-000;29.07;29.07;29.07;29.07;207;29.0701
29.11.2021;13:45:00-000;29.13;29.13;29.13;29.13;640;29.1306
29.11.2021;13:47:00-000;29.13;29.13;29.13;29.13;290;29.1594
29.11.2021;13:48:00-000;29.14;29.14;29.13;29.13;303;29.1371
29.11.2021;13:49:00-000;29.15;29.15;29.13;29.13;331;29.1431
29.11.2021;13:51:00-000;29.14;29.14;29.14;29.14;332;29.1489
29.11.2021;13:52:00-000;29.22;29.22;29.19;29.19;613;29.2
29.11.2021;13:53:00-000;29.18;29.18;29.18;29.18;111;29.1806
29.11.2021;13:54:00-000;29.16;29.16;29.09;29.09;438;29.1174
29.11.2021;13:55:00-000;29.11;29.11;29.11;29.11;166;29.1093
29.11.2021;13:56:00-000;29.095;29.115;29.095;29.115;409;29.1
29.11.2021;13:57:00-000;29.07;29.13;29.07;29.11;512;29.0946
29.11.2021;13:59:00-000;29.16;29.16;29.12;29.12;319;29.147
29.11.2021;14:00:00-000;29.09;29.09;29.07;29.07;1103;29.0792
29.11.2021;14:01:00-000;29.105;29.125;29.1;29.1;302;29.1104
29.11.2021;14:03:00-000;29.07;29.095;29.07;29.08;730;29.0809
29.11.2021;14:04:00-000;29.18;29.2;29.18;29.2;919;29.1816
29.11.2021;14:05:00-000;29.18;29.23;29.18;29.23;539;29.1979
29.11.2021;14:07:00-000;29.1749;29.1749;29.1749;29.1749;1009;29.1743
29.11.2021;14:08:00-000;29.13;29.13;29.13;29.13;319;29.1345
29.11.2021;14:09:00-000;29.18;29.18;29.18;29.18;233;29.1831
29.11.2021;14:11:00-000;29.15;29.15;29.15;29.15;313;29.1519
29.11.2021;14:12:00-000;29.16;29.16;29.16;29.16;133;29.1651
29.11.2021;14:13:00-000;29.2;29.21;29.2;29.21;218;29.2049
29.11.2021;14:14:00-000;29.22;29.23;29.19;29.23;1117;29.2087
29.11.2021;14:16:00-000;29.13;29.13;29.13;29.13;138;29.1293
29.11.2021;14:17:00-000;29.12;29.12;29.12;29.12;571;29.1429
29.11.2021;14:19:00-000;29.0975;29.0975;29.085;29.085;254;29.0965
29.11.2021;14:20:00-000;29.11;29.11;29.08;29.085;1138;29.1059
29.11.2021;14:21:00-000;29.11;29.12;29.11;29.12;420;29.1202
29.11.2021;14:22:00-000;29.11;29.11;29.07;29.07;2004;29.1001
29.11.2021;14:23:00-000;29.07;29.11;29.01;29.05;2132;29.0633
29.11.2021;14:26:00-000;29.06;29.065;29.05;29.065;414;29.0482
29.11.2021;14:27:00-000;29.22;29.22;29.22;29.22;219;29.1653
