Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;82;83.075;82;83.075;2865;82.1647
29.11.2021;09:31:00-000;83.89;83.89;81;81.875;8296;81.7921
29.11.2021;09:32:00-000;81.88;81.88;81.88;81.88;102;81.8634
29.11.2021;09:33:00-000;81.87;81.87;81.03;81.7699;875;81.3367
29.11.2021;09:34:00-000;81.365;81.365;81.25;81.355;904;81.3103
29.11.2021;09:35:00-000;81.48;81.64;81.08;81.1;5412;81.5768
29.11.2021;09:37:00-000;81.09;81.09;81.09;81.09;249;81.1567
29.11.2021;09:38:00-000;81.16;81.16;81.16;81.16;401;81.2183
29.11.2021;09:39:00-000;81.255;81.48;81.16;81.48;2141;81.3002
29.11.2021;09:40:00-000;81.4745;81.4745;81.46;81.46;248;81.4765
29.11.2021;09:41:00-000;81.42;81.61;81.27;81.46;2136;81.4551
29.11.2021;09:42:00-000;81.465;81.465;81.46;81.46;464;81.49
29.11.2021;09:43:00-000;81.485;81.485;81.41;81.41;479;81.4517
29.11.2021;09:44:00-000;81.46;81.46;81.43;81.43;368;81.4632
29.11.2021;09:45:00-000;81.65;81.65;81.65;81.65;124;81.6122
29.11.2021;09:47:00-000;81.49;81.73;81.49;81.67;1585;81.5688
29.11.2021;09:51:00-000;82.37;82.37;82.37;82.37;1488;82.3658
29.11.2021;09:52:00-000;82.54;82.54;82.54;82.54;300;82.54
29.11.2021;09:53:00-000;82.825;83.18;82.825;83.18;2139;83.0205
29.11.2021;09:55:00-000;83.255;83.255;83.255;83.255;167;83.2462
29.11.2021;09:56:00-000;83.63;84.24;83.5925;84.24;1429;83.8898
29.11.2021;09:57:00-000;83.4;83.68;83.4;83.46;1270;83.687
29.11.2021;09:58:00-000;84.025;84.07;84.025;84.07;639;83.9435
29.11.2021;10:00:00-000;84.1;84.1;83.24;83.24;1142;83.9812
29.11.2021;10:01:00-000;83.625;84.11;83.625;84.11;521;83.9749
29.11.2021;10:02:00-000;83.675;83.675;83.675;83.675;307;83.6965
29.11.2021;10:03:00-000;83.4801;84;83.4801;84;854;83.9262
29.11.2021;10:04:00-000;83.54;83.55;83.54;83.54;577;83.5976
29.11.2021;10:05:00-000;83.3864;83.85;83.3864;83.85;439;83.6449
29.11.2021;10:08:00-000;83.89;84;83.78;83.78;2707;83.8838
29.11.2021;10:09:00-000;84;84;83.96;83.96;1058;83.9634
29.11.2021;10:10:00-000;83.8;83.8;83.8;83.8;462;83.8198
29.11.2021;10:13:00-000;83.8;83.8;83.8;83.8;664;83.6743
29.11.2021;10:14:00-000;83.61;83.69;83.61;83.68;669;83.673
29.11.2021;10:16:00-000;83.74;83.74;83.74;83.74;337;83.7323
29.11.2021;10:17:00-000;83.78;84.11;83.78;84.11;1154;83.9211
29.11.2021;10:18:00-000;84;84;84;84;533;84.0034
29.11.2021;10:19:00-000;84.025;84.025;84;84;361;84.0196
29.11.2021;10:20:00-000;84;84;83.77;83.77;1376;83.8772
29.11.2021;10:22:00-000;83.82;84.15;83.82;84.02;1105;83.9978
29.11.2021;10:23:00-000;84.03;84.03;83.92;83.92;1122;83.9766
29.11.2021;10:26:00-000;83.39;83.39;83.235;83.235;933;83.2653
29.11.2021;10:28:00-000;83.08;83.08;83.08;83.08;130;83.0288
29.11.2021;10:30:00-000;82.52;82.68;82.52;82.68;1062;82.6131
29.11.2021;10:31:00-000;82.59;82.72;82.51;82.555;2542;82.6151
29.11.2021;10:32:00-000;82.72;82.72;82.56;82.6;860;82.6816
29.11.2021;10:34:00-000;82.49;82.49;82.45;82.45;414;82.4882
29.11.2021;10:35:00-000;82.54;82.79;82.54;82.79;1079;82.6994
29.11.2021;10:36:00-000;82.745;82.89;82.745;82.89;2015;82.8239
29.11.2021;10:37:00-000;82.86;82.86;82.86;82.86;477;82.6771
29.11.2021;10:38:00-000;82.5;82.5;82.5;82.5;377;82.4027
29.11.2021;10:39:00-000;82.345;82.37;82.345;82.37;635;82.3441
29.11.2021;10:40:00-000;82.23;82.23;82;82;841;82.0983
29.11.2021;10:41:00-000;81.88;82.07;81.88;82.07;596;82.004
29.11.2021;10:43:00-000;81.93;81.93;81.93;81.93;198;81.9225
29.11.2021;10:44:00-000;82.13;82.4;82.13;82.4;971;82.2582
29.11.2021;10:45:00-000;82.33;82.5;82.33;82.5;365;82.3811
29.11.2021;10:46:00-000;82.5;82.5;82.5;82.5;210;82.4951
29.11.2021;10:47:00-000;82.5;82.51;82.5;82.51;451;82.448
29.11.2021;10:48:00-000;82.65;82.78;82.65;82.78;232;82.7088
29.11.2021;10:50:00-000;82.76;82.76;82.76;82.76;287;82.7087
29.11.2021;10:51:00-000;82.57;82.69;82.57;82.69;947;82.5855
29.11.2021;10:52:00-000;82.78;82.79;82.78;82.785;853;82.796
29.11.2021;10:54:00-000;83.16;83.35;83.16;83.35;312;83.2212
29.11.2021;10:56:00-000;83;83;83;83;775;83.0194
29.11.2021;10:57:00-000;83.02;83.04;83.015;83.015;604;82.9604
29.11.2021;10:59:00-000;83.085;83.37;83.085;83.37;822;83.234
