Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;47;47;47;47;394;47.0086
29.11.2021;08:00:00-000;47.5;47.5;47.5;47.5;560;47.2398
29.11.2021;08:03:00-000;47.5;47.55;47.5;47.55;752;47.4783
29.11.2021;08:17:00-000;47.8;47.8;47.8;47.8;163;47.8
29.11.2021;08:19:00-000;48.34;48.34;48.34;48.34;1349;48.3362
29.11.2021;08:20:00-000;48.34;48.34;48.34;48.34;1865;48.3298
29.11.2021;08:21:00-000;47.66;47.66;47.66;47.66;352;47.6313
29.11.2021;08:36:00-000;47.6;47.6;47.6;47.6;100;47.6
29.11.2021;08:52:00-000;47.6;47.6;47.6;47.6;100;47.6
29.11.2021;09:00:00-000;47.59;47.59;47.59;47.59;100;47.59
29.11.2021;09:04:00-000;47.6;47.6;47.6;47.6;355;47.5957
29.11.2021;09:29:00-000;47.43;47.43;47.43;47.43;1142;47.4162
29.11.2021;09:30:00-000;47.49;47.73;47.275;47.295;18226;47.662
29.11.2021;09:31:00-000;47.34;47.36;47.1;47.16;3868;47.244
29.11.2021;09:32:00-000;47.25;47.25;47.1;47.11;1738;47.1454
29.11.2021;09:33:00-000;47.02;47.03;46.6484;46.68;6642;46.8993
29.11.2021;09:34:00-000;46.6001;46.6001;46.3901;46.41;5922;46.527
29.11.2021;09:35:00-000;46.2161;46.2161;46.05;46.17;4491;46.1264
29.11.2021;09:36:00-000;46.28;46.34;46;46;3771;46.1098
29.11.2021;09:37:00-000;46.01;46.01;45.7251;45.7251;2143;45.875
29.11.2021;09:38:00-000;45.72;45.72;45.61;45.6325;4463;45.6481
29.11.2021;09:39:00-000;45.61;45.69;45.51;45.582;3834;45.5889
29.11.2021;09:40:00-000;45.685;45.788;45.52;45.52;5923;45.6883
29.11.2021;09:41:00-000;45.53;45.749;45.5201;45.535;1787;45.5899
29.11.2021;09:42:00-000;45.58;45.6353;45.45;45.45;1223;45.5295
29.11.2021;09:43:00-000;45.17;45.19;45.14;45.1401;1696;45.1517
29.11.2021;09:44:00-000;45.17;45.17;45.14;45.14;475;45.1588
29.11.2021;09:45:00-000;45.22;45.22;44.79;44.95;3209;45.0168
29.11.2021;09:46:00-000;44.8601;44.8601;44.8601;44.8601;364;44.8581
29.11.2021;09:47:00-000;44.81;44.9774;44.81;44.9774;1610;44.9542
29.11.2021;09:49:00-000;45.2;45.2;44.98;44.98;2260;44.9948
29.11.2021;09:50:00-000;45.0063;45.0063;44.8199;44.8199;2584;44.8677
29.11.2021;09:51:00-000;44.94;45;44.94;45;748;44.9687
29.11.2021;09:52:00-000;44.75;44.81;44.75;44.7717;517;44.7546
29.11.2021;09:54:00-000;45.015;45.015;45.015;45.015;282;45.0234
29.11.2021;09:56:00-000;45.3626;45.3626;45.3626;45.3626;654;45.3389
29.11.2021;09:57:00-000;45.25;45.25;45.105;45.16;734;45.2114
29.11.2021;09:58:00-000;45.1601;45.1601;45.1601;45.1601;601;45.165
29.11.2021;09:59:00-000;45.38;45.38;45.315;45.3799;2377;45.3488
29.11.2021;10:00:00-000;45.12;45.18;45.0801;45.18;523;45.1378
