Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:35:00-000;4.52;4.52;4.52;4.52;200;4.5536
29.11.2021;10:10:00-000;4.08;4.08;4.08;4.08;100;4.08
29.11.2021;10:11:00-000;4.49;4.49;4.49;4.49;100;4.49
29.11.2021;10:38:00-000;4.5;4.5;4.5;4.5;200;4.5
29.11.2021;11:22:00-000;4.45;4.45;4.45;4.45;509;4.45
29.11.2021;13:44:00-000;4.525;4.6;4.525;4.6;1264;4.5941
29.11.2021;13:48:00-000;4.675;4.75;4.675;4.75;200;4.7125
29.11.2021;15:58:00-000;4.75;4.75;4.75;4.75;736;4.75
29.11.2021;16:10:00-000;4.75;4.75;4.75;4.75;0;0
29.11.2021;18:30:00-000;4.75;4.75;4.75;4.75;0;0
29.11.2021;20:00:00-000;4.75;4.75;4.75;4.75;0;0
