Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;81.83;81.83;81.21;81.4701;4996;81.8086
29.11.2021;09:31:00-000;81.96;82.235;81.88;82.235;1127;82.0007
29.11.2021;09:32:00-000;82.24;82.24;82.24;82.24;247;82.24
29.11.2021;09:33:00-000;82.0292;82.0292;81.88;81.88;1322;81.9822
29.11.2021;09:34:00-000;81.89;82.03;81.82;81.82;2514;81.9165
29.11.2021;09:35:00-000;81.81;81.97;81.79;81.79;1671;81.9158
29.11.2021;09:36:00-000;81.825;81.99;81.72;81.72;2422;81.8203
29.11.2021;09:37:00-000;81.84;81.84;81.79;81.79;1109;81.7918
29.11.2021;09:40:00-000;81.69;81.84;81.69;81.84;778;81.7191
29.11.2021;09:42:00-000;81.4029;81.72;81.06;81.06;4062;81.4186
29.11.2021;09:45:00-000;81.05;81.05;80.9;80.9;1486;80.9903
29.11.2021;09:46:00-000;80.94;80.94;80.94;80.94;1340;80.9209
29.11.2021;09:47:00-000;81.06;81.06;81.06;81.06;731;81.0222
29.11.2021;09:48:00-000;81.005;81.175;81.005;81.175;476;81.056
29.11.2021;09:49:00-000;81.22;81.38;81.08;81.09;1688;81.1889
29.11.2021;09:50:00-000;81.015;81.03;80.94;80.94;905;80.9793
29.11.2021;09:51:00-000;81.11;81.225;81.11;81.225;1233;81.1385
29.11.2021;09:52:00-000;81.01;81.21;81.01;81.21;703;81.0587
29.11.2021;09:53:00-000;81.085;81.09;81.085;81.09;504;81.086
29.11.2021;09:54:00-000;81.2;81.27;81.2;81.27;1620;81.2345
29.11.2021;09:55:00-000;81.26;81.4;81.26;81.33;3260;81.3072
29.11.2021;09:57:00-000;81.3;81.45;81.24;81.37;1233;81.3544
29.11.2021;09:58:00-000;81.25;81.265;81.21;81.25;780;81.2522
29.11.2021;09:59:00-000;81.21;81.21;81.13;81.15;2525;81.1846
29.11.2021;10:00:00-000;81.1425;81.1425;80.97;80.97;1828;81.0231
29.11.2021;10:01:00-000;80.97;80.97;80.94;80.94;306;80.9481
29.11.2021;10:02:00-000;81.04;81.04;80.92;80.92;589;81.016
29.11.2021;10:03:00-000;80.92;80.92;80.92;80.92;220;80.915
29.11.2021;10:05:00-000;80.91;81.11;80.91;81.11;2259;80.9915
29.11.2021;10:07:00-000;81.2;81.23;81.14;81.2;2372;81.2068
29.11.2021;10:08:00-000;81.275;81.275;81.18;81.2;1527;81.2118
29.11.2021;10:10:00-000;81.49;81.7;81.48;81.7;1353;81.5535
29.11.2021;10:12:00-000;81.6;81.61;81.5;81.5;1093;81.5774
29.11.2021;10:13:00-000;81.52;81.52;81.52;81.52;649;81.5156
29.11.2021;10:14:00-000;81.47;81.47;81.2;81.33;2411;81.3707
29.11.2021;10:15:00-000;81.45;81.46;81.45;81.46;632;81.4599
29.11.2021;10:16:00-000;81.23;81.23;81.07;81.07;1438;81.1435
29.11.2021;10:18:00-000;81.21;81.42;81.15;81.42;1434;81.238
29.11.2021;10:20:00-000;81.28;81.695;81.28;81.67;1683;81.5986
29.11.2021;10:21:00-000;81.745;81.87;81.745;81.745;582;81.7907
29.11.2021;10:22:00-000;81.645;81.645;81.49;81.49;1710;81.5527
29.11.2021;10:24:00-000;81.31;81.31;81.31;81.31;100;81.31
29.11.2021;10:26:00-000;81.23;81.23;81.23;81.23;549;81.1995
29.11.2021;10:27:00-000;81.05;81.05;80.99;80.99;241;81.0245
29.11.2021;10:28:00-000;81.08;81.11;81.08;81.11;571;81.0972
29.11.2021;10:30:00-000;80.98;80.98;80.85;80.89;1318;80.9051
29.11.2021;10:31:00-000;80.71;80.71;80.55;80.55;1364;80.6504
29.11.2021;10:32:00-000;80.65;80.65;80.65;80.65;289;80.6797
29.11.2021;10:33:00-000;80.56;80.56;80.56;80.56;380;80.5758
29.11.2021;10:35:00-000;80.45;80.51;80.31;80.31;2266;80.4351
29.11.2021;10:36:00-000;80.32;80.36;80.24;80.24;1777;80.2847
29.11.2021;10:37:00-000;79.95;79.95;79.8;79.8;1032;79.8454
29.11.2021;10:38:00-000;79.85;79.85;79.7;79.7;985;79.7429
29.11.2021;10:39:00-000;79.6;79.6;79.44;79.45;1297;79.5078
29.11.2021;10:40:00-000;79.29;79.4;79.19;79.24;1898;79.3245
29.11.2021;10:41:00-000;79.21;79.21;79.21;79.21;399;79.262
29.11.2021;10:42:00-000;79.15;79.15;79.15;79.15;365;79.1882
29.11.2021;10:43:00-000;79.185;79.185;79.13;79.13;1176;79.1554
29.11.2021;10:45:00-000;79.17;79.3323;79.17;79.3323;2061;79.2738
29.11.2021;10:46:00-000;79.29;79.29;79.29;79.29;356;79.3092
29.11.2021;10:48:00-000;79.25;79.35;79.21;79.23;2182;79.2685
29.11.2021;10:50:00-000;79.3499;79.35;79.28;79.28;2099;79.3413
29.11.2021;10:51:00-000;79.28;79.69;79.28;79.69;1900;79.4213
29.11.2021;10:52:00-000;79.74;79.74;79.74;79.74;100;79.74
29.11.2021;10:53:00-000;79.68;79.68;79.68;79.68;1071;79.689
29.11.2021;10:54:00-000;79.55;79.55;79.55;79.55;471;79.5796
29.11.2021;10:55:00-000;79.7;79.7;79.655;79.655;694;79.6855
29.11.2021;10:57:00-000;79.59;79.67;79.59;79.67;666;79.6062
29.11.2021;10:58:00-000;79.56;79.56;79.56;79.56;547;79.5837
29.11.2021;10:59:00-000;79.63;79.64;79.63;79.64;1338;79.6345
29.11.2021;11:00:00-000;79.65;79.73;79.65;79.73;1399;79.7102
29.11.2021;11:01:00-000;79.78;79.78;79.78;79.78;290;79.7823
29.11.2021;11:02:00-000;79.75;79.9;79.75;79.9;848;79.8328
29.11.2021;11:03:00-000;79.91;79.96;79.84;79.96;680;79.9263
29.11.2021;11:04:00-000;79.87;79.87;79.625;79.7;2839;79.7638
29.11.2021;11:05:00-000;79.86;79.9;79.86;79.9;282;79.8601
29.11.2021;11:07:00-000;79.94;79.94;79.94;79.94;136;79.9348
29.11.2021;11:08:00-000;79.9;80.1;79.885;80.1;3467;79.9653
29.11.2021;11:09:00-000;80.21;80.22;80.21;80.21;1439;80.2122
29.11.2021;11:10:00-000;80.35;80.44;80.35;80.44;830;80.3319
29.11.2021;11:13:00-000;80.67;80.67;80.67;80.67;101;80.669
29.11.2021;11:14:00-000;80.67;80.67;80.45;80.45;719;80.485
29.11.2021;11:15:00-000;80.46;80.46;80.3925;80.4;999;80.4215
29.11.2021;11:17:00-000;80.49;80.49;80.31;80.31;2068;80.3672
29.11.2021;11:18:00-000;80.29;80.31;80.29;80.31;816;80.2885
29.11.2021;11:19:00-000;80.03;80.12;80.02;80.12;2111;80.0546
29.11.2021;11:20:00-000;80.19;80.25;80.19;80.25;1665;80.2241
29.11.2021;11:21:00-000;80.15;80.15;80.15;80.15;522;80.1544
29.11.2021;11:22:00-000;80.06;80.06;79.93;79.93;708;79.9918
29.11.2021;11:23:00-000;80.01;80.01;80.01;80.01;220;80.0091
29.11.2021;11:24:00-000;80;80;80;80;568;79.9441
29.11.2021;11:25:00-000;79.91;79.95;79.91;79.95;407;79.9242
29.11.2021;11:26:00-000;79.95;80.17;79.94;80.17;1284;80.0161
29.11.2021;11:27:00-000;80.14;80.14;80.1;80.1;773;80.1145
29.11.2021;11:29:00-000;80.03;80.03;80.03;80.03;415;80.0199
29.11.2021;11:30:00-000;80.07;80.08;80.07;80.07;320;80.0731
29.11.2021;11:31:00-000;80.08;80.08;80.05;80.05;1005;80.099
29.11.2021;11:32:00-000;79.85;79.85;79.85;79.85;304;79.9462
29.11.2021;11:35:00-000;79.83;79.83;79.83;79.83;296;79.8634
29.11.2021;11:38:00-000;80.19;80.19;80.025;80.025;900;80.0734
29.11.2021;11:39:00-000;80.08;80.21;80.08;80.21;914;80.1049
29.11.2021;11:40:00-000;80.28;80.3;80.28;80.3;426;80.2895
29.11.2021;11:41:00-000;80.37;80.37;80.37;80.37;298;80.3779
29.11.2021;11:42:00-000;80.56;80.56;80.56;80.56;189;80.5269
29.11.2021;11:43:00-000;80.56;80.58;80.56;80.56;647;80.5627
29.11.2021;11:45:00-000;80.63;80.63;80.615;80.615;330;80.6219
29.11.2021;11:46:00-000;80.64;80.67;80.62;80.66;998;80.6468
29.11.2021;11:48:00-000;80.89;80.89;80.89;80.89;191;80.8688
29.11.2021;11:49:00-000;80.91;80.91;80.75;80.75;1569;80.8134
