Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;8.53;8.53;8.53;8.53;1576;8.53
29.11.2021;09:31:00-000;8.51;8.515;8.51;8.515;840;8.5144
29.11.2021;09:33:00-000;8.515;8.515;8.515;8.515;693;8.515
29.11.2021;09:36:00-000;8.5;8.5;8.5;8.5;1000;8.5
29.11.2021;09:37:00-000;8.51;8.52;8.51;8.52;1378;8.516
29.11.2021;09:39:00-000;8.51;8.51;8.51;8.51;210;8.5102
29.11.2021;09:43:00-000;8.491;8.491;8.491;8.491;357;8.4951
29.11.2021;09:47:00-000;8.49;8.49;8.49;8.49;1099;8.4901
29.11.2021;10:00:00-000;8.49;8.49;8.49;8.49;132;8.49
29.11.2021;10:09:00-000;8.48;8.48;8.48;8.48;219;8.48
29.11.2021;10:13:00-000;8.48;8.48;8.48;8.48;1000;8.48
29.11.2021;10:22:00-000;8.481;8.485;8.4801;8.485;6198;8.4805
29.11.2021;10:25:00-000;8.48;8.48;8.48;8.48;100;8.48
29.11.2021;10:27:00-000;8.4799;8.4799;8.4799;8.4799;100;8.4799
29.11.2021;10:29:00-000;8.47;8.4702;8.47;8.4702;700;8.4701
29.11.2021;11:05:00-000;8.47;8.47;8.47;8.47;131;8.47
29.11.2021;11:19:00-000;8.46;8.46;8.45;8.45;3114;8.4542
29.11.2021;11:21:00-000;8.441;8.441;8.441;8.441;140;8.441
29.11.2021;11:27:00-000;8.445;8.445;8.445;8.445;177;8.445
29.11.2021;11:29:00-000;8.44;8.4402;8.4302;8.435;6527;8.4322
29.11.2021;11:55:00-000;8.45;8.46;8.45;8.46;295;8.454
29.11.2021;12:17:00-000;8.45;8.45;8.45;8.45;207;8.45
29.11.2021;12:21:00-000;8.44;8.441;8.43;8.441;2940;8.4337
29.11.2021;12:49:00-000;8.4401;8.4401;8.4401;8.4401;210;8.4423
29.11.2021;12:53:00-000;8.45;8.45;8.45;8.45;236;8.45
29.11.2021;12:57:00-000;8.441;8.441;8.441;8.441;100;8.441
29.11.2021;12:59:00-000;8.441;8.441;8.44;8.44;300;8.4407
29.11.2021;13:15:00-000;8.43;8.43;8.43;8.43;452;8.4345
29.11.2021;13:19:00-000;8.43;8.43;8.43;8.43;200;8.43
29.11.2021;13:35:00-000;8.44;8.44;8.44;8.44;200;8.44
29.11.2021;13:55:00-000;8.44;8.44;8.44;8.44;150;8.44
29.11.2021;13:56:00-000;8.44;8.44;8.44;8.44;300;8.44
29.11.2021;14:09:00-000;8.445;8.445;8.445;8.445;130;8.4458
29.11.2021;14:11:00-000;8.45;8.45;8.45;8.45;2510;8.45
29.11.2021;14:13:00-000;8.445;8.445;8.445;8.445;100;8.445
29.11.2021;14:24:00-000;8.44;8.44;8.44;8.44;1221;8.44
29.11.2021;14:25:00-000;8.43;8.43;8.43;8.43;200;8.43
29.11.2021;14:47:00-000;8.431;8.431;8.431;8.431;108;8.431
29.11.2021;14:58:00-000;8.4399;8.44;8.4399;8.44;370;8.4399
29.11.2021;15:00:00-000;8.44;8.44;8.4399;8.44;357;8.44
29.11.2021;15:04:00-000;8.44;8.44;8.4399;8.4399;216;8.44
29.11.2021;15:17:00-000;8.43;8.432;8.43;8.432;394;8.431
29.11.2021;15:29:00-000;8.43;8.43;8.42;8.42;4600;8.4253
29.11.2021;15:33:00-000;8.421;8.421;8.421;8.421;127;8.421
29.11.2021;15:35:00-000;8.421;8.44;8.42;8.44;1025;8.4304
29.11.2021;15:37:00-000;8.4201;8.4201;8.4201;8.4201;202;8.4203
29.11.2021;15:46:00-000;8.44;8.44;8.44;8.44;455;8.44
29.11.2021;15:50:00-000;8.44;8.44;8.44;8.44;300;8.44
29.11.2021;15:51:00-000;8.44;8.44;8.44;8.44;100;8.44
29.11.2021;15:55:00-000;8.421;8.421;8.42;8.421;1000;8.4203
29.11.2021;15:59:00-000;8.43;8.43;8.42;8.42;1933;8.4226
29.11.2021;16:00:00-000;8.44;8.44;8.44;8.44;158;8.44
29.11.2021;16:10:00-000;8.44;8.44;8.44;8.44;0;0
29.11.2021;18:30:00-000;8.44;8.44;8.44;8.44;0;0
29.11.2021;19:42:00-000;8.41;8.41;8.41;8.41;800;8.41
29.11.2021;20:00:00-000;8.44;8.44;8.44;8.44;0;0
