Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;2;2;2;2;1000;2
29.11.2021;09:39:00-000;1.9;1.9;1.82;1.82;334;1.844
29.11.2021;09:50:00-000;1.866;1.866;1.866;1.866;330;1.866
29.11.2021;10:00:00-000;1.84;1.84;1.83;1.83;327;1.8363
29.11.2021;10:02:00-000;1.9252;1.93;1.9252;1.93;1245;1.9266
29.11.2021;10:06:00-000;1.83;1.83;1.83;1.83;324;1.83
29.11.2021;10:51:00-000;1.88;1.9;1.88;1.9;250;1.8906
29.11.2021;10:52:00-000;1.97;1.97;1.97;1.97;500;1.97
29.11.2021;11:35:00-000;1.92;1.92;1.92;1.92;500;1.92
29.11.2021;11:50:00-000;1.8755;1.8755;1.8755;1.8755;100;1.8755
29.11.2021;11:51:00-000;1.8755;1.8755;1.8755;1.8755;100;1.8755
29.11.2021;12:50:00-000;1.86;1.86;1.86;1.86;200;1.86
29.11.2021;13:15:00-000;1.8773;1.89;1.8773;1.89;374;1.8866
29.11.2021;13:18:00-000;1.9178;1.9178;1.9178;1.9178;100;1.9178
29.11.2021;15:19:00-000;1.93;1.93;1.93;1.93;100;1.93
29.11.2021;16:10:00-000;1.93;1.93;1.93;1.93;0;0
29.11.2021;18:30:00-000;1.93;1.93;1.93;1.93;0;0
29.11.2021;19:00:00-000;1.93;1.93;1.93;1.93;0;0
