Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;118.99;118.99;117.96;117.96;11136;118.84
29.11.2021;09:31:00-000;118.31;119.025;118.31;119.025;2696;118.768
29.11.2021;09:32:00-000;119.65;119.83;119.62;119.83;1635;119.704
29.11.2021;09:33:00-000;119.47;119.47;118.385;118.68;3022;118.952
29.11.2021;09:34:00-000;118.2;118.52;118.16;118.16;3112;118.414
29.11.2021;09:35:00-000;118.3;118.3;117.46;117.87;4264;117.885
29.11.2021;09:36:00-000;117.69;117.85;117.18;117.39;2511;117.573
29.11.2021;09:37:00-000;117.529;117.59;117.27;117.27;2244;117.392
29.11.2021;09:38:00-000;117.05;117.05;116.53;116.53;5348;116.89
29.11.2021;09:39:00-000;116.69;116.9;116.21;116.82;5294;116.652
29.11.2021;09:40:00-000;116.84;117;116.77;117;5397;116.904
29.11.2021;09:41:00-000;117.155;117.155;116.82;116.97;3041;117.031
29.11.2021;09:42:00-000;117.065;117.13;116.9;117.13;2455;117.076
29.11.2021;09:43:00-000;117.19;117.19;116.65;116.65;2655;116.913
29.11.2021;09:44:00-000;116.865;116.96;116.865;116.95;4032;116.952
29.11.2021;09:45:00-000;117.055;117.15;116.79;117.01;5763;117.009
29.11.2021;09:46:00-000;117.02;117.04;116.82;116.82;941;116.93
29.11.2021;09:47:00-000;116.68;117.26;116.66;117.185;4647;117.024
29.11.2021;09:48:00-000;117.26;117.69;117.26;117.69;3304;117.405
29.11.2021;09:49:00-000;117.73;117.73;117.23;117.39;7154;117.531
29.11.2021;09:50:00-000;117.38;117.41;117.2;117.29;5156;117.334
29.11.2021;09:51:00-000;117.4;117.78;117.28;117.28;3198;117.55
29.11.2021;09:52:00-000;117.305;117.48;117.305;117.47;1652;117.439
29.11.2021;09:53:00-000;117.88;117.91;117.51;117.6;3214;117.756
29.11.2021;09:54:00-000;117.96;118.22;117.89;118.02;5994;117.97
29.11.2021;09:55:00-000;117.96;118.09;117.86;117.91;11020;117.963
29.11.2021;09:56:00-000;117.92;118.01;117.875;117.91;2667;117.941
29.11.2021;09:57:00-000;117.91;117.95;117.64;117.95;9214;117.829
29.11.2021;09:58:00-000;117.89;118;117.72;118;2475;117.885
29.11.2021;09:59:00-000;118.04;118.15;117.81;118.15;3034;118.02
29.11.2021;10:00:00-000;118.01;118.14;117.92;118.115;1881;118.083
29.11.2021;10:01:00-000;118.28;118.46;118.25;118.31;4614;118.374
29.11.2021;10:02:00-000;118.365;118.6;118.365;118.44;2263;118.509
29.11.2021;10:03:00-000;118.37;118.37;117.95;118.05;1534;118.113
29.11.2021;10:04:00-000;117.99;118.14;117.99;118.125;2509;118.097
29.11.2021;10:05:00-000;118.11;118.32;118.11;118.16;3028;118.145
29.11.2021;10:06:00-000;118.275;118.53;118.275;118.4;2046;118.431
29.11.2021;10:07:00-000;118.4;118.4;118.25;118.35;2779;118.338
29.11.2021;10:08:00-000;118.35;118.35;118.12;118.12;1592;118.25
29.11.2021;10:09:00-000;118.14;118.155;117.97;118.07;3569;118.103
29.11.2021;10:10:00-000;118.1;118.28;117.99;118.2;3579;118.199
29.11.2021;10:11:00-000;118.19;118.26;117.87;117.87;1973;118.071
29.11.2021;10:12:00-000;117.79;117.87;117.49;117.49;2332;117.701
29.11.2021;10:13:00-000;117.49;117.49;117.09;117.21;2719;117.256
29.11.2021;10:14:00-000;117.27;117.51;117.27;117.35;2659;117.373
29.11.2021;10:15:00-000;117.35;117.64;117.29;117.57;2452;117.548
29.11.2021;10:16:00-000;117.27;117.28;116.95;116.95;2810;117.183
29.11.2021;10:17:00-000;117.03;117.17;116.99;116.99;3065;117.086
29.11.2021;10:18:00-000;117.11;117.23;117.07;117.23;1770;117.134
29.11.2021;10:19:00-000;117.23;117.48;117.225;117.45;3849;117.405
29.11.2021;10:20:00-000;117.48;117.48;117.3;117.3;1333;117.416
29.11.2021;10:21:00-000;117.43;117.56;117.43;117.475;2607;117.52
29.11.2021;10:22:00-000;117.55;117.55;117.31;117.39;1692;117.397
29.11.2021;10:23:00-000;117.39;117.39;117.35;117.36;922;117.364
29.11.2021;10:24:00-000;117.365;117.45;117.365;117.45;2205;117.424
29.11.2021;10:25:00-000;117.37;117.37;117.2;117.2;1798;117.281
29.11.2021;10:26:00-000;117.2;117.2;116.96;116.96;1243;117.015
29.11.2021;10:27:00-000;116.825;116.895;116.74;116.74;2060;116.841
29.11.2021;10:28:00-000;116.71;116.75;116.63;116.65;6589;116.715
29.11.2021;10:29:00-000;116.65;116.735;116.61;116.72;1968;116.69
29.11.2021;10:30:00-000;116.72;116.72;116.51;116.62;2216;116.641
29.11.2021;10:31:00-000;116.52;116.52;116.28;116.28;1281;116.456
29.11.2021;10:32:00-000;116.49;116.61;116.4;116.47;3766;116.488
29.11.2021;10:33:00-000;116.46;116.46;116.42;116.42;1456;116.449
29.11.2021;10:34:00-000;116.47;116.48;116.3;116.46;2168;116.445
29.11.2021;10:35:00-000;116.54;116.67;116.475;116.67;2866;116.57
29.11.2021;10:36:00-000;116.74;116.74;116.43;116.43;2211;116.612
29.11.2021;10:37:00-000;116.495;116.51;116.38;116.51;1794;116.47
29.11.2021;10:38:00-000;116.44;116.46;116.14;116.16;3463;116.323
29.11.2021;10:39:00-000;116.18;116.43;116.17;116.43;3322;116.231
29.11.2021;10:40:00-000;116.465;116.48;116.265;116.385;2692;116.396
29.11.2021;10:41:00-000;116.34;116.34;116.2;116.2;1428;116.292
