Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;26.35;26.35;26.35;26.35;284;26.355
29.11.2021;10:45:00-000;25.77;25.77;25.77;25.77;100;25.77
29.11.2021;12:16:00-000;25.95;25.95;25.95;25.95;240;25.95
29.11.2021;12:29:00-000;26.02;26.02;26.02;26.02;19454;26.02
29.11.2021;12:49:00-000;26.13;26.14;26.1;26.1398;1020;26.1301
29.11.2021;13:51:00-000;26.1032;26.1032;26.1032;26.1032;227;26.1032
29.11.2021;14:26:00-000;26.0792;26.0792;26.0792;26.0792;243;26.0792
29.11.2021;15:31:00-000;26.0001;26.0001;26.0001;26.0001;604;26.0002
29.11.2021;15:57:00-000;25.98;25.98;25.98;25.98;100;25.98
29.11.2021;16:10:00-000;25.9768;25.9768;25.9768;25.9768;0;0
29.11.2021;18:30:00-000;25.9768;25.9768;25.9768;25.9768;0;0
29.11.2021;20:00:00-000;25.9768;25.9768;25.9768;25.9768;0;0
