Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:32:00-000;24.85;24.85;24.85;24.85;100;24.85
29.11.2021;09:45:00-000;24.95;24.95;24.95;24.95;482;24.9496
29.11.2021;09:51:00-000;24.9;24.9;24.9;24.9;435;24.9
29.11.2021;09:59:00-000;24.9;24.9;24.9;24.9;444;24.9003
29.11.2021;10:06:00-000;24.9;24.9;24.9;24.9;960;24.9001
29.11.2021;10:10:00-000;24.9;24.9;24.9;24.9;282;24.9
29.11.2021;10:17:00-000;24.9;24.9;24;24;1500;24.521
29.11.2021;10:19:00-000;24.9;24.9;24.9;24.9;3120;24.9
29.11.2021;10:28:00-000;24.9;24.9;24.9;24.9;139;24.9
29.11.2021;10:30:00-000;24.9;24.9;24.9;24.9;466;24.9
29.11.2021;10:33:00-000;24.89;24.89;24.89;24.89;201;24.8902
29.11.2021;10:36:00-000;24.92;24.92;24.92;24.92;143;24.92
29.11.2021;10:42:00-000;25;25;25;25;400;25
29.11.2021;10:46:00-000;24.92;24.92;24.92;24.92;435;24.92
29.11.2021;11:29:00-000;24.84;24.84;24.84;24.84;750;24.84
29.11.2021;11:33:00-000;24.9039;24.9039;24.9039;24.9039;1006;24.9039
29.11.2021;11:36:00-000;24.84;24.84;24.63;24.63;796;24.7842
29.11.2021;11:41:00-000;24.75;24.75;24.75;24.75;400;24.75
29.11.2021;11:42:00-000;24.875;24.875;24.84;24.868;1136;24.8458
29.11.2021;11:51:00-000;24.85;24.85;24.85;24.85;300;24.85
29.11.2021;11:52:00-000;24.85;24.85;24.85;24.85;400;24.85
29.11.2021;11:56:00-000;24.85;24.85;24.85;24.85;700;24.85
29.11.2021;12:06:00-000;24.9149;24.9149;24.9149;24.9149;2000;24.9149
29.11.2021;12:21:00-000;24.925;24.925;24.925;24.925;599;24.925
29.11.2021;12:33:00-000;24.85;24.85;24.85;24.85;900;24.85
29.11.2021;14:35:00-000;24.86;24.86;24.86;24.86;100;24.86
29.11.2021;14:51:00-000;24.925;24.925;24.925;24.925;1080;24.925
29.11.2021;14:52:00-000;24.85;24.85;24.85;24.85;400;24.85
29.11.2021;15:14:00-000;24.85;24.925;24.85;24.925;761;24.8954
29.11.2021;15:37:00-000;24.925;24.925;24.925;24.925;521;24.925
29.11.2021;15:52:00-000;24.85;24.85;24.85;24.85;385;24.85
29.11.2021;15:56:00-000;24.8819;24.8819;24.8;24.8;1665;24.877
29.11.2021;16:10:00-000;24.83;24.83;24.83;24.83;0;0
29.11.2021;18:30:00-000;24.83;24.83;24.83;24.83;0;0
29.11.2021;20:00:00-000;24.83;24.83;24.83;24.83;0;0
