Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:53:00-000;135.79;135.79;135.79;135.79;100;135.79
29.11.2021;09:30:00-000;136.03;136.43;135.84;135.84;14112;136.028
29.11.2021;09:31:00-000;136.205;136.205;135.98;135.98;1390;136.112
29.11.2021;09:33:00-000;135.96;136.07;135.96;135.97;2029;136.005
29.11.2021;09:35:00-000;136.06;136.06;136.04;136.055;460;136.051
29.11.2021;09:36:00-000;136.22;136.34;136.22;136.34;868;136.264
29.11.2021;09:37:00-000;136.29;136.45;136.23;136.44;773;136.358
29.11.2021;09:38:00-000;136.22;136.295;136.03;136.03;814;136.169
29.11.2021;09:39:00-000;136.25;136.25;136.24;136.24;830;136.24
29.11.2021;09:40:00-000;136.33;136.39;136.3;136.39;1354;136.345
29.11.2021;09:41:00-000;136.665;136.665;136.5;136.5;647;136.562
29.11.2021;09:42:00-000;136.51;136.51;136.39;136.39;590;136.447
29.11.2021;09:43:00-000;136.565;136.565;136.55;136.55;675;136.592
29.11.2021;09:44:00-000;136.605;136.65;136.56;136.65;2169;136.592
29.11.2021;09:45:00-000;136.67;136.8;136.6;136.8;2460;136.666
29.11.2021;09:46:00-000;136.84;136.84;136.83;136.83;509;136.855
29.11.2021;09:47:00-000;136.93;136.93;136.93;136.93;693;136.962
29.11.2021;09:48:00-000;137.37;137.37;137.22;137.22;2008;137.275
29.11.2021;09:49:00-000;137.209;137.209;136.92;137.06;1589;137.027
29.11.2021;09:50:00-000;136.92;137.02;136.92;136.99;1432;136.968
29.11.2021;09:51:00-000;136.975;136.975;136.905;136.947;1064;136.931
29.11.2021;09:52:00-000;136.95;136.99;136.95;136.96;693;136.974
29.11.2021;09:53:00-000;136.93;137.2;136.915;137.2;1124;137.013
29.11.2021;09:54:00-000;136.99;137.06;136.94;137.03;800;137
29.11.2021;09:55:00-000;136.885;137.07;136.84;137.02;1865;136.943
29.11.2021;09:56:00-000;137.06;137.06;137.02;137.02;1229;137.055
29.11.2021;09:57:00-000;137.04;137.04;136.8;136.87;3630;136.908
29.11.2021;09:58:00-000;136.83;136.83;136.82;136.82;646;136.807
29.11.2021;09:59:00-000;136.9;137;136.83;136.95;2778;136.921
29.11.2021;10:00:00-000;136.99;136.99;136.785;136.79;2752;136.852
29.11.2021;10:01:00-000;136.88;136.97;136.88;136.93;821;136.906
29.11.2021;10:02:00-000;137;137.06;137;137.06;1935;137.012
29.11.2021;10:03:00-000;137.09;137.17;137.09;137.17;909;137.111
29.11.2021;10:04:00-000;137.12;137.22;137.12;137.22;664;137.136
29.11.2021;10:05:00-000;137.16;137.16;137.16;137.16;215;137.191
29.11.2021;10:06:00-000;137.25;137.25;137.22;137.22;1001;137.229
29.11.2021;10:07:00-000;137.14;137.24;137.14;137.24;644;137.181
29.11.2021;10:08:00-000;137.4;137.4;137.295;137.347;1421;137.331
29.11.2021;10:09:00-000;137.41;137.485;137.39;137.485;887;137.429
29.11.2021;10:10:00-000;137.58;137.59;137.58;137.59;584;137.576
29.11.2021;10:11:00-000;137.49;137.49;137.11;137.175;2320;137.314
29.11.2021;10:12:00-000;137.26;137.41;137.26;137.41;1317;137.289
29.11.2021;10:13:00-000;137.42;137.42;137.42;137.42;607;137.432
29.11.2021;10:14:00-000;137.47;137.49;137.43;137.485;2151;137.481
29.11.2021;10:15:00-000;137.465;137.67;137.465;137.67;936;137.611
29.11.2021;10:17:00-000;137.54;137.54;137.54;137.54;190;137.585
29.11.2021;10:18:00-000;137.7;137.87;137.7;137.87;1052;137.716
29.11.2021;10:19:00-000;137.69;137.76;137.66;137.76;1359;137.721
29.11.2021;10:20:00-000;137.69;137.75;137.45;137.57;2264;137.577
29.11.2021;10:21:00-000;137.51;137.53;137.465;137.485;1715;137.465
29.11.2021;10:22:00-000;137.41;137.53;137.41;137.52;1475;137.498
29.11.2021;10:23:00-000;137.465;137.53;137.465;137.475;957;137.493
29.11.2021;10:24:00-000;137.51;137.51;137.51;137.51;203;137.504
29.11.2021;10:25:00-000;137.47;137.48;137.42;137.43;1914;137.452
29.11.2021;10:26:00-000;137.45;137.45;137.37;137.37;597;137.414
29.11.2021;10:27:00-000;137.47;137.55;137.37;137.37;1935;137.438
29.11.2021;10:28:00-000;137.41;137.41;137.41;137.41;257;137.395
29.11.2021;10:29:00-000;137.385;137.385;137.385;137.385;465;137.447
29.11.2021;10:30:00-000;137.415;137.467;137.37;137.415;1270;137.421
29.11.2021;10:31:00-000;137.38;137.48;137.38;137.42;1468;137.42
29.11.2021;10:32:00-000;137.42;137.46;137.42;137.46;431;137.435
29.11.2021;10:33:00-000;137.465;137.465;137.465;137.465;142;137.454
29.11.2021;10:34:00-000;137.445;137.445;137.26;137.41;3090;137.379
29.11.2021;10:35:00-000;137.45;137.515;137.35;137.35;1504;137.43
29.11.2021;10:36:00-000;137.36;137.36;137.3;137.3;393;137.31
29.11.2021;10:37:00-000;137.2;137.2;137.17;137.17;510;137.224
29.11.2021;10:38:00-000;137.13;137.26;137.13;137.22;1333;137.236
29.11.2021;10:39:00-000;137.195;137.29;137.195;137.235;1840;137.279
29.11.2021;10:40:00-000;137.36;137.36;137.22;137.29;1067;137.292
29.11.2021;10:41:00-000;137.24;137.32;137.225;137.255;2181;137.275
29.11.2021;10:42:00-000;137.22;137.22;137.22;137.22;706;137.193
29.11.2021;10:43:00-000;137.22;137.23;137.22;137.22;1092;137.223
29.11.2021;10:45:00-000;137.25;137.25;137.23;137.23;1642;137.248
29.11.2021;10:46:00-000;137.2;137.27;137.1;137.1;1798;137.183
29.11.2021;10:47:00-000;137.21;137.27;137.155;137.27;2265;137.214
29.11.2021;10:48:00-000;137.16;137.16;137.06;137.06;1141;137.154
29.11.2021;10:49:00-000;137.085;137.085;137.085;137.085;116;137.086
29.11.2021;10:50:00-000;137.17;137.22;137.17;137.21;781;137.186
29.11.2021;10:51:00-000;137.185;137.23;137.18;137.18;3395;137.215
29.11.2021;10:52:00-000;137.19;137.22;137.19;137.22;342;137.207
29.11.2021;10:53:00-000;137.24;137.3;137.16;137.205;3839;137.246
29.11.2021;10:55:00-000;137.31;137.36;137.31;137.36;1274;137.323
29.11.2021;10:56:00-000;137.43;137.43;137.3;137.3;2024;137.337
29.11.2021;10:57:00-000;137.27;137.37;137.27;137.37;998;137.324
29.11.2021;10:58:00-000;137.37;137.37;137.363;137.363;1068;137.314
29.11.2021;10:59:00-000;137.39;137.44;137.31;137.44;5189;137.367
29.11.2021;11:02:00-000;137.52;137.52;137.52;137.52;554;137.542
29.11.2021;11:03:00-000;137.56;137.56;137.45;137.45;1401;137.491
29.11.2021;11:04:00-000;137.57;137.57;137.54;137.54;861;137.554
29.11.2021;11:05:00-000;137.6;137.88;137.6;137.88;5979;137.635
29.11.2021;11:06:00-000;137.805;137.93;137.805;137.925;952;137.893
29.11.2021;11:07:00-000;137.951;137.99;137.951;137.99;620;137.959
29.11.2021;11:08:00-000;137.92;137.98;137.87;137.92;1650;137.917
29.11.2021;11:10:00-000;138;138;137.94;137.95;1040;137.969
29.11.2021;11:11:00-000;137.965;137.965;137.86;137.9;2032;137.89
29.11.2021;11:12:00-000;137.93;138;137.93;138;402;137.937
29.11.2021;11:13:00-000;137.9;137.96;137.9;137.96;367;137.935
29.11.2021;11:14:00-000;138;138.15;138;138.15;1365;138.02
29.11.2021;11:15:00-000;138.04;138.04;137.99;137.99;847;138.029
29.11.2021;11:17:00-000;138.035;138.09;137.98;138.065;2442;138.044
29.11.2021;11:18:00-000;138.065;138.11;138.03;138.07;2497;138.058
29.11.2021;11:19:00-000;138.035;138.035;137.93;137.93;1903;137.988
29.11.2021;11:20:00-000;138;138.06;137.97;138.06;2335;138.024
29.11.2021;11:21:00-000;138.08;138.105;138.06;138.06;339;138.078
29.11.2021;11:22:00-000;138.01;138.05;138;138.05;1120;138.005
29.11.2021;11:23:00-000;137.97;138.02;137.97;138.01;1425;138.002
29.11.2021;11:24:00-000;138.03;138.05;138.01;138.05;1645;138.029
29.11.2021;11:25:00-000;138.01;138.055;138.01;138.055;2225;138.046
29.11.2021;11:26:00-000;138.085;138.085;137.94;138.015;3193;137.999
29.11.2021;11:27:00-000;138.03;138.03;138.03;138.03;755;137.991
29.11.2021;11:28:00-000;138;138.04;138;138.04;692;138.002
29.11.2021;11:29:00-000;137.96;137.99;137.96;137.99;639;137.985
29.11.2021;11:30:00-000;138.12;138.21;138.12;138.21;830;138.104
29.11.2021;11:31:00-000;138.22;138.34;138.17;138.27;5549;138.318
29.11.2021;11:32:00-000;138.285;138.285;138.285;138.285;119;138.282
29.11.2021;11:33:00-000;138.36;138.36;138.24;138.24;1380;138.247
29.11.2021;11:34:00-000;138.24;138.33;138.24;138.33;678;138.292
29.11.2021;11:35:00-000;138.34;138.535;138.34;138.5;826;138.408
29.11.2021;11:36:00-000;138.41;138.41;138.35;138.405;1425;138.396
29.11.2021;11:37:00-000;138.39;138.39;138.39;138.39;162;138.404
29.11.2021;11:38:00-000;138.36;138.4;138.27;138.27;1461;138.35
29.11.2021;11:39:00-000;138.33;138.39;138.33;138.375;974;138.358
29.11.2021;11:40:00-000;138.35;138.4;138.23;138.23;13881;138.344
29.11.2021;11:41:00-000;138.22;138.22;138.14;138.14;422;138.164
29.11.2021;11:42:00-000;138.039;138.039;138.039;138.039;393;138.052
29.11.2021;11:43:00-000;138.05;138.12;138.05;138.12;795;138.091
29.11.2021;11:45:00-000;138.21;138.36;138.21;138.36;1731;138.304
29.11.2021;11:46:00-000;138.385;138.385;138.32;138.32;604;138.356
29.11.2021;11:47:00-000;138.23;138.23;138.23;138.23;483;138.217
29.11.2021;11:48:00-000;138.26;138.26;138.26;138.26;1363;138.25
29.11.2021;11:49:00-000;138.23;138.23;138.23;138.23;129;138.222
29.11.2021;11:50:00-000;138.1;138.105;138.075;138.1;1480;138.107
29.11.2021;11:52:00-000;138.1;138.14;138.1;138.14;2355;138.123
29.11.2021;11:53:00-000;138.07;138.07;138.07;138.07;174;138.079
29.11.2021;11:54:00-000;138.07;138.07;138.07;138.07;608;138.08
29.11.2021;11:55:00-000;138.07;138.07;138.04;138.06;985;138.056
29.11.2021;11:56:00-000;138.045;138.05;138.02;138.04;2055;138.048
29.11.2021;11:57:00-000;138.03;138.055;138.03;138.055;328;138.033
29.11.2021;11:58:00-000;138.06;138.06;138;138;1054;138.037
29.11.2021;11:59:00-000;138;138.06;138;138.06;363;138.048
29.11.2021;12:01:00-000;138.1;138.1;138.1;138.1;423;138.134
29.11.2021;12:02:00-000;138.09;138.12;138.03;138.06;1257;138.081
29.11.2021;12:03:00-000;138.035;138.07;138.035;138.07;512;138.037
29.11.2021;12:04:00-000;138.18;138.18;138.13;138.13;720;138.119
29.11.2021;12:05:00-000;138.16;138.16;138.16;138.16;169;138.173
29.11.2021;12:07:00-000;138.16;138.16;138.14;138.14;544;138.16
29.11.2021;12:08:00-000;138.2;138.2;138.13;138.13;1178;138.164
29.11.2021;12:09:00-000;138.13;138.18;138.1;138.18;10944;138.128
29.11.2021;12:10:00-000;138.18;138.18;138.18;138.18;508;138.171
29.11.2021;12:11:00-000;138.24;138.24;138.24;138.24;457;138.239
29.11.2021;12:13:00-000;138.3;138.3;138.3;138.3;687;138.318
29.11.2021;12:14:00-000;138.37;138.37;138.29;138.31;1104;138.322
29.11.2021;12:15:00-000;138.27;138.285;138.27;138.285;1869;138.283
29.11.2021;12:16:00-000;138.235;138.34;138.235;138.34;624;138.295
29.11.2021;12:17:00-000;138.44;138.44;138.4;138.43;1569;138.411
29.11.2021;12:18:00-000;138.47;138.47;138.4;138.47;993;138.456
29.11.2021;12:19:00-000;138.47;138.52;138.44;138.44;1315;138.474
29.11.2021;12:21:00-000;138.45;138.49;138.45;138.49;537;138.461
29.11.2021;12:22:00-000;138.49;138.49;138.49;138.49;553;138.496
29.11.2021;12:23:00-000;138.51;138.54;138.51;138.51;1355;138.537
29.11.2021;12:24:00-000;138.6;138.6;138.55;138.55;628;138.577
29.11.2021;12:25:00-000;138.605;138.605;138.45;138.46;902;138.518
29.11.2021;12:27:00-000;138.44;138.44;138.4;138.4;609;138.429
29.11.2021;12:29:00-000;138.48;138.5;138.43;138.43;2511;138.47
29.11.2021;12:30:00-000;138.5;138.5;138.49;138.5;567;138.497
29.11.2021;12:31:00-000;138.48;138.48;138.43;138.43;386;138.446
29.11.2021;12:32:00-000;138.48;138.5;138.48;138.5;394;138.489
29.11.2021;12:33:00-000;138.51;138.51;138.48;138.48;810;138.494
29.11.2021;12:35:00-000;138.565;138.565;138.565;138.565;365;138.579
29.11.2021;12:36:00-000;138.54;138.565;138.54;138.565;596;138.519
29.11.2021;12:38:00-000;138.63;138.63;138.63;138.63;280;138.621
29.11.2021;12:39:00-000;138.61;138.61;138.61;138.61;1043;138.617
29.11.2021;12:40:00-000;138.6;138.6;138.6;138.6;274;138.594
29.11.2021;12:41:00-000;138.612;138.612;138.612;138.612;388;138.633
29.11.2021;12:42:00-000;138.64;138.64;138.64;138.64;481;138.643
29.11.2021;12:43:00-000;138.67;138.7;138.655;138.655;466;138.672
29.11.2021;12:44:00-000;138.7;138.7;138.66;138.67;1264;138.671
29.11.2021;12:45:00-000;138.7;138.73;138.674;138.674;717;138.7
29.11.2021;12:46:00-000;138.65;138.65;138.6;138.6;1499;138.622
