Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;25.76;25.76;25.76;25.76;227;25.76
29.11.2021;10:14:00-000;25.6519;25.6519;25.6519;25.6519;500;25.6519
29.11.2021;10:30:00-000;25.815;25.815;25.815;25.815;100;25.815
29.11.2021;11:20:00-000;25.9999;25.9999;25.9999;25.9999;105;25.9999
29.11.2021;11:55:00-000;25.75;25.75;25.75;25.75;188;25.75
29.11.2021;11:57:00-000;25.8;25.8;25.8;25.8;200;25.8
29.11.2021;13:07:00-000;25.8768;25.8768;25.8768;25.8768;112;25.8768
29.11.2021;13:12:00-000;25.8772;25.8772;25.8772;25.8772;500;25.8772
29.11.2021;13:44:00-000;25.89;25.89;25.8767;25.8767;1061;25.878
29.11.2021;14:04:00-000;25.8768;25.8768;25.8768;25.8768;167;25.8768
29.11.2021;14:15:00-000;25.88;25.88;25.83;25.84;792;25.8585
29.11.2021;14:26:00-000;25.83;25.83;25.83;25.83;400;25.8353
29.11.2021;14:33:00-000;25.82;25.9139;25.82;25.82;1044;25.8472
29.11.2021;14:49:00-000;25.82;25.9139;25.82;25.91;655;25.8972
29.11.2021;15:05:00-000;25.91;25.91;25.8741;25.8741;1030;25.8776
29.11.2021;15:11:00-000;25.99;25.99;25.99;25.99;400;25.9914
29.11.2021;15:35:00-000;25.9;25.9;25.9;25.9;276;25.9021
29.11.2021;15:38:00-000;25.87;25.91;25.87;25.91;200;25.89
29.11.2021;15:39:00-000;25.91;25.91;25.91;25.91;101;25.9107
29.11.2021;15:40:00-000;25.86;25.86;25.86;25.86;100;25.86
29.11.2021;15:45:00-000;25.86;25.86;25.85;25.8507;2800;25.8538
29.11.2021;15:48:00-000;25.8657;25.8657;25.8657;25.8657;213;25.8722
29.11.2021;15:57:00-000;25.92;25.92;25.92;25.92;107;25.92
29.11.2021;16:00:00-000;25.96;25.96;25.96;25.96;409;25.96
29.11.2021;16:10:00-000;25.96;25.96;25.96;25.96;0;0
29.11.2021;18:30:00-000;25.96;25.96;25.96;25.96;0;0
29.11.2021;19:00:00-000;25.96;25.96;25.96;25.96;0;0
