Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;50.5;50.5;50.5;50.5;1395;50.5
29.11.2021;09:50:00-000;50.52;50.52;50.52;50.52;230;50.5202
29.11.2021;09:56:00-000;50.525;50.525;50.525;50.525;100;50.525
29.11.2021;10:00:00-000;50.53;50.53;50.53;50.53;200;50.53
29.11.2021;10:04:00-000;50.53;50.53;50.52;50.52;925;50.5281
29.11.2021;10:12:00-000;50.52;50.52;50.52;50.52;262;50.52
29.11.2021;10:15:00-000;50.5279;50.5279;50.5279;50.5279;125;50.5263
29.11.2021;10:27:00-000;50.525;50.525;50.525;50.525;139;50.525
29.11.2021;10:30:00-000;50.5288;50.5288;50.5288;50.5288;160;50.5288
29.11.2021;10:34:00-000;50.53;50.53;50.53;50.53;200;50.53
29.11.2021;10:35:00-000;50.57;50.57;50.57;50.57;182;50.57
29.11.2021;10:40:00-000;50.55;50.55;50.55;50.55;205;50.55
29.11.2021;10:42:00-000;50.5615;50.5615;50.5615;50.5615;700;50.5615
29.11.2021;11:23:00-000;50.58;50.58;50.58;50.58;200;50.58
29.11.2021;11:25:00-000;50.58;50.58;50.58;50.58;269;50.58
29.11.2021;11:27:00-000;50.5889;50.5889;50.5889;50.5889;105;50.5889
29.11.2021;11:29:00-000;50.5899;50.5899;50.5899;50.5899;121;50.5899
29.11.2021;11:32:00-000;50.5899;50.5899;50.5899;50.5899;182;50.5899
29.11.2021;11:35:00-000;50.58;50.58;50.5701;50.5701;453;50.5745
29.11.2021;11:37:00-000;50.58;50.589;50.58;50.589;636;50.5819
29.11.2021;11:40:00-000;50.58;50.5899;50.58;50.5899;402;50.585
29.11.2021;11:41:00-000;50.58;50.58;50.58;50.58;329;50.5809
29.11.2021;11:44:00-000;50.5852;50.5852;50.58;50.58;986;50.5831
29.11.2021;11:45:00-000;50.58;50.58;50.58;50.58;200;50.58
29.11.2021;11:46:00-000;50.58;50.59;50.58;50.58;1770;50.581
29.11.2021;11:56:00-000;50.58;50.58;50.58;50.58;568;50.58
29.11.2021;11:57:00-000;50.58;50.58;50.58;50.58;200;50.58
29.11.2021;12:04:00-000;50.58;50.58;50.58;50.58;325;50.5803
29.11.2021;12:07:00-000;50.58;50.58;50.58;50.58;2118;50.58
29.11.2021;12:08:00-000;50.59;50.59;50.59;50.59;519;50.5892
29.11.2021;12:09:00-000;50.58;50.58;50.58;50.58;693;50.58
29.11.2021;12:11:00-000;50.58;50.58;50.58;50.58;600;50.58
29.11.2021;12:20:00-000;50.575;50.5799;50.575;50.5799;1106;50.5784
29.11.2021;12:38:00-000;50.5799;50.5799;50.57;50.575;1882;50.5769
29.11.2021;12:55:00-000;50.5709;50.5709;50.5709;50.5709;376;50.5709
29.11.2021;13:09:00-000;50.58;50.58;50.58;50.58;11865;50.58
29.11.2021;13:10:00-000;50.57;50.57;50.57;50.57;668;50.57
29.11.2021;13:19:00-000;50.575;50.575;50.575;50.575;2824;50.575
29.11.2021;13:25:00-000;50.575;50.575;50.575;50.575;3000;50.575
29.11.2021;13:29:00-000;50.57;50.57;50.57;50.57;235;50.5703
29.11.2021;13:36:00-000;50.57;50.57;50.57;50.57;147;50.57
29.11.2021;13:47:00-000;50.5799;50.5799;50.5799;50.5799;5535;50.5799
29.11.2021;13:52:00-000;50.57;50.5717;50.57;50.5717;615;50.5711
29.11.2021;13:56:00-000;50.5766;50.5766;50.5766;50.5766;154;50.5766
29.11.2021;14:08:00-000;50.5717;50.5717;50.57;50.57;315;50.5707
29.11.2021;14:09:00-000;50.5708;50.5708;50.5708;50.5708;655;50.5708
29.11.2021;14:14:00-000;50.57;50.57;50.57;50.57;251;50.5703
29.11.2021;14:21:00-000;50.56;50.5617;50.56;50.5617;357;50.5607
29.11.2021;14:28:00-000;50.565;50.565;50.5609;50.5609;387;50.5633
29.11.2021;14:30:00-000;50.57;50.57;50.57;50.57;128;50.57
29.11.2021;14:32:00-000;50.565;50.565;50.565;50.565;491;50.565
29.11.2021;14:34:00-000;50.56;50.56;50.56;50.56;609;50.56
29.11.2021;14:36:00-000;50.565;50.565;50.565;50.565;298;50.565
29.11.2021;14:39:00-000;50.5699;50.5699;50.5699;50.5699;810;50.5699
29.11.2021;14:50:00-000;50.57;50.57;50.57;50.57;400;50.57
29.11.2021;14:52:00-000;50.58;50.58;50.57;50.57;420;50.5743
29.11.2021;14:54:00-000;50.5701;50.5701;50.5701;50.5701;149;50.5716
29.11.2021;15:06:00-000;50.5789;50.5789;50.5789;50.5789;395;50.5789
29.11.2021;15:07:00-000;50.575;50.575;50.575;50.575;212;50.5761
29.11.2021;15:15:00-000;50.571;50.571;50.571;50.571;2288;50.571
29.11.2021;15:30:00-000;50.58;50.58;50.58;50.58;1000;50.58
29.11.2021;15:37:00-000;50.5999;50.5999;50.5999;50.5999;612;50.5999
29.11.2021;15:47:00-000;50.5989;50.5989;50.58;50.58;362;50.5898
29.11.2021;15:52:00-000;50.59;50.59;50.59;50.59;376;50.59
29.11.2021;15:59:00-000;50.59;50.6;50.58;50.59;3014;50.5892
29.11.2021;16:10:00-000;50.59;50.59;50.59;50.59;0;0
29.11.2021;18:30:00-000;50.59;50.59;50.59;50.59;0;0
29.11.2021;20:00:00-000;50.59;50.59;50.59;50.59;0;0
