Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;24.86;24.86;24.85;24.85;2053;24.8593
29.11.2021;09:33:00-000;24.8;24.8;24.8;24.8;243;24.7998
29.11.2021;09:34:00-000;24.8199;24.8199;24.8199;24.8199;246;24.8199
29.11.2021;09:44:00-000;24.78;24.78;24.78;24.78;1082;24.78
29.11.2021;09:47:00-000;24.821;24.821;24.821;24.821;100;24.821
29.11.2021;09:48:00-000;24.79;24.79;24.79;24.79;1005;24.79
29.11.2021;09:49:00-000;24.8;24.8;24.8;24.8;287;24.8007
29.11.2021;09:54:00-000;24.8;24.8;24.8;24.8;204;24.8001
29.11.2021;09:55:00-000;24.8;24.8;24.79;24.79;200;24.795
29.11.2021;10:03:00-000;24.79;24.79;24.79;24.79;315;24.7901
29.11.2021;10:04:00-000;24.77;24.77;24.77;24.77;897;24.77
29.11.2021;10:22:00-000;24.809;24.809;24.809;24.809;400;24.809
29.11.2021;10:28:00-000;24.77;24.77;24.77;24.77;102;24.7702
29.11.2021;10:31:00-000;24.77;24.77;24.77;24.77;615;24.7681
29.11.2021;10:47:00-000;24.715;24.715;24.715;24.715;1000;24.715
29.11.2021;10:48:00-000;24.71;24.71;24.71;24.71;600;24.71
29.11.2021;11:27:00-000;24.7218;24.7218;24.7218;24.7218;2021;24.7218
29.11.2021;11:50:00-000;24.71;24.7125;24.71;24.7125;200;24.7113
29.11.2021;12:13:00-000;24.739;24.739;24.739;24.739;438;24.739
29.11.2021;12:40:00-000;24.79;24.8;24.7897;24.8;2500;24.7984
29.11.2021;12:44:00-000;24.79;24.7985;24.79;24.7985;724;24.7971
29.11.2021;12:50:00-000;24.8;24.81;24.8;24.81;6055;24.8075
29.11.2021;12:58:00-000;24.81;24.81;24.81;24.81;100;24.81
29.11.2021;13:00:00-000;24.81;24.81;24.81;24.81;100;24.81
29.11.2021;13:10:00-000;24.8196;24.82;24.8196;24.82;700;24.8199
29.11.2021;13:16:00-000;24.81;24.81;24.81;24.81;200;24.81
29.11.2021;13:18:00-000;24.81;24.81;24.81;24.81;162;24.8081
29.11.2021;13:19:00-000;24.8021;24.8021;24.8021;24.8021;1012;24.8021
29.11.2021;13:21:00-000;24.8028;24.81;24.8028;24.81;500;24.8042
29.11.2021;13:38:00-000;24.81;24.81;24.81;24.81;700;24.81
29.11.2021;13:40:00-000;24.795;24.795;24.7916;24.7916;489;24.7929
29.11.2021;14:02:00-000;24.8;24.8007;24.8;24.8007;500;24.8003
29.11.2021;14:13:00-000;24.8;24.8;24.8;24.8;404;24.8
29.11.2021;14:15:00-000;24.815;24.82;24.81;24.815;600;24.8158
29.11.2021;14:28:00-000;24.81;24.81;24.81;24.81;500;24.81
29.11.2021;14:31:00-000;24.8;24.8;24.8;24.8;1300;24.8
29.11.2021;14:57:00-000;24.8;24.8;24.8;24.8;100;24.8
29.11.2021;14:59:00-000;24.7861;24.7861;24.7861;24.7861;1010;24.7862
29.11.2021;15:01:00-000;24.79;24.79;24.79;24.79;6632;24.7899
29.11.2021;15:04:00-000;24.8;24.8;24.8;24.8;5008;24.8
29.11.2021;15:05:00-000;24.8;24.8;24.8;24.8;100;24.8
29.11.2021;15:08:00-000;24.7959;24.7959;24.7959;24.7959;115;24.7961
29.11.2021;15:34:00-000;24.81;24.825;24.81;24.825;3000;24.8148
29.11.2021;15:36:00-000;24.8299;24.8299;24.82;24.82;625;24.8283
29.11.2021;15:39:00-000;24.83;24.83;24.82;24.82;1400;24.8293
29.11.2021;15:42:00-000;24.82;24.82;24.78;24.78;1701;24.7909
29.11.2021;15:45:00-000;24.795;24.795;24.795;24.795;1200;24.795
29.11.2021;15:50:00-000;24.781;24.781;24.781;24.781;400;24.781
29.11.2021;15:55:00-000;24.82;24.82;24.82;24.82;3441;24.82
29.11.2021;15:58:00-000;24.82;24.82;24.82;24.82;15573;24.82
29.11.2021;15:59:00-000;24.81;24.82;24.79;24.79;16671;24.8137
29.11.2021;16:10:00-000;24.79;24.79;24.79;24.79;0;0
29.11.2021;18:30:00-000;24.79;24.79;24.79;24.79;0;0
29.11.2021;20:00:00-000;24.79;24.79;24.79;24.79;0;0
