Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;0.8;0.8;0.8;0.8;1000;0.8
29.11.2021;11:22:00-000;0.6852;0.6852;0.68;0.68;2866;0.6837
29.11.2021;12:30:00-000;0.69;0.69;0.6701;0.68;3200;0.686
29.11.2021;12:38:00-000;0.68;0.7101;0.68;0.7101;279;0.6908
29.11.2021;13:05:00-000;0.68;0.68;0.68;0.68;100;0.68
29.11.2021;14:08:00-000;0.6847;0.6849;0.68;0.6849;800;0.6836
29.11.2021;14:13:00-000;0.6849;0.6849;0.68;0.68;700;0.6842
29.11.2021;14:14:00-000;0.6849;0.685;0.6849;0.685;200;0.685
29.11.2021;15:05:00-000;0.69;0.7;0.69;0.7;3100;0.6959
29.11.2021;15:06:00-000;0.6975;0.6975;0.6975;0.6975;400;0.6975
29.11.2021;15:13:00-000;0.6901;0.6999;0.6801;0.6999;900;0.6879
29.11.2021;15:23:00-000;0.69;0.69;0.69;0.69;100;0.69
29.11.2021;15:41:00-000;0.69;0.6999;0.6801;0.6999;600;0.6851
