Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:10:00-000;8.33;8.33;8.33;8.33;100;8.33
29.11.2021;07:11:00-000;8.34;8.34;8.34;8.34;1814;8.3397
29.11.2021;08:00:00-000;8.3399;8.34;8.3399;8.34;892;8.34
29.11.2021;08:30:00-000;8.3;8.3;8.3;8.3;100;8.3
29.11.2021;08:38:00-000;8.3;8.3;8.3;8.3;900;8.3
29.11.2021;09:30:00-000;8.4;8.46;8.4;8.46;25750;8.4014
29.11.2021;09:31:00-000;8.45;8.45;8.44;8.45;707;8.4519
29.11.2021;09:32:00-000;8.41;8.41;8.4;8.4;2343;8.4094
29.11.2021;09:33:00-000;8.42;8.425;8.39;8.39;1586;8.4046
29.11.2021;09:34:00-000;8.38;8.4;8.3775;8.4;2855;8.3843
29.11.2021;09:35:00-000;8.415;8.415;8.405;8.41;1507;8.4095
29.11.2021;09:36:00-000;8.41;8.43;8.41;8.43;1710;8.4148
29.11.2021;09:37:00-000;8.44;8.44;8.43;8.4358;746;8.435
29.11.2021;09:38:00-000;8.43;8.495;8.43;8.48;5571;8.4714
29.11.2021;09:39:00-000;8.47;8.5;8.47;8.5;1552;8.4868
29.11.2021;09:40:00-000;8.51;8.51;8.49;8.49;3394;8.4965
29.11.2021;09:41:00-000;8.49;8.49;8.45;8.4536;1913;8.4694
29.11.2021;09:42:00-000;8.45;8.46;8.45;8.46;1748;8.4531
29.11.2021;09:43:00-000;8.45;8.45;8.43;8.43;4250;8.4401
29.11.2021;09:44:00-000;8.43;8.435;8.415;8.415;1680;8.4306
29.11.2021;09:45:00-000;8.41;8.41;8.4;8.4;1234;8.4089
29.11.2021;09:46:00-000;8.41;8.42;8.41;8.42;1468;8.4169
29.11.2021;09:47:00-000;8.415;8.415;8.41;8.41;1161;8.4113
29.11.2021;09:48:00-000;8.41;8.41;8.4;8.41;2906;8.4036
29.11.2021;09:49:00-000;8.41;8.42;8.41;8.42;582;8.4138
29.11.2021;09:50:00-000;8.43;8.43;8.41;8.41;4171;8.4115
29.11.2021;09:51:00-000;8.42;8.42;8.41;8.41;3926;8.4165
29.11.2021;09:52:00-000;8.4;8.4;8.37;8.37;2772;8.3947
29.11.2021;09:53:00-000;8.38;8.4;8.38;8.38;3777;8.3898
29.11.2021;09:54:00-000;8.38;8.39;8.37;8.37;5089;8.3816
29.11.2021;09:55:00-000;8.38;8.4;8.38;8.4;1200;8.385
29.11.2021;09:56:00-000;8.4;8.42;8.4;8.4;4106;8.4078
29.11.2021;09:57:00-000;8.39;8.39;8.39;8.39;300;8.39
29.11.2021;09:58:00-000;8.38;8.39;8.375;8.39;608;8.381
29.11.2021;09:59:00-000;8.39;8.4008;8.3815;8.3815;2940;8.3953
29.11.2021;10:00:00-000;8.38;8.39;8.38;8.39;3669;8.3862
29.11.2021;10:01:00-000;8.39;8.39;8.39;8.39;783;8.3893
29.11.2021;10:02:00-000;8.4;8.4;8.39;8.39;524;8.3975
29.11.2021;10:03:00-000;8.38;8.38;8.37;8.38;6268;8.378
29.11.2021;10:04:00-000;8.385;8.39;8.37;8.37;5910;8.3804
29.11.2021;10:05:00-000;8.37;8.4;8.37;8.4;3830;8.3852
29.11.2021;10:06:00-000;8.4;8.4084;8.4;8.4;2236;8.4008
29.11.2021;10:07:00-000;8.39;8.4;8.39;8.39;3415;8.3903
29.11.2021;10:08:00-000;8.38;8.38;8.37;8.37;602;8.3762
29.11.2021;10:09:00-000;8.37;8.38;8.36;8.36;4078;8.3644
29.11.2021;10:10:00-000;8.37;8.37;8.3675;8.37;1511;8.3698
29.11.2021;10:11:00-000;8.37;8.39;8.37;8.39;1269;8.3764
29.11.2021;10:12:00-000;8.38;8.38;8.38;8.38;159;8.38
29.11.2021;10:13:00-000;8.37;8.37;8.36;8.36;759;8.3657
29.11.2021;10:15:00-000;8.365;8.38;8.365;8.38;2521;8.3784
29.11.2021;10:16:00-000;8.38;8.38;8.37;8.37;1384;8.3754
29.11.2021;10:18:00-000;8.3761;8.38;8.3761;8.38;1491;8.3774
29.11.2021;10:19:00-000;8.39;8.39;8.39;8.39;364;8.3906
29.11.2021;10:21:00-000;8.39;8.41;8.39;8.4;1938;8.4003
29.11.2021;10:22:00-000;8.395;8.395;8.39;8.39;229;8.3924
29.11.2021;10:23:00-000;8.395;8.395;8.395;8.395;125;8.396
29.11.2021;10:24:00-000;8.3984;8.3984;8.3984;8.3984;955;8.3981
29.11.2021;10:25:00-000;8.39;8.39;8.385;8.385;2402;8.3898
29.11.2021;10:26:00-000;8.38;8.38;8.38;8.38;529;8.38
29.11.2021;10:27:00-000;8.37;8.37;8.365;8.365;401;8.3688
29.11.2021;10:28:00-000;8.37;8.37;8.37;8.37;2248;8.37
29.11.2021;10:29:00-000;8.37;8.37;8.37;8.37;1475;8.37
29.11.2021;10:30:00-000;8.365;8.365;8.36;8.36;200;8.3625
29.11.2021;10:31:00-000;8.36;8.36;8.35;8.35;1520;8.3583
29.11.2021;10:32:00-000;8.36;8.36;8.35;8.35;2012;8.3595
29.11.2021;10:33:00-000;8.355;8.36;8.35;8.35;1058;8.3586
29.11.2021;10:34:00-000;8.35;8.351;8.35;8.351;3588;8.3503
29.11.2021;10:35:00-000;8.36;8.36;8.36;8.36;1508;8.36
29.11.2021;10:36:00-000;8.365;8.365;8.355;8.355;1268;8.36
29.11.2021;10:37:00-000;8.35;8.355;8.33;8.33;2852;8.3416
29.11.2021;10:38:00-000;8.33;8.335;8.33;8.33;976;8.3305
29.11.2021;10:39:00-000;8.33;8.34;8.33;8.33;1654;8.3307
29.11.2021;10:40:00-000;8.32;8.33;8.32;8.33;3825;8.3294
29.11.2021;10:41:00-000;8.33;8.33;8.33;8.33;400;8.3309
29.11.2021;10:43:00-000;8.33;8.34;8.33;8.335;2359;8.3394
29.11.2021;10:44:00-000;8.3364;8.3364;8.3364;8.3364;500;8.3364
29.11.2021;10:45:00-000;8.335;8.35;8.335;8.35;1810;8.3392
29.11.2021;10:46:00-000;8.3495;8.3495;8.3495;8.3495;357;8.3495
29.11.2021;10:47:00-000;8.35;8.35;8.344;8.345;923;8.3476
29.11.2021;10:48:00-000;8.34;8.35;8.34;8.35;1700;8.3421
29.11.2021;10:50:00-000;8.35;8.35;8.35;8.35;1030;8.3498
29.11.2021;10:51:00-000;8.35;8.35;8.35;8.35;1000;8.35
29.11.2021;10:52:00-000;8.36;8.37;8.36;8.366;3424;8.3626
29.11.2021;10:53:00-000;8.37;8.37;8.37;8.37;1336;8.37
29.11.2021;10:54:00-000;8.36;8.36;8.355;8.355;2310;8.3578
29.11.2021;10:55:00-000;8.36;8.376;8.36;8.37;3510;8.3696
29.11.2021;10:57:00-000;8.365;8.37;8.365;8.37;1100;8.3695
29.11.2021;10:58:00-000;8.37;8.37;8.37;8.37;1053;8.37
29.11.2021;11:00:00-000;8.38;8.38;8.38;8.38;228;8.3796
29.11.2021;11:02:00-000;8.38;8.39;8.38;8.39;4059;8.3813
29.11.2021;11:03:00-000;8.39;8.39;8.38;8.385;2148;8.3877
29.11.2021;11:05:00-000;8.39;8.39;8.39;8.39;102;8.3898
29.11.2021;11:06:00-000;8.385;8.385;8.385;8.385;233;8.3822
29.11.2021;11:07:00-000;8.385;8.385;8.385;8.385;143;8.3836
29.11.2021;11:10:00-000;8.385;8.385;8.385;8.385;251;8.3838
29.11.2021;11:11:00-000;8.385;8.39;8.38;8.39;975;8.3826
29.11.2021;11:12:00-000;8.39;8.39;8.39;8.39;142;8.3872
29.11.2021;11:13:00-000;8.385;8.39;8.385;8.39;3875;8.3899
29.11.2021;11:14:00-000;8.395;8.395;8.395;8.395;437;8.3945
29.11.2021;11:15:00-000;8.3977;8.4;8.3977;8.4;251;8.3986
29.11.2021;11:16:00-000;8.4;8.4;8.395;8.395;528;8.3988
29.11.2021;11:17:00-000;8.39;8.4;8.39;8.4;467;8.3932
29.11.2021;11:18:00-000;8.39;8.395;8.39;8.395;1360;8.3907
29.11.2021;11:20:00-000;8.4;8.4;8.39;8.395;741;8.3966
29.11.2021;11:21:00-000;8.4;8.4;8.395;8.395;600;8.3958
29.11.2021;11:22:00-000;8.395;8.395;8.39;8.39;231;8.3935
29.11.2021;11:23:00-000;8.4;8.4;8.395;8.395;329;8.3985
29.11.2021;11:24:00-000;8.39;8.39;8.3823;8.3823;3163;8.3896
29.11.2021;11:25:00-000;8.385;8.385;8.3758;8.3758;2378;8.3811
29.11.2021;11:26:00-000;8.38;8.38;8.37;8.37;2618;8.375
29.11.2021;11:27:00-000;8.375;8.375;8.35;8.37;8179;8.3647
29.11.2021;11:28:00-000;8.3773;8.3773;8.3773;8.3773;440;8.3752
29.11.2021;11:29:00-000;8.37;8.37;8.36;8.3627;1601;8.3664
