Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:37:00-000;77.08;77.08;77.08;77.08;200;77.08
29.11.2021;09:30:00-000;77.17;77.52;77.17;77.52;6391;77.1759
29.11.2021;09:31:00-000;77.28;77.28;77.2;77.2;594;77.2507
29.11.2021;09:32:00-000;77.14;77.14;77.14;77.14;281;77.147
29.11.2021;09:33:00-000;77.09;77.09;76.27;76.27;1635;76.7768
29.11.2021;09:34:00-000;76.51;76.51;76.12;76.12;2992;76.4872
29.11.2021;09:35:00-000;75.86;76.08;75.75;75.92;2202;75.8829
29.11.2021;09:36:00-000;76.08;76.49;76.08;76.145;1564;76.1946
29.11.2021;09:37:00-000;75.92;76.06;75.92;76.06;289;75.9997
29.11.2021;09:38:00-000;76;76.26;75.9125;76.26;471;76.0618
29.11.2021;09:39:00-000;76.07;76.16;76.07;76.16;406;76.129
29.11.2021;09:40:00-000;76.17;76.29;76.17;76.2237;457;76.2375
29.11.2021;09:41:00-000;76.29;76.61;76.29;76.34;2589;76.3426
29.11.2021;09:42:00-000;76.345;76.345;76.345;76.345;143;76.334
29.11.2021;09:43:00-000;76.1321;76.49;76.0332;76.0332;3779;76.1446
29.11.2021;09:44:00-000;75.8;75.8;75.8;75.8;806;75.8204
29.11.2021;09:45:00-000;75.86;75.86;75.34;75.34;1728;75.5834
29.11.2021;09:46:00-000;75.415;75.415;75.27;75.27;1788;75.3728
29.11.2021;09:47:00-000;75.455;75.61;75.445;75.45;775;75.5225
29.11.2021;09:48:00-000;75.4524;75.4524;75.4524;75.4524;401;75.8183
29.11.2021;09:49:00-000;75.69;75.7;75.1;75.1;8741;75.443
29.11.2021;09:50:00-000;75.05;75.45;74.91;75;9379;75.062
29.11.2021;09:51:00-000;75.07;75.185;74.78;74.98;6966;75.049
29.11.2021;09:52:00-000;74.98;74.98;74.75;74.83;876;74.8201
29.11.2021;09:53:00-000;74.87;74.96;74.55;74.56;3453;74.7393
29.11.2021;09:54:00-000;74.56;74.74;74.55;74.65;6023;74.5704
29.11.2021;09:55:00-000;74.65;74.85;74.37;74.81;6277;74.6278
29.11.2021;09:56:00-000;75.03;75.07;74.54;74.54;4385;74.9292
29.11.2021;09:57:00-000;74.54;74.55;74.54;74.55;237;74.5801
29.11.2021;09:58:00-000;74.56;74.81;74.51;74.81;4012;74.675
29.11.2021;09:59:00-000;74.82;74.88;74.81;74.88;1008;74.8404
29.11.2021;10:00:00-000;74.93;74.97;74.8;74.8;2329;74.9236
29.11.2021;10:01:00-000;74.94;74.94;74.49;74.49;2415;74.7253
29.11.2021;10:02:00-000;74.72;74.88;74.53;74.72;5635;74.7095
29.11.2021;10:03:00-000;74.61;74.72;74.6;74.63;872;74.6364
29.11.2021;10:04:00-000;74.54;74.635;74.44;74.5816;1686;74.5317
29.11.2021;10:05:00-000;74.37;74.75;74.37;74.75;1867;74.5888
29.11.2021;10:07:00-000;74.75;74.75;74.725;74.725;806;74.7699
29.11.2021;10:08:00-000;74.77;74.785;74.77;74.785;515;74.8369
29.11.2021;10:09:00-000;74.65;74.97;74.65;74.965;2631;74.9286
29.11.2021;10:10:00-000;74.965;74.965;74.965;74.965;611;74.9806
29.11.2021;10:11:00-000;74.85;74.85;74.7;74.71;1431;74.7762
29.11.2021;10:12:00-000;74.71;74.77;74.55;74.63;627;74.657
29.11.2021;10:13:00-000;74.55;74.55;74.34;74.34;1112;74.3985
29.11.2021;10:14:00-000;74.43;74.43;74.43;74.43;396;74.4029
29.11.2021;10:15:00-000;74.32;74.43;74.22;74.31;2337;74.3288
29.11.2021;10:16:00-000;74.165;74.165;74.16;74.16;548;74.1856
29.11.2021;10:17:00-000;74.18;74.52;74.18;74.495;1211;74.3039
29.11.2021;10:18:00-000;74.62;74.62;74.62;74.62;105;74.6205
29.11.2021;10:19:00-000;74.68;74.83;74.66;74.8299;999;74.7148
29.11.2021;10:20:00-000;74.66;74.66;74.66;74.66;360;74.673
29.11.2021;10:21:00-000;74.8;74.865;74.75;74.75;1164;74.7844
29.11.2021;10:22:00-000;74.76;74.77;74.7;74.7;950;74.7481
29.11.2021;10:23:00-000;74.78;74.78;74.78;74.78;202;74.8159
29.11.2021;10:24:00-000;74.86;74.92;74.86;74.92;610;74.892
29.11.2021;10:26:00-000;74.67;74.67;74.42;74.43;2239;74.5861
29.11.2021;10:27:00-000;74.41;74.41;74.2;74.2;1175;74.3764
29.11.2021;10:28:00-000;74.42;74.52;74.42;74.42;1155;74.4717
29.11.2021;10:29:00-000;74.42;74.435;74.37;74.435;865;74.4224
29.11.2021;10:30:00-000;74.35;74.465;74.3216;74.465;1169;74.37
29.11.2021;10:31:00-000;74.36;74.36;74.16;74.35;1742;74.3047
29.11.2021;10:32:00-000;74.42;74.42;74.29;74.29;1984;74.3761
29.11.2021;10:33:00-000;74.296;74.296;74.15;74.16;710;74.1969
29.11.2021;10:34:00-000;74.29;74.3199;74.17;74.3199;2107;74.2665
29.11.2021;10:35:00-000;74.32;74.5668;74.32;74.5668;1100;74.4326
29.11.2021;10:36:00-000;74.5;74.52;74.48;74.48;1008;74.4817
29.11.2021;10:37:00-000;74.265;74.265;74.1;74.11;1572;74.1674
29.11.2021;10:38:00-000;74;74;73.99;73.99;856;74.0106
29.11.2021;10:39:00-000;74.09;74.13;74.02;74.13;1539;74.0904
29.11.2021;10:40:00-000;74.06;74.06;73.9;74.02;1379;74.0325
29.11.2021;10:41:00-000;73.8;74;73.8;73.95;1302;73.9668
