Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;45.4;45.71;45.4;45.71;1321;45.4466
29.11.2021;09:34:00-000;45.34;45.34;45.34;45.34;100;45.34
29.11.2021;09:43:00-000;45.05;45.05;45.05;45.05;100;45.05
29.11.2021;09:47:00-000;45.125;45.125;45.125;45.125;104;45.1252
29.11.2021;09:56:00-000;45.36;45.36;45.36;45.36;824;45.3491
29.11.2021;10:02:00-000;45.169;45.169;45.169;45.169;145;45.2179
29.11.2021;10:04:00-000;45.14;45.245;45.13;45.245;722;45.1579
29.11.2021;10:10:00-000;45.24;45.26;45.24;45.25;620;45.2503
29.11.2021;10:11:00-000;45.43;45.43;45.43;45.43;100;45.43
29.11.2021;10:12:00-000;45.44;45.44;45.42;45.42;710;45.437
29.11.2021;10:23:00-000;45.26;45.26;45.26;45.26;100;45.26
29.11.2021;10:25:00-000;45.25;45.25;45.25;45.25;100;45.25
29.11.2021;10:39:00-000;45.11;45.11;45.11;45.11;221;45.1108
29.11.2021;10:40:00-000;44.98;45.0099;44.9;45.0099;1484;45.0034
29.11.2021;10:48:00-000;44.93;44.93;44.93;44.93;200;44.93
29.11.2021;10:56:00-000;44.9939;44.9939;44.9939;44.9939;100;44.9939
29.11.2021;10:57:00-000;45;45;45;45;700;45
29.11.2021;11:04:00-000;45;45;45;45;108;45.003
29.11.2021;11:11:00-000;45.12;45.12;45.12;45.12;100;45.12
29.11.2021;11:16:00-000;45;45;44.88;44.88;931;44.9767
29.11.2021;11:25:00-000;44.935;44.935;44.935;44.935;100;44.935
29.11.2021;11:29:00-000;44.935;44.935;44.935;44.935;300;44.935
29.11.2021;11:32:00-000;44.9;44.9;44.84;44.84;535;44.8896
29.11.2021;11:47:00-000;44.96;44.96;44.96;44.96;308;44.96
29.11.2021;11:51:00-000;44.94;44.96;44.91;44.91;840;44.9293
29.11.2021;11:52:00-000;44.9058;44.9058;44.9058;44.9058;162;44.9058
29.11.2021;11:53:00-000;44.915;44.915;44.915;44.915;556;44.915
29.11.2021;12:07:00-000;45;45.02;45;45.02;779;45.0026
29.11.2021;12:10:00-000;44.9801;44.9801;44.9801;44.9801;3000;44.9801
29.11.2021;12:24:00-000;45.19;45.19;45.19;45.19;105;45.1905
29.11.2021;12:30:00-000;45.135;45.135;45.135;45.135;300;45.135
29.11.2021;12:32:00-000;45.2;45.2;45.2;45.2;115;45.2
29.11.2021;12:35:00-000;45.21;45.24;45.21;45.24;502;45.2244
29.11.2021;12:42:00-000;45.2;45.28;45.15;45.15;1205;45.2078
29.11.2021;12:45:00-000;45.14;45.14;45.14;45.14;105;45.1405
29.11.2021;12:46:00-000;45.09;45.09;45.09;45.09;220;45.09
29.11.2021;13:11:00-000;45.125;45.125;45.125;45.125;100;45.125
29.11.2021;13:15:00-000;45.08;45.08;45.08;45.08;100;45.08
29.11.2021;13:16:00-000;45.12;45.12;45.12;45.12;100;45.12
29.11.2021;13:26:00-000;45.12;45.12;45.12;45.12;100;45.12
29.11.2021;13:28:00-000;45.115;45.115;45.115;45.115;100;45.115
29.11.2021;13:39:00-000;45.1;45.1;45.1;45.1;115;45.1011
29.11.2021;13:40:00-000;45.135;45.135;45.1;45.1;300;45.1117
29.11.2021;13:43:00-000;45.17;45.17;45.17;45.17;133;45.17
29.11.2021;13:44:00-000;45.135;45.135;45.135;45.135;700;45.1366
29.11.2021;13:48:00-000;45.17;45.17;45.17;45.17;220;45.17
29.11.2021;13:58:00-000;45.12;45.12;45.12;45.12;228;45.1225
29.11.2021;14:00:00-000;45.11;45.11;45.11;45.11;200;45.11
29.11.2021;14:06:00-000;45.061;45.061;45.061;45.061;100;45.061
29.11.2021;14:07:00-000;45.06;45.06;45.06;45.06;100;45.06
29.11.2021;14:18:00-000;45.065;45.065;45.065;45.065;207;45.065
29.11.2021;14:25:00-000;45.01;45.01;44.98;44.99;902;45.0008
29.11.2021;14:33:00-000;44.87;44.87;44.87;44.87;100;44.87
29.11.2021;14:44:00-000;44.9;44.9;44.9;44.9;350;44.8943
29.11.2021;14:54:00-000;44.915;44.915;44.915;44.915;100;44.915
29.11.2021;14:56:00-000;44.87;44.87;44.87;44.87;100;44.87
29.11.2021;15:02:00-000;44.94;44.97;44.94;44.97;909;44.9558
29.11.2021;15:07:00-000;44.955;44.955;44.955;44.955;225;44.955
29.11.2021;15:11:00-000;44.89;44.89;44.89;44.89;100;44.89
29.11.2021;15:15:00-000;44.91;44.91;44.91;44.91;174;44.9635
29.11.2021;15:19:00-000;44.98;44.98;44.98;44.98;112;44.9864
29.11.2021;15:27:00-000;44.91;44.91;44.81;44.83;1359;44.8488
29.11.2021;15:31:00-000;44.81;44.81;44.81;44.81;231;44.8154
29.11.2021;15:36:00-000;44.78;44.835;44.78;44.835;318;44.8038
29.11.2021;15:43:00-000;44.7646;44.7646;44.7646;44.7646;101;44.7646
29.11.2021;15:45:00-000;44.74;44.76;44.73;44.73;424;44.7407
29.11.2021;15:46:00-000;44.73;44.73;44.73;44.73;257;44.7285
29.11.2021;15:47:00-000;44.68;44.68;44.68;44.68;105;44.6786
29.11.2021;15:48:00-000;44.67;44.67;44.67;44.67;127;44.677
29.11.2021;15:52:00-000;44.68;44.68;44.6;44.6;627;44.6637
29.11.2021;15:54:00-000;44.66;44.66;44.66;44.66;637;44.6558
29.11.2021;15:56:00-000;44.6049;44.6049;44.6049;44.6049;198;44.6162
29.11.2021;15:57:00-000;44.61;44.6921;44.61;44.6921;495;44.6649
29.11.2021;15:59:00-000;44.63;44.63;44.57;44.57;704;44.5974
29.11.2021;16:00:00-000;44.57;44.57;44.57;44.57;440;44.57
29.11.2021;16:10:00-000;44.57;44.57;44.57;44.57;0;0
29.11.2021;18:30:00-000;44.57;44.57;44.57;44.57;0;0
29.11.2021;19:00:00-000;44.57;44.57;44.57;44.57;0;0
