Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:43:00-000;3.22;3.25;3.22;3.25;1066;3.2426
29.11.2021;08:43:00-000;3.27;3.27;3.27;3.27;100;3.27
29.11.2021;09:01:00-000;3.26;3.26;3.26;3.26;1005;3.2597
29.11.2021;09:24:00-000;3.24;3.24;3.24;3.24;100;3.24
29.11.2021;09:28:00-000;3.23;3.23;3.23;3.23;100;3.23
29.11.2021;09:30:00-000;3.23;3.23;3.22;3.22;12394;3.2274
29.11.2021;09:31:00-000;3.23;3.24;3.21;3.21;2817;3.2181
29.11.2021;09:32:00-000;3.2;3.2;3.17;3.17;3429;3.1982
29.11.2021;09:33:00-000;3.181;3.21;3.17;3.21;6546;3.1937
29.11.2021;09:34:00-000;3.1961;3.2;3.1961;3.2;1212;3.1962
29.11.2021;09:35:00-000;3.1801;3.1801;3.1801;3.1801;1351;3.1805
29.11.2021;09:36:00-000;3.18;3.18;3.17;3.17;1603;3.1783
29.11.2021;09:37:00-000;3.18;3.18;3.18;3.18;233;3.1828
29.11.2021;09:39:00-000;3.1791;3.1791;3.173;3.173;610;3.1784
29.11.2021;09:40:00-000;3.1878;3.1878;3.1878;3.1878;210;3.1875
29.11.2021;09:41:00-000;3.19;3.19;3.17;3.17;1024;3.1855
29.11.2021;09:42:00-000;3.1784;3.1784;3.1784;3.1784;419;3.1784
29.11.2021;09:45:00-000;3.17;3.17;3.1;3.13;21015;3.1495
29.11.2021;09:47:00-000;3.14;3.1491;3.14;3.1491;542;3.1453
29.11.2021;09:48:00-000;3.14;3.1437;3.14;3.1437;1115;3.1434
29.11.2021;09:49:00-000;3.15;3.1547;3.15;3.1547;1187;3.1504
29.11.2021;09:50:00-000;3.1499;3.1499;3.145;3.145;1100;3.1495
29.11.2021;09:51:00-000;3.15;3.15;3.15;3.15;212;3.1502
29.11.2021;09:54:00-000;3.165;3.165;3.165;3.165;500;3.165
29.11.2021;09:55:00-000;3.19;3.2;3.19;3.2;208;3.1947
29.11.2021;09:57:00-000;3.19;3.22;3.19;3.22;5200;3.2089
29.11.2021;09:59:00-000;3.22;3.22;3.1917;3.1917;2860;3.2102
29.11.2021;10:02:00-000;3.1916;3.1916;3.19;3.19;1127;3.1903
29.11.2021;10:03:00-000;3.19;3.19;3.19;3.19;309;3.1897
29.11.2021;10:04:00-000;3.1667;3.1667;3.1667;3.1667;212;3.1688
29.11.2021;10:05:00-000;3.1809;3.19;3.1809;3.19;1218;3.184
29.11.2021;10:06:00-000;3.21;3.21;3.21;3.21;100;3.21
29.11.2021;10:07:00-000;3.19;3.19;3.19;3.19;829;3.19
29.11.2021;10:08:00-000;3.19;3.19;3.19;3.19;376;3.1899
29.11.2021;10:09:00-000;3.188;3.188;3.188;3.188;102;3.1879
29.11.2021;10:10:00-000;3.1828;3.1828;3.1828;3.1828;500;3.1828
29.11.2021;10:13:00-000;3.18;3.18;3.18;3.18;634;3.18
29.11.2021;10:15:00-000;3.17;3.17;3.17;3.17;126;3.17
29.11.2021;10:16:00-000;3.1501;3.1501;3.1501;3.1501;510;3.1505
29.11.2021;10:17:00-000;3.1505;3.17;3.1505;3.17;2259;3.161
29.11.2021;10:18:00-000;3.16;3.161;3.15;3.161;2035;3.1567
29.11.2021;10:20:00-000;3.155;3.155;3.155;3.155;287;3.1531
29.11.2021;10:22:00-000;3.155;3.155;3.15;3.15;258;3.1521
29.11.2021;10:23:00-000;3.15;3.15;3.15;3.15;111;3.1508
29.11.2021;10:24:00-000;3.1423;3.1423;3.1423;3.1423;1007;3.1424
29.11.2021;10:25:00-000;3.1401;3.1401;3.1401;3.1401;205;3.1401
29.11.2021;10:26:00-000;3.14;3.14;3.14;3.14;600;3.14
29.11.2021;10:27:00-000;3.13;3.13;3.11;3.115;2053;3.1174
29.11.2021;10:28:00-000;3.11;3.11;3.1;3.1;10296;3.1042
29.11.2021;10:29:00-000;3.1;3.12;3.095;3.1031;8514;3.1013
29.11.2021;10:30:00-000;3.115;3.115;3.1;3.1;1353;3.1048
29.11.2021;10:31:00-000;3.1;3.1;3.09;3.09;1609;3.096
29.11.2021;10:32:00-000;3.0918;3.18;3.0918;3.1601;85969;3.16
29.11.2021;10:33:00-000;3.16;3.16;3.145;3.155;6123;3.1522
29.11.2021;10:34:00-000;3.15;3.16;3.15;3.16;451;3.1522
29.11.2021;10:35:00-000;3.16;3.1716;3.16;3.1716;1815;3.1634
29.11.2021;10:37:00-000;3.17;3.17;3.15;3.15;940;3.1633
29.11.2021;10:38:00-000;3.14;3.14;3.14;3.14;215;3.14
29.11.2021;10:41:00-000;3.1101;3.1101;3.1101;3.1101;2050;3.1106
29.11.2021;10:43:00-000;3.12;3.12;3.12;3.12;514;3.1198
29.11.2021;10:44:00-000;3.13;3.13;3.13;3.13;100;3.13
29.11.2021;10:45:00-000;3.137;3.137;3.1319;3.1319;646;3.136
29.11.2021;10:46:00-000;3.14;3.14;3.1301;3.1301;600;3.1351
29.11.2021;10:51:00-000;3.1307;3.1307;3.13;3.13;6100;3.1305
29.11.2021;10:53:00-000;3.1479;3.1479;3.1479;3.1479;255;3.1476
29.11.2021;10:54:00-000;3.1388;3.14;3.1388;3.139;636;3.1394
29.11.2021;10:55:00-000;3.1389;3.1389;3.1389;3.1389;104;3.1389
29.11.2021;10:56:00-000;3.14;3.14;3.1375;3.1375;1010;3.139
29.11.2021;11:01:00-000;3.1418;3.1418;3.1418;3.1418;210;3.142
29.11.2021;11:02:00-000;3.145;3.15;3.145;3.15;1010;3.1495
29.11.2021;11:03:00-000;3.17;3.17;3.17;3.17;520;3.17
29.11.2021;11:04:00-000;3.16;3.16;3.15;3.16;1140;3.158
29.11.2021;11:05:00-000;3.16;3.16;3.16;3.16;125;3.16
29.11.2021;11:06:00-000;3.15;3.18;3.15;3.18;7523;3.1731
29.11.2021;11:07:00-000;3.18;3.19;3.18;3.19;1590;3.1823
29.11.2021;11:09:00-000;3.1829;3.22;3.1829;3.2182;7419;3.2117
29.11.2021;11:10:00-000;3.23;3.23;3.21;3.23;8830;3.2125
29.11.2021;11:13:00-000;3.2105;3.2105;3.2105;3.2105;260;3.2105
29.11.2021;11:14:00-000;3.21;3.21;3.21;3.21;819;3.2066
29.11.2021;11:16:00-000;3.1997;3.1997;3.1997;3.1997;236;3.205
29.11.2021;11:17:00-000;3.191;3.191;3.191;3.191;1014;3.1913
29.11.2021;11:18:00-000;3.195;3.21;3.195;3.21;2128;3.2045
29.11.2021;11:21:00-000;3.2109;3.2109;3.2109;3.2109;169;3.211
29.11.2021;11:22:00-000;3.21;3.21;3.205;3.205;3173;3.2098
29.11.2021;11:26:00-000;3.21;3.21;3.21;3.21;500;3.21
29.11.2021;11:32:00-000;3.205;3.205;3.205;3.205;1000;3.205
29.11.2021;11:35:00-000;3.2;3.2;3.2;3.2;830;3.2
29.11.2021;11:37:00-000;3.185;3.185;3.185;3.185;324;3.185
29.11.2021;11:39:00-000;3.1849;3.1849;3.1849;3.1849;138;3.1849
29.11.2021;11:40:00-000;3.19;3.19;3.19;3.19;987;3.19
29.11.2021;11:43:00-000;3.19;3.19;3.1814;3.1814;5333;3.1824
29.11.2021;11:45:00-000;3.18;3.18;3.1621;3.17;1165;3.1729
29.11.2021;11:47:00-000;3.165;3.165;3.165;3.165;338;3.167
29.11.2021;11:48:00-000;3.165;3.1699;3.1611;3.1699;795;3.1633
29.11.2021;11:49:00-000;3.165;3.165;3.165;3.165;246;3.1653
29.11.2021;11:50:00-000;3.16;3.16;3.14;3.14;2234;3.1481
29.11.2021;11:53:00-000;3.1591;3.1591;3.13;3.13;1100;3.1484
29.11.2021;11:54:00-000;3.1401;3.1401;3.1401;3.1401;208;3.1403
29.11.2021;11:56:00-000;3.14;3.14;3.135;3.135;539;3.1381
29.11.2021;11:57:00-000;3.135;3.135;3.135;3.135;200;3.135
29.11.2021;11:59:00-000;3.135;3.135;3.135;3.135;150;3.1364
29.11.2021;12:00:00-000;3.14;3.14;3.14;3.14;1134;3.1406
29.11.2021;12:02:00-000;3.14;3.14;3.1301;3.14;1010;3.1323
29.11.2021;12:05:00-000;3.1496;3.15;3.1496;3.15;485;3.1494
29.11.2021;12:08:00-000;3.16;3.16;3.16;3.16;500;3.16
29.11.2021;12:09:00-000;3.157;3.157;3.157;3.157;500;3.157
29.11.2021;12:10:00-000;3.155;3.155;3.155;3.155;100;3.155
29.11.2021;12:11:00-000;3.16;3.16;3.155;3.155;645;3.1592
29.11.2021;12:12:00-000;3.155;3.155;3.155;3.155;133;3.1554
29.11.2021;12:17:00-000;3.159;3.159;3.159;3.159;156;3.1578
29.11.2021;12:21:00-000;3.16;3.16;3.16;3.16;740;3.16
29.11.2021;12:25:00-000;3.165;3.165;3.165;3.165;100;3.165
29.11.2021;12:27:00-000;3.1609;3.1609;3.1609;3.1609;234;3.1618
29.11.2021;12:28:00-000;3.17;3.17;3.17;3.17;455;3.1698
29.11.2021;12:29:00-000;3.18;3.18;3.175;3.175;1300;3.1788
29.11.2021;12:31:00-000;3.18;3.18;3.18;3.18;128;3.1785
29.11.2021;12:32:00-000;3.175;3.175;3.175;3.175;201;3.175
29.11.2021;12:35:00-000;3.1701;3.18;3.1701;3.18;1054;3.1755
29.11.2021;12:36:00-000;3.18;3.18;3.18;3.18;2497;3.1804
29.11.2021;12:38:00-000;3.1889;3.1889;3.1889;3.1889;229;3.1884
29.11.2021;12:39:00-000;3.185;3.185;3.185;3.185;106;3.185
29.11.2021;12:41:00-000;3.18;3.18;3.18;3.18;201;3.1826
29.11.2021;12:45:00-000;3.18;3.18;3.18;3.18;265;3.1802
29.11.2021;12:50:00-000;3.18;3.18;3.18;3.18;1001;3.18
29.11.2021;12:51:00-000;3.18;3.18;3.18;3.18;140;3.18
29.11.2021;12:55:00-000;3.1801;3.1801;3.1801;3.1801;308;3.1818
29.11.2021;12:56:00-000;3.19;3.1905;3.19;3.1905;674;3.1905
29.11.2021;12:58:00-000;3.2;3.21;3.2;3.21;2878;3.2007
29.11.2021;13:01:00-000;3.2011;3.2011;3.2011;3.2011;150;3.2011
29.11.2021;13:09:00-000;3.21;3.21;3.21;3.21;866;3.2101
29.11.2021;13:12:00-000;3.2001;3.2001;3.2001;3.2001;100;3.2001
29.11.2021;13:13:00-000;3.2;3.2;3.19;3.2;1917;3.1983
29.11.2021;13:15:00-000;3.17;3.17;3.16;3.16;1047;3.164
29.11.2021;13:16:00-000;3.16;3.18;3.16;3.18;1596;3.1651
29.11.2021;13:31:00-000;3.183;3.183;3.18;3.18;949;3.1804
29.11.2021;13:36:00-000;3.185;3.185;3.185;3.185;120;3.1847
29.11.2021;13:43:00-000;3.1881;3.1881;3.1881;3.1881;125;3.1866
29.11.2021;13:45:00-000;3.185;3.19;3.185;3.185;2734;3.1869
29.11.2021;13:46:00-000;3.185;3.185;3.185;3.185;100;3.185
29.11.2021;13:47:00-000;3.19;3.19;3.19;3.19;917;3.19
29.11.2021;13:50:00-000;3.1909;3.1909;3.1909;3.1909;360;3.1909
29.11.2021;13:52:00-000;3.19;3.19;3.19;3.19;507;3.19
29.11.2021;13:54:00-000;3.2;3.2;3.2;3.2;198;3.1971
29.11.2021;13:55:00-000;3.19;3.192;3.19;3.19;655;3.1904
29.11.2021;13:56:00-000;3.2;3.2;3.2;3.2;180;3.2
29.11.2021;13:58:00-000;3.199;3.199;3.199;3.199;225;3.199
29.11.2021;14:02:00-000;3.19;3.19;3.19;3.19;644;3.19
29.11.2021;14:03:00-000;3.19;3.19;3.19;3.19;222;3.1908
29.11.2021;14:04:00-000;3.2;3.22;3.2;3.22;1038;3.2019
29.11.2021;14:05:00-000;3.21;3.22;3.21;3.22;1372;3.2189
29.11.2021;14:08:00-000;3.21;3.21;3.21;3.21;140;3.21
29.11.2021;14:12:00-000;3.2096;3.21;3.2096;3.21;1020;3.2102
29.11.2021;14:13:00-000;3.2001;3.2001;3.2001;3.2001;306;3.2003
29.11.2021;14:16:00-000;3.21;3.21;3.21;3.21;101;3.2099
29.11.2021;14:17:00-000;3.2;3.2;3.2;3.2;225;3.2
29.11.2021;14:18:00-000;3.2199;3.22;3.21;3.22;2233;3.2194
29.11.2021;14:19:00-000;3.21;3.21;3.21;3.21;115;3.2087
29.11.2021;14:20:00-000;3.2027;3.2027;3.2027;3.2027;250;3.2027
29.11.2021;14:23:00-000;3.2199;3.22;3.215;3.215;3668;3.2195
29.11.2021;14:24:00-000;3.22;3.23;3.22;3.23;2624;3.2243
29.11.2021;14:25:00-000;3.235;3.235;3.235;3.235;127;3.2354
29.11.2021;14:27:00-000;3.24;3.245;3.24;3.245;1103;3.2405
29.11.2021;14:28:00-000;3.25;3.27;3.245;3.2489;22842;3.256
29.11.2021;14:29:00-000;3.24;3.24;3.23;3.24;1797;3.2394
29.11.2021;14:30:00-000;3.245;3.245;3.245;3.245;516;3.2452
29.11.2021;14:31:00-000;3.24;3.25;3.23;3.231;7393;3.243
29.11.2021;14:32:00-000;3.2474;3.2474;3.2312;3.2392;992;3.2375
29.11.2021;14:34:00-000;3.239;3.239;3.239;3.239;101;3.2389
29.11.2021;14:35:00-000;3.235;3.235;3.235;3.235;615;3.2336
29.11.2021;14:36:00-000;3.235;3.235;3.235;3.235;457;3.2366
29.11.2021;14:37:00-000;3.24;3.26;3.2397;3.255;7322;3.2445
29.11.2021;14:38:00-000;3.2599;3.28;3.255;3.28;16017;3.2709
29.11.2021;14:39:00-000;3.27;3.27;3.27;3.27;110;3.2709
29.11.2021;14:40:00-000;3.275;3.31;3.275;3.31;11659;3.2967
29.11.2021;14:41:00-000;3.3;3.31;3.3;3.31;304;3.3067
29.11.2021;14:42:00-000;3.31;3.31;3.309;3.309;300;3.3097
29.11.2021;14:43:00-000;3.31;3.33;3.31;3.33;1430;3.3166
29.11.2021;14:44:00-000;3.325;3.34;3.32;3.34;4492;3.3311
29.11.2021;14:45:00-000;3.35;3.35;3.346;3.35;712;3.3482
29.11.2021;14:46:00-000;3.34;3.3475;3.34;3.3475;533;3.3468
29.11.2021;14:47:00-000;3.33;3.33;3.32;3.32;2284;3.3278
29.11.2021;14:48:00-000;3.32;3.3201;3.3185;3.3201;2010;3.3193
29.11.2021;14:50:00-000;3.315;3.315;3.315;3.315;145;3.316
