Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;9.98;9.98;9.75;9.75;7101;9.854
29.11.2021;04:15:00-000;9.5;9.5;9.5;9.5;1548;9.5044
29.11.2021;04:22:00-000;9.45;9.45;9.45;9.45;208;9.4494
29.11.2021;04:23:00-000;9.43;9.43;9.43;9.43;501;9.43
29.11.2021;04:26:00-000;9.43;9.43;9.43;9.43;219;9.4305
29.11.2021;04:28:00-000;9.49;9.49;9.43;9.43;3000;9.4603
29.11.2021;04:30:00-000;9.5;9.5;9.5;9.5;525;9.5
29.11.2021;04:32:00-000;9.5;9.5;9.5;9.5;100;9.5
29.11.2021;04:39:00-000;9.44;9.44;9.43;9.43;241;9.4323
29.11.2021;04:40:00-000;9.27;9.27;9.26;9.26;584;9.2696
29.11.2021;04:41:00-000;9.27;9.27;9.27;9.27;222;9.269
29.11.2021;04:42:00-000;9.39;9.39;9.39;9.39;300;9.39
29.11.2021;04:44:00-000;9.5;9.5;9.5;9.5;500;9.5
29.11.2021;04:45:00-000;9.5;9.5;9.5;9.5;311;9.5
29.11.2021;04:47:00-000;9.5;9.57;9.5;9.57;1689;9.5456
29.11.2021;04:51:00-000;9.56;9.57;9.56;9.57;2600;9.5677
29.11.2021;04:57:00-000;9.69;9.69;9.69;9.69;600;9.69
29.11.2021;04:59:00-000;9.92;9.92;9.92;9.92;324;9.9362
29.11.2021;05:07:00-000;9.92;9.92;9.92;9.92;949;9.92
29.11.2021;05:14:00-000;10.01;10.01;10.01;10.01;1000;10.01
29.11.2021;05:42:00-000;10.2;10.2;10.2;10.2;100;10.2
29.11.2021;05:57:00-000;10.2;10.2;10.2;10.2;221;10.2114
29.11.2021;05:58:00-000;10.2;10.2;10.2;10.2;200;10.2
29.11.2021;06:34:00-000;10.17;10.17;10.17;10.17;400;10.17
29.11.2021;06:36:00-000;10.17;10.2;10.17;10.2;4099;10.1902
29.11.2021;07:00:00-000;10.2;10.2;10.2;10.2;321;10.2001
29.11.2021;07:01:00-000;10.25;10.25;10.21;10.21;1600;10.2125
29.11.2021;07:02:00-000;10.2;10.21;10.2;10.21;2150;10.2002
29.11.2021;07:03:00-000;10.21;10.21;10.21;10.21;150;10.21
29.11.2021;07:04:00-000;10.18;10.18;10.18;10.18;170;10.1841
29.11.2021;07:05:00-000;10.19;10.2;10.19;10.2;1200;10.1948
29.11.2021;07:11:00-000;10.29;10.29;10.29;10.29;200;10.29
29.11.2021;07:15:00-000;10.19;10.25;10.19;10.25;400;10.22
29.11.2021;07:18:00-000;10.24;10.25;10.24;10.25;552;10.2502
29.11.2021;07:22:00-000;10.41;10.41;10.41;10.41;250;10.414
29.11.2021;07:24:00-000;10.4;10.4;10.4;10.4;1784;10.4
29.11.2021;07:28:00-000;10.33;10.33;10.33;10.33;289;10.3432
29.11.2021;07:35:00-000;10.37;10.37;10.37;10.37;530;10.37
29.11.2021;07:37:00-000;10.38;10.4;10.38;10.4;450;10.3889
29.11.2021;07:41:00-000;10.41;10.41;10.4;10.4;300;10.4033
29.11.2021;07:42:00-000;10.44;10.44;10.44;10.44;200;10.44
29.11.2021;07:44:00-000;10.44;10.44;10.44;10.44;200;10.44
29.11.2021;07:48:00-000;10.43;10.46;10.4;10.46;2040;10.4453
29.11.2021;07:53:00-000;10.44;10.45;10.44;10.45;895;10.448
29.11.2021;07:54:00-000;10.47;10.47;10.47;10.47;240;10.47
29.11.2021;07:58:00-000;10.47;10.47;10.47;10.47;429;10.4675
29.11.2021;07:59:00-000;10.44;10.46;10.44;10.46;1535;10.4459
29.11.2021;08:00:00-000;10.37;10.4601;10.1801;10.46;9953;10.4114
29.11.2021;08:02:00-000;10.47;10.48;10.47;10.48;1100;10.4732
29.11.2021;08:04:00-000;10.48;10.48;10.48;10.48;203;10.48
29.11.2021;08:05:00-000;10.48;10.49;10.48;10.49;5000;10.4887
29.11.2021;08:07:00-000;10.47;10.47;10.47;10.47;1000;10.47
29.11.2021;08:10:00-000;10.49;10.5;10.49;10.5;8495;10.4986
29.11.2021;08:12:00-000;10.47;10.47;10.47;10.47;125;10.476
29.11.2021;08:13:00-000;10.47;10.47;10.47;10.47;200;10.4701
29.11.2021;08:18:00-000;10.55;10.56;10.55;10.56;2000;10.555
29.11.2021;08:20:00-000;10.5;10.5;10.5;10.5;500;10.513
29.11.2021;08:21:00-000;10.5;10.5;10.5;10.5;1000;10.5
29.11.2021;08:26:00-000;10.56;10.56;10.56;10.56;200;10.5525
29.11.2021;08:29:00-000;10.55;10.55;10.55;10.55;460;10.5465
29.11.2021;08:30:00-000;10.55;10.6;10.55;10.6;2177;10.5761
29.11.2021;08:31:00-000;10.57;10.57;10.57;10.57;680;10.57
29.11.2021;08:32:00-000;10.57;10.57;10.57;10.57;1300;10.57
29.11.2021;08:33:00-000;10.59;10.59;10.59;10.59;400;10.59
29.11.2021;08:47:00-000;10.72;10.72;10.72;10.72;501;10.72
29.11.2021;08:48:00-000;10.73;10.73;10.73;10.73;300;10.7233
29.11.2021;08:49:00-000;10.61;10.61;10.61;10.61;662;10.6114
29.11.2021;08:51:00-000;10.7;10.7;10.69;10.69;1180;10.6949
29.11.2021;08:52:00-000;10.68;10.68;10.68;10.68;285;10.686
29.11.2021;08:53:00-000;10.68;10.68;10.67;10.67;300;10.6733
29.11.2021;08:54:00-000;10.67;10.67;10.67;10.67;241;10.6717
29.11.2021;08:55:00-000;10.61;10.61;10.61;10.61;107;10.6139
29.11.2021;08:56:00-000;10.67;10.68;10.67;10.68;1001;10.6719
29.11.2021;08:57:00-000;10.68;10.68;10.68;10.68;704;10.68
29.11.2021;08:58:00-000;10.61;10.62;10.61;10.62;1549;10.6194
29.11.2021;08:59:00-000;10.62;10.62;10.62;10.62;624;10.62
29.11.2021;09:00:00-000;10.62;10.68;10.62;10.68;2394;10.6228
29.11.2021;09:02:00-000;10.68;10.68;10.68;10.68;107;10.68
29.11.2021;09:06:00-000;10.68;10.7;10.68;10.7;1097;10.6887
29.11.2021;09:07:00-000;10.7;10.71;10.69;10.69;1828;10.7032
29.11.2021;09:08:00-000;10.68;10.68;10.68;10.68;1013;10.68
29.11.2021;09:09:00-000;10.68;10.69;10.68;10.69;1022;10.6847
29.11.2021;09:10:00-000;10.69;10.69;10.68;10.68;1230;10.6867
29.11.2021;09:11:00-000;10.65;10.68;10.65;10.68;553;10.6682
29.11.2021;09:12:00-000;10.65;10.65;10.64;10.65;1625;10.6497
29.11.2021;09:13:00-000;10.65;10.65;10.64;10.64;1870;10.6405
29.11.2021;09:14:00-000;10.63;10.64;10.62;10.64;1792;10.6289
29.11.2021;09:15:00-000;10.62;10.67;10.62;10.62;1490;10.6378
29.11.2021;09:16:00-000;10.62;10.62;10.6;10.6;710;10.6108
29.11.2021;09:17:00-000;10.56;10.56;10.46;10.5;15488;10.5072
29.11.2021;09:18:00-000;10.51;10.52;10.47;10.47;5433;10.4876
29.11.2021;09:19:00-000;10.46;10.46;10.46;10.46;3693;10.46
29.11.2021;09:20:00-000;10.46;10.46;10.46;10.46;250;10.4616
29.11.2021;09:22:00-000;10.51;10.52;10.51;10.52;1155;10.5174
29.11.2021;09:24:00-000;10.6;10.6;10.58;10.58;900;10.5878
29.11.2021;09:25:00-000;10.57;10.57;10.57;10.57;605;10.5698
29.11.2021;09:27:00-000;10.56;10.56;10.56;10.56;251;10.556
29.11.2021;09:28:00-000;10.55;10.61;10.55;10.61;1225;10.5847
29.11.2021;09:30:00-000;10.58;10.62;10.51;10.62;108757;10.5824
29.11.2021;09:31:00-000;10.61;10.7;10.48;10.6262;55378;10.6152
29.11.2021;09:32:00-000;10.655;10.72;10.6001;10.61;35110;10.6558
29.11.2021;09:33:00-000;10.6064;10.65;10.46;10.57;43669;10.5511
29.11.2021;09:34:00-000;10.47;10.5088;10.37;10.37;36334;10.4237
29.11.2021;09:35:00-000;10.3601;10.45;10.3;10.39;40340;10.3614
29.11.2021;09:36:00-000;10.3976;10.45;10.37;10.43;9162;10.433
29.11.2021;09:37:00-000;10.4381;10.495;10.41;10.495;3589;10.4362
29.11.2021;09:38:00-000;10.54;10.54;10.44;10.5117;3526;10.4811
29.11.2021;09:39:00-000;10.51;10.61;10.485;10.61;6738;10.5738
29.11.2021;09:40:00-000;10.57;10.6099;10.52;10.6;11496;10.5695
29.11.2021;09:41:00-000;10.61;10.69;10.61;10.68;14496;10.6599
29.11.2021;09:42:00-000;10.655;10.75;10.655;10.7075;35439;10.7337
29.11.2021;09:43:00-000;10.6705;10.716;10.6301;10.6301;14361;10.6646
29.11.2021;09:44:00-000;10.63;10.65;10.5512;10.58;16135;10.621
29.11.2021;09:45:00-000;10.5701;10.61;10.42;10.42;28947;10.4957
29.11.2021;09:46:00-000;10.4301;10.55;10.4;10.5299;45751;10.5071
29.11.2021;09:47:00-000;10.505;10.55;10.48;10.55;6428;10.5054
29.11.2021;09:48:00-000;10.525;10.5294;10.4985;10.4985;3466;10.5107
29.11.2021;09:49:00-000;10.51;10.52;10.49;10.52;1414;10.511
29.11.2021;09:50:00-000;10.52;10.5843;10.52;10.53;11321;10.5626
