Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;06:54:00-000;13.28;13.28;13.18;13.18;200;13.23
29.11.2021;06:55:00-000;13.07;13.07;13.07;13.07;300;13.07
29.11.2021;09:30:00-000;13.38;13.38;13.38;13.38;16520;13.3797
29.11.2021;09:31:00-000;13.25;13.25;13.1898;13.1898;4188;13.1999
29.11.2021;09:32:00-000;13.18;13.185;13.15;13.185;500;13.176
29.11.2021;09:33:00-000;13.17;13.24;13.16;13.24;1340;13.2121
29.11.2021;09:35:00-000;13.22;13.22;13.19;13.19;325;13.2115
29.11.2021;09:36:00-000;13.2;13.2;13.19;13.2;400;13.1975
29.11.2021;09:37:00-000;13.19;13.19;13.19;13.19;451;13.1955
29.11.2021;09:38:00-000;13.23;13.23;13.22;13.22;281;13.2392
29.11.2021;09:39:00-000;13.21;13.21;13.21;13.21;110;13.2132
29.11.2021;09:40:00-000;13.2;13.2;13.2;13.2;300;13.2
29.11.2021;09:41:00-000;13.2;13.2;13.2;13.2;330;13.2
29.11.2021;09:42:00-000;13.2;13.2;13.18;13.18;382;13.1917
29.11.2021;09:43:00-000;13.16;13.16;13.15;13.15;200;13.155
29.11.2021;09:44:00-000;13.18;13.18;13.15;13.17;701;13.1706
29.11.2021;09:45:00-000;13.16;13.16;13.16;13.16;111;13.1619
29.11.2021;09:46:00-000;13.15;13.205;13.15;13.205;305;13.1689
29.11.2021;09:47:00-000;13.18;13.18;13.18;13.18;200;13.18
29.11.2021;09:48:00-000;13.17;13.17;13.15;13.15;400;13.16
29.11.2021;09:49:00-000;13.15;13.15;13.15;13.15;100;13.15
29.11.2021;09:50:00-000;13.15;13.15;13.15;13.15;800;13.15
29.11.2021;09:51:00-000;13.1799;13.1799;13.13;13.13;353;13.1528
29.11.2021;09:52:00-000;13.11;13.11;13.11;13.11;305;13.1106
29.11.2021;09:53:00-000;13.1;13.1;13.1;13.1;215;13.1001
29.11.2021;09:54:00-000;13.1;13.11;13.1;13.11;200;13.105
29.11.2021;09:55:00-000;13.11;13.11;13.11;13.11;226;13.1119
29.11.2021;09:56:00-000;13.13;13.15;13.13;13.15;315;13.1381
29.11.2021;09:57:00-000;13.15;13.15;13.15;13.15;208;13.1504
29.11.2021;09:58:00-000;13.12;13.13;13.12;13.13;320;13.1286
29.11.2021;09:59:00-000;13.14;13.1742;13.14;13.1742;300;13.1628
29.11.2021;10:00:00-000;13.12;13.12;13.11;13.12;400;13.115
29.11.2021;10:01:00-000;13.11;13.11;13.11;13.11;114;13.1139
