Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;16.91;16.91;16.64;16.64;2300;16.6731
29.11.2021;09:38:00-000;16.5;16.5;16.5;16.5;2519;16.4999
29.11.2021;09:39:00-000;16.43;16.43;16.33;16.33;600;16.3819
29.11.2021;09:42:00-000;16.235;16.235;16.235;16.235;104;16.2351
29.11.2021;09:43:00-000;16.27;16.315;16.27;16.315;544;16.3328
29.11.2021;09:44:00-000;16.345;16.345;16.345;16.345;109;16.3419
29.11.2021;09:45:00-000;16.29;16.29;16.29;16.29;299;16.2905
29.11.2021;09:51:00-000;16.2;16.43;16.2;16.41;2678;16.3208
29.11.2021;09:52:00-000;16.34;16.42;16.33;16.415;2111;16.3689
29.11.2021;09:54:00-000;16.49;16.49;16.46;16.46;786;16.476
29.11.2021;09:55:00-000;16.46;16.51;16.46;16.49;808;16.4749
29.11.2021;09:56:00-000;16.65;16.65;16.65;16.65;100;16.65
29.11.2021;09:58:00-000;16.55;16.65;16.545;16.545;4345;16.5899
29.11.2021;09:59:00-000;16.495;16.6;16.495;16.54;2147;16.5688
29.11.2021;10:00:00-000;16.5;16.5;16.5;16.5;514;16.4998
29.11.2021;10:01:00-000;16.5;16.5;16.5;16.5;176;16.4655
29.11.2021;10:02:00-000;16.49;16.49;16.49;16.49;201;16.4902
29.11.2021;10:03:00-000;16.515;16.515;16.515;16.515;101;16.515
29.11.2021;10:04:00-000;16.47;16.5;16.47;16.48;1809;16.4769
29.11.2021;10:05:00-000;16.475;16.475;16.475;16.475;100;16.475
29.11.2021;10:06:00-000;16.5;16.53;16.5;16.53;342;16.4998
29.11.2021;10:07:00-000;16.53;16.53;16.515;16.515;681;16.5278
29.11.2021;10:08:00-000;16.56;16.56;16.49;16.5;715;16.5148
29.11.2021;10:09:00-000;16.48;16.48;16.48;16.48;100;16.48
29.11.2021;10:10:00-000;16.46;16.46;16.46;16.46;179;16.4565
29.11.2021;10:12:00-000;16.49;16.525;16.47;16.475;9029;16.4981
29.11.2021;10:13:00-000;16.46;16.48;16.45;16.47;2154;16.459
29.11.2021;10:15:00-000;16.475;16.61;16.475;16.61;787;16.5139
29.11.2021;10:17:00-000;16.66;16.66;16.66;16.66;214;16.628
29.11.2021;10:19:00-000;16.78;16.83;16.78;16.83;307;16.7956
29.11.2021;10:20:00-000;16.74;16.81;16.73;16.73;1159;16.7573
29.11.2021;10:23:00-000;16.765;16.765;16.765;16.765;198;16.7466
29.11.2021;10:24:00-000;16.76;16.76;16.71;16.71;1100;16.7149
29.11.2021;10:26:00-000;16.52;16.52;16.5;16.5;500;16.5109
29.11.2021;10:27:00-000;16.48;16.48;16.48;16.48;277;16.4324
29.11.2021;10:28:00-000;16.4;16.45;16.4;16.45;1893;16.4369
29.11.2021;10:30:00-000;16.4;16.405;16.4;16.405;404;16.4451
29.11.2021;10:31:00-000;16.365;16.365;16.365;16.365;258;16.3494
29.11.2021;10:34:00-000;16.42;16.42;16.33;16.375;2666;16.3602
29.11.2021;10:35:00-000;16.42;16.42;16.27;16.3;2915;16.3449
29.11.2021;10:36:00-000;16.27;16.27;16.23;16.23;608;16.248
29.11.2021;10:37:00-000;16.21;16.23;16.18;16.18;4496;16.216
29.11.2021;10:38:00-000;16.17;16.17;16.12;16.12;970;16.1499
29.11.2021;10:39:00-000;16.15;16.21;16.13;16.21;3220;16.1569
29.11.2021;10:40:00-000;16.23;16.23;16.23;16.23;587;16.2288
29.11.2021;10:41:00-000;16.17;16.2;16.11;16.17;1893;16.1657
29.11.2021;10:42:00-000;16.18;16.215;16.15;16.175;1555;16.1762
29.11.2021;10:43:00-000;16.19;16.19;16.19;16.19;147;16.1936
29.11.2021;10:44:00-000;16.19;16.19;16.19;16.19;138;16.1877
29.11.2021;10:45:00-000;16.12;16.26;16.12;16.25;6819;16.1357
29.11.2021;10:46:00-000;16.125;16.125;16.11;16.11;455;16.1294
29.11.2021;10:47:00-000;16.12;16.12;16.11;16.1142;1221;16.1147
29.11.2021;10:48:00-000;16.11;16.14;16.11;16.14;639;16.1312
29.11.2021;10:49:00-000;16.12;16.12;16.11;16.11;766;16.1129
29.11.2021;10:51:00-000;16.075;16.135;16.075;16.135;431;16.1058
29.11.2021;10:52:00-000;16.1;16.115;16.09;16.09;3424;16.0951
29.11.2021;10:53:00-000;16.07;16.07;16.07;16.07;252;16.0878
29.11.2021;10:57:00-000;16.1;16.1;16.1;16.1;159;16.0975
29.11.2021;10:58:00-000;16.1;16.1;16.06;16.06;993;16.0807
29.11.2021;10:59:00-000;16.08;16.1;16.04;16.04;1276;16.0848
29.11.2021;11:00:00-000;16.04;16.09;16.02;16.02;1994;16.0383
29.11.2021;11:03:00-000;16.07;16.085;16.07;16.085;468;16.0621
29.11.2021;11:04:00-000;16.05;16.05;16.05;16.05;380;16.0524
29.11.2021;11:07:00-000;16.04;16.065;16.035;16.065;670;16.0468
29.11.2021;11:08:00-000;16.02;16.055;16.02;16.055;279;16.0367
29.11.2021;11:09:00-000;16.055;16.055;16.055;16.055;179;16.0428
