Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;3.5;3.55;3.5;3.55;7568;3.5012
29.11.2021;09:33:00-000;3.5236;3.5236;3.5236;3.5236;135;3.5244
29.11.2021;09:34:00-000;3.55;3.55;3.55;3.55;170;3.5463
29.11.2021;09:35:00-000;3.52;3.52;3.52;3.52;429;3.5213
29.11.2021;09:38:00-000;3.53;3.53;3.53;3.53;300;3.53
29.11.2021;09:44:00-000;3.55;3.55;3.51;3.51;781;3.541
29.11.2021;09:52:00-000;3.526;3.53;3.526;3.53;817;3.5268
29.11.2021;09:55:00-000;3.5101;3.5101;3.5101;3.5101;264;3.5102
29.11.2021;09:57:00-000;3.51;3.51;3.51;3.51;100;3.51
29.11.2021;10:00:00-000;3.51;3.51;3.51;3.51;100;3.51
29.11.2021;10:16:00-000;3.51;3.51;3.51;3.51;110;3.51
29.11.2021;10:20:00-000;3.5102;3.5102;3.51;3.51;600;3.5102
29.11.2021;10:22:00-000;3.5;3.5;3.5;3.5;409;3.5
29.11.2021;10:25:00-000;3.5;3.5;3.45;3.45;4968;3.4875
29.11.2021;10:28:00-000;3.4791;3.4791;3.4791;3.4791;174;3.479
29.11.2021;10:29:00-000;3.45;3.45;3.45;3.45;108;3.45
29.11.2021;10:32:00-000;3.45;3.45;3.4;3.4;1025;3.4327
29.11.2021;10:35:00-000;3.48;3.48;3.48;3.48;2000;3.48
29.11.2021;10:36:00-000;3.4008;3.4008;3.4008;3.4008;1000;3.4008
29.11.2021;10:38:00-000;3.4664;3.4664;3.41;3.41;600;3.457
29.11.2021;10:44:00-000;3.4082;3.4082;3.4;3.4;226;3.4048
29.11.2021;10:47:00-000;3.41;3.41;3.41;3.41;103;3.412
29.11.2021;10:48:00-000;3.4077;3.4077;3.4077;3.4077;150;3.4077
29.11.2021;10:52:00-000;3.4;3.4;3.4;3.4;100;3.4
29.11.2021;10:56:00-000;3.4;3.4;3.4;3.4;100;3.4
29.11.2021;11:00:00-000;3.4;3.4;3.4;3.4;100;3.4
29.11.2021;11:02:00-000;3.402;3.402;3.402;3.402;197;3.4182
29.11.2021;11:04:00-000;3.4;3.4;3.4;3.4;202;3.4
29.11.2021;11:07:00-000;3.4;3.4;3.4;3.4;2750;3.4
29.11.2021;11:09:00-000;3.4;3.4;3.4;3.4;200;3.4
29.11.2021;11:15:00-000;3.4;3.4;3.4;3.4;110;3.4051
29.11.2021;11:21:00-000;3.41;3.41;3.41;3.41;100;3.41
