Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;61.26;61.26;61.26;61.26;1776;61.2598
29.11.2021;09:31:00-000;61.165;61.165;60.95;60.95;917;61.0176
29.11.2021;09:32:00-000;60.935;61.14;60.935;60.95;3624;60.9897
29.11.2021;09:33:00-000;60.97;61;60.97;61;354;60.9718
29.11.2021;09:35:00-000;60.81;60.81;60.81;60.81;288;60.8585
29.11.2021;09:36:00-000;60.87;60.87;60.87;60.87;465;60.84
29.11.2021;09:39:00-000;60.97;60.98;60.97;60.98;314;60.9676
29.11.2021;09:40:00-000;61.025;61.025;61.025;61.025;514;61.025
29.11.2021;09:41:00-000;61.1;61.1;61.1;61.1;111;61.0822
29.11.2021;09:43:00-000;61.035;61.035;61.035;61.035;111;61.0334
29.11.2021;09:44:00-000;61.12;61.12;61.11;61.11;273;61.116
29.11.2021;09:45:00-000;61.075;61.075;61.075;61.075;526;61.1004
29.11.2021;09:46:00-000;61.1428;61.19;61.1428;61.19;753;61.1703
29.11.2021;09:47:00-000;61.19;61.19;61.19;61.19;549;61.1909
29.11.2021;09:49:00-000;61.25;61.25;61.09;61.09;789;61.1552
29.11.2021;09:51:00-000;60.96;60.96;60.96;60.96;124;60.9661
29.11.2021;09:54:00-000;60.84;60.84;60.84;60.84;121;60.8434
29.11.2021;09:55:00-000;60.75;60.785;60.72;60.785;671;60.7458
29.11.2021;09:57:00-000;60.85;60.85;60.84;60.85;816;60.841
29.11.2021;09:58:00-000;60.86;60.96;60.86;60.95;1086;60.9354
29.11.2021;09:59:00-000;60.94;60.94;60.93;60.93;426;60.9373
29.11.2021;10:00:00-000;60.91;60.91;60.91;60.91;229;60.9106
29.11.2021;10:01:00-000;60.94;60.94;60.9;60.9;558;60.9303
29.11.2021;10:02:00-000;60.94;60.94;60.94;60.94;104;60.941
29.11.2021;10:03:00-000;60.88;60.9;60.87;60.9;799;60.8824
29.11.2021;10:04:00-000;60.845;60.845;60.845;60.845;174;60.8321
29.11.2021;10:05:00-000;60.79;60.825;60.78;60.825;732;60.7951
29.11.2021;10:06:00-000;60.86;60.9;60.845;60.9;762;60.8726
29.11.2021;10:07:00-000;60.97;60.97;60.97;60.97;202;60.9698
29.11.2021;10:08:00-000;60.99;60.99;60.99;60.99;200;60.9873
29.11.2021;10:09:00-000;61.05;61.05;61.05;61.05;247;61.0407
29.11.2021;10:10:00-000;61.06;61.06;61.06;61.06;104;61.0623
29.11.2021;10:11:00-000;61.04;61.04;61.01;61.01;1519;61.0282
29.11.2021;10:12:00-000;61.025;61.06;61.025;61.03;1380;61.061
29.11.2021;10:14:00-000;61.17;61.18;61.09;61.145;4085;61.1312
29.11.2021;10:15:00-000;61.16;61.2;61.16;61.2;818;61.1433
29.11.2021;10:17:00-000;61.24;61.28;61.21;61.24;2954;61.2454
29.11.2021;10:18:00-000;61.27;61.27;61.27;61.27;470;61.2689
29.11.2021;10:19:00-000;61.3;61.3;61.3;61.3;131;61.3016
29.11.2021;10:20:00-000;61.25;61.25;61.24;61.25;1531;61.2476
29.11.2021;10:21:00-000;61.28;61.33;61.275;61.33;899;61.2912
29.11.2021;10:23:00-000;61.33;61.33;61.33;61.33;405;61.3306
29.11.2021;10:25:00-000;61.33;61.33;61.29;61.29;1470;61.3009
29.11.2021;10:26:00-000;61.18;61.22;61.18;61.22;627;61.1915
29.11.2021;10:28:00-000;61.19;61.19;61.19;61.19;142;61.1834
29.11.2021;10:30:00-000;61.18;61.18;61.18;61.18;863;61.1786
29.11.2021;10:31:00-000;61.15;61.165;61.11;61.13;2360;61.1301
29.11.2021;10:32:00-000;61.14;61.18;61.14;61.17;1120;61.1574
29.11.2021;10:33:00-000;61.2292;61.2292;61.2292;61.2292;153;61.2294
29.11.2021;10:34:00-000;61.15;61.15;61.1;61.1;1110;61.1431
29.11.2021;10:35:00-000;61.15;61.15;61.15;61.15;810;61.1536
29.11.2021;10:36:00-000;61.22;61.235;61.2;61.2;1080;61.212
29.11.2021;10:37:00-000;61.15;61.15;61.11;61.11;672;61.1317
29.11.2021;10:38:00-000;60.965;60.965;60.95;60.95;560;60.9481
29.11.2021;10:39:00-000;60.96;60.98;60.94;60.94;760;60.9704
29.11.2021;10:40:00-000;60.99;61.0175;60.99;61.015;478;61.0026
29.11.2021;10:42:00-000;60.985;60.985;60.9781;60.985;832;61.0294
29.11.2021;10:43:00-000;60.95;60.95;60.93;60.93;734;60.942
29.11.2021;10:46:00-000;60.94;60.97;60.94;60.97;551;60.9451
29.11.2021;10:48:00-000;60.96;60.96;60.85;60.85;1116;60.8897
29.11.2021;10:52:00-000;60.82;60.85;60.82;60.85;668;60.829
29.11.2021;10:53:00-000;60.88;60.88;60.8;60.8;1756;60.8425
29.11.2021;10:57:00-000;60.785;60.785;60.785;60.785;117;60.7848
29.11.2021;10:59:00-000;60.75;60.75;60.75;60.75;833;60.7505
29.11.2021;11:00:00-000;60.71;60.77;60.71;60.77;644;60.7424
29.11.2021;11:01:00-000;60.78;60.78;60.77;60.78;743;60.7767
29.11.2021;11:02:00-000;60.8;60.835;60.8;60.835;391;60.8142
29.11.2021;11:04:00-000;60.8699;60.8699;60.8699;60.8699;209;60.8697
29.11.2021;11:05:00-000;60.87;60.88;60.85;60.88;702;60.8657
29.11.2021;11:08:00-000;60.86;60.86;60.86;60.86;152;60.8632
29.11.2021;11:10:00-000;60.9;60.9;60.86;60.875;1584;60.8775
29.11.2021;11:14:00-000;60.89;60.89;60.89;60.89;601;60.8901
29.11.2021;11:15:00-000;60.91;60.93;60.91;60.93;380;60.9153
29.11.2021;11:17:00-000;60.93;60.93;60.9;60.92;2183;60.914
29.11.2021;11:18:00-000;60.88;60.88;60.88;60.88;534;60.8789
29.11.2021;11:19:00-000;60.86;60.86;60.86;60.86;100;60.86
29.11.2021;11:20:00-000;60.92;60.92;60.92;60.92;380;60.9118
29.11.2021;11:21:00-000;60.96;60.96;60.96;60.96;100;60.96
29.11.2021;11:22:00-000;60.94;60.965;60.94;60.965;294;60.9512
29.11.2021;11:23:00-000;60.965;60.965;60.93;60.93;494;60.9423
29.11.2021;11:25:00-000;60.88;60.88;60.83;60.84;1259;60.8551
29.11.2021;11:28:00-000;60.83;60.83;60.82;60.82;775;60.8253
29.11.2021;11:29:00-000;60.79;60.79;60.79;60.79;254;60.795
29.11.2021;11:30:00-000;60.805;60.805;60.805;60.805;553;60.8111
29.11.2021;11:31:00-000;60.81;60.81;60.81;60.81;100;60.81
29.11.2021;11:32:00-000;60.82;60.82;60.8;60.8;383;60.8057
29.11.2021;11:33:00-000;60.8;60.8;60.77;60.77;305;60.7899
