Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;32.24;32.24;32.24;32.24;110;32.24
29.11.2021;07:00:00-000;32.26;32.26;32.26;32.26;200;32.26
29.11.2021;07:08:00-000;32.49;32.49;32.49;32.49;100;32.49
29.11.2021;09:03:00-000;32.61;32.61;32.61;32.61;292;32.61
29.11.2021;09:21:00-000;32.7;32.7;32.53;32.53;1043;32.6158
29.11.2021;09:28:00-000;32.53;32.53;32.5;32.5;1691;32.5181
29.11.2021;09:30:00-000;32.45;32.5;32.31;32.32;43466;32.4117
29.11.2021;09:31:00-000;32.33;32.47;32.32;32.415;6550;32.3711
29.11.2021;09:32:00-000;32.37;32.48;32.37;32.47;3585;32.4195
29.11.2021;09:33:00-000;32.43;32.4629;32.3501;32.4266;4284;32.4081
29.11.2021;09:34:00-000;32.4137;32.47;32.24;32.24;8004;32.3404
29.11.2021;09:35:00-000;32.255;32.255;32.16;32.1889;2807;32.2067
29.11.2021;09:36:00-000;32.19;32.2;32.1;32.14;3708;32.1547
29.11.2021;09:37:00-000;32.14;32.1882;32.14;32.1882;1108;32.1588
29.11.2021;09:39:00-000;32.1499;32.15;32.11;32.11;2398;32.1206
29.11.2021;09:40:00-000;32.12;32.27;32.12;32.245;4750;32.1729
29.11.2021;09:41:00-000;32.28;32.35;32.27;32.29;15857;32.3133
29.11.2021;09:42:00-000;32.329;32.345;32.28;32.345;4042;32.3057
29.11.2021;09:43:00-000;32.3677;32.3677;32.2;32.21;5197;32.2511
29.11.2021;09:44:00-000;32.22;32.22;32.19;32.19;4215;32.2003
29.11.2021;09:45:00-000;32.145;32.15;32.0213;32.12;5298;32.1171
29.11.2021;09:46:00-000;32.14;32.15;32.02;32.05;4751;32.0638
29.11.2021;09:47:00-000;32.07;32.08;32.03;32.03;3318;32.0567
29.11.2021;09:48:00-000;32.11;32.19;32.11;32.18;9388;32.1386
29.11.2021;09:49:00-000;32.165;32.19;32.1302;32.17;5935;32.165
29.11.2021;09:50:00-000;32.12;32.21;32.09;32.181;17346;32.1709
29.11.2021;09:51:00-000;32.225;32.33;32.225;32.32;4950;32.2763
29.11.2021;09:52:00-000;32.31;32.46;32.31;32.46;1463;32.3681
29.11.2021;09:53:00-000;32.41;32.41;32.345;32.37;6274;32.3901
29.11.2021;09:54:00-000;32.39;32.4209;32.39;32.41;2558;32.3989
29.11.2021;09:55:00-000;32.4;32.49;32.38;32.49;6387;32.4432
29.11.2021;09:56:00-000;32.49;32.52;32.475;32.5;5374;32.4955
29.11.2021;09:57:00-000;32.47;32.47;32.4;32.43;6992;32.4377
29.11.2021;09:58:00-000;32.39;32.405;32.345;32.405;3072;32.3777
29.11.2021;09:59:00-000;32.4193;32.4193;32.2801;32.2801;7125;32.339
29.11.2021;10:00:00-000;32.27;32.36;32.27;32.36;2833;32.3163
29.11.2021;10:01:00-000;32.345;32.4;32.34;32.34;3723;32.362
29.11.2021;10:02:00-000;32.37;32.43;32.37;32.39;2917;32.3985
29.11.2021;10:03:00-000;32.36;32.36;32.25;32.32;6709;32.3111
29.11.2021;10:04:00-000;32.2894;32.295;32.22;32.23;6442;32.2541
29.11.2021;10:05:00-000;32.25;32.43;32.25;32.39;7513;32.3309
29.11.2021;10:06:00-000;32.37;32.38;32.36;32.38;929;32.3714
29.11.2021;10:07:00-000;32.34;32.34;32.215;32.24;7233;32.2535
29.11.2021;10:08:00-000;32.25;32.25;32.23;32.23;578;32.2383
29.11.2021;10:09:00-000;32.25;32.27;32.25;32.26;1998;32.2538
29.11.2021;10:10:00-000;32.28;32.29;32.28;32.29;1471;32.2813
29.11.2021;10:11:00-000;32.28;32.28;32.2;32.2;2422;32.257
29.11.2021;10:12:00-000;32.21;32.21;32.155;32.155;1349;32.191
29.11.2021;10:13:00-000;32.13;32.16;32.13;32.16;3720;32.1394
29.11.2021;10:14:00-000;32.15;32.18;32.1;32.13;3352;32.1521
29.11.2021;10:15:00-000;32.11;32.22;32.11;32.22;1662;32.1532
29.11.2021;10:16:00-000;32.17;32.17;32.0751;32.11;2881;32.129
29.11.2021;10:17:00-000;32.105;32.17;32.105;32.17;4642;32.1411
29.11.2021;10:18:00-000;32.17;32.17;32.15;32.1616;4113;32.1606
29.11.2021;10:19:00-000;32.17;32.19;32.17;32.18;3268;32.1796
29.11.2021;10:20:00-000;32.18;32.23;32.18;32.21;6933;32.2108
29.11.2021;10:21:00-000;32.22;32.255;32.22;32.23;4378;32.2359
29.11.2021;10:22:00-000;32.23;32.23;32.14;32.14;2032;32.1803
29.11.2021;10:23:00-000;32.13;32.22;32.13;32.22;8125;32.1832
29.11.2021;10:24:00-000;32.1804;32.21;32.16;32.16;3916;32.1942
29.11.2021;10:25:00-000;32.1;32.1005;32.1;32.1005;1630;32.1003
29.11.2021;10:26:00-000;32.11;32.11;32;32;3461;32.0374
29.11.2021;10:27:00-000;31.97;31.99;31.94;31.94;3199;31.9748
29.11.2021;10:28:00-000;31.92;31.96;31.92;31.95;3718;31.9532
29.11.2021;10:29:00-000;31.945;31.95;31.89;31.915;2870;31.9294
29.11.2021;10:30:00-000;31.92;31.93;31.91;31.91;4004;31.9194
29.11.2021;10:31:00-000;31.9;31.9;31.77;31.7803;4200;31.842
29.11.2021;10:32:00-000;31.8;31.82;31.7247;31.7247;8152;31.7851
29.11.2021;10:33:00-000;31.72;31.75;31.71;31.75;3049;31.7435
29.11.2021;10:34:00-000;31.8;31.8;31.76;31.77;2872;31.7715
29.11.2021;10:35:00-000;31.8;31.94;31.8;31.93;11956;31.8953
29.11.2021;10:36:00-000;31.93;31.95;31.86;31.86;8076;31.9275
29.11.2021;10:37:00-000;31.8628;31.8628;31.72;31.72;3802;31.7931
29.11.2021;10:38:00-000;31.74;31.77;31.72;31.74;6428;31.7377
29.11.2021;10:39:00-000;31.74;31.83;31.74;31.8;7129;31.7884
29.11.2021;10:40:00-000;31.78;31.81;31.7601;31.789;3805;31.784
29.11.2021;10:41:00-000;31.8;31.8;31.701;31.701;1604;31.747
29.11.2021;10:42:00-000;31.7;31.75;31.7;31.7343;2549;31.7406
29.11.2021;10:43:00-000;31.73;31.76;31.71;31.71;7249;31.7337
29.11.2021;10:44:00-000;31.71;31.73;31.71;31.7269;1564;31.7266
29.11.2021;10:45:00-000;31.75;31.83;31.75;31.82;4124;31.7932
29.11.2021;10:46:00-000;31.84;31.84;31.82;31.82;5101;31.8269
29.11.2021;10:47:00-000;31.8092;31.81;31.8092;31.81;2039;31.8061
29.11.2021;10:48:00-000;31.8;31.83;31.79;31.82;5781;31.8122
29.11.2021;10:49:00-000;31.81;31.81;31.74;31.75;2011;31.7779
29.11.2021;10:50:00-000;31.75;31.755;31.74;31.74;3218;31.7514
29.11.2021;10:51:00-000;31.74;31.77;31.7001;31.77;10124;31.7505
29.11.2021;10:52:00-000;31.79;31.81;31.77;31.77;4586;31.7839
29.11.2021;10:53:00-000;31.7895;31.8;31.7731;31.785;1007;31.7876
