Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;63.15;63.6;63.15;63.55;2824;63.4869
29.11.2021;04:01:00-000;63.57;63.8;63.5;63.8;4664;63.5513
29.11.2021;04:02:00-000;63.36;63.36;63.36;63.36;1512;63.4522
29.11.2021;04:03:00-000;63.36;63.36;63.15;63.31;2024;63.3115
29.11.2021;04:04:00-000;63.3;63.3;63.3;63.3;553;63.2793
29.11.2021;04:05:00-000;63.31;63.31;63.31;63.31;1606;63.3074
29.11.2021;04:06:00-000;63.49;63.55;63.49;63.55;1710;63.5205
29.11.2021;04:07:00-000;63.66;63.66;63.65;63.65;1391;63.6456
29.11.2021;04:08:00-000;63.67;63.68;63.67;63.67;1277;63.6805
29.11.2021;04:09:00-000;63.67;63.67;63.67;63.67;710;63.6639
29.11.2021;04:10:00-000;63.67;63.67;63.65;63.67;3281;63.6575
29.11.2021;04:11:00-000;63.67;63.81;63.67;63.81;2031;63.7426
29.11.2021;04:12:00-000;63.85;63.85;63.82;63.82;1298;63.8372
29.11.2021;04:15:00-000;63.82;63.82;63.82;63.82;1018;63.8277
29.11.2021;04:16:00-000;63.8;63.8;63.66;63.66;1176;63.7561
29.11.2021;04:17:00-000;63.7;63.7;63.7;63.7;548;63.6857
29.11.2021;04:18:00-000;63.66;63.66;63.65;63.65;654;63.6559
29.11.2021;04:19:00-000;63.5;63.5;63.5;63.5;758;63.5392
29.11.2021;04:20:00-000;63.5;63.6;63.4;63.4;1452;63.5026
29.11.2021;04:22:00-000;63.53;63.54;63.53;63.54;1133;63.5256
29.11.2021;04:23:00-000;63.43;63.43;63.43;63.43;457;63.4882
29.11.2021;04:24:00-000;63.5;63.5;63.49;63.49;1561;63.4985
29.11.2021;04:25:00-000;63.54;63.6;63.54;63.59;4894;63.545
29.11.2021;04:26:00-000;63.6;63.6;63.55;63.55;929;63.5795
29.11.2021;04:27:00-000;63.6;63.6;63.6;63.6;300;63.578
29.11.2021;04:29:00-000;63.55;63.55;63.55;63.55;368;63.5581
29.11.2021;04:30:00-000;63.54;63.54;63.54;63.54;449;63.5517
29.11.2021;04:31:00-000;63.55;63.55;63.55;63.55;126;63.5482
29.11.2021;04:32:00-000;63.54;63.55;63.54;63.55;2182;63.5418
29.11.2021;04:33:00-000;63.54;63.54;63.5;63.5;2041;63.5312
29.11.2021;04:34:00-000;63.44;63.44;63.43;63.43;1846;63.4446
29.11.2021;04:35:00-000;63.43;63.43;63.4;63.4;1420;63.4181
29.11.2021;04:36:00-000;63.4;63.4;63.4;63.4;475;63.4109
29.11.2021;04:37:00-000;63.4;63.4;63.4;63.4;337;63.4123
29.11.2021;04:38:00-000;63.4;63.4;63.4;63.4;922;63.4012
29.11.2021;04:39:00-000;63.4;63.4;63.4;63.4;690;63.3978
29.11.2021;04:41:00-000;63.36;63.38;63.36;63.38;1063;63.3766
29.11.2021;04:42:00-000;63.38;63.38;63.38;63.38;777;63.383
29.11.2021;04:44:00-000;63.38;63.38;63.38;63.38;405;63.3449
29.11.2021;04:48:00-000;63.3;63.31;63.3;63.31;1178;63.3017
29.11.2021;04:50:00-000;63.3;63.3;63.3;63.3;918;63.305
29.11.2021;04:51:00-000;63.3;63.3;63.29;63.29;1113;63.2913
29.11.2021;04:52:00-000;63.26;63.28;63.24;63.28;1330;63.2583
29.11.2021;04:53:00-000;63.28;63.28;63.28;63.28;1876;63.2796
29.11.2021;04:55:00-000;63.16;63.16;63.15;63.15;1240;63.1484
29.11.2021;04:56:00-000;63.09;63.09;63.04;63.04;1127;63.0676
29.11.2021;04:57:00-000;63.03;63.03;63;63;1362;63.0105
