Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;57.29;57.29;57.29;57.29;331;57.2566
29.11.2021;09:41:00-000;57.0845;57.0845;57.0845;57.0845;288;57.0845
29.11.2021;09:44:00-000;57.08;57.08;57.08;57.08;750;57.08
29.11.2021;09:48:00-000;57.1316;57.1316;57.1316;57.1316;294;57.1281
29.11.2021;09:50:00-000;56.97;56.97;56.97;56.97;510;56.9703
29.11.2021;09:51:00-000;57.14;57.14;57.14;57.14;1332;57.1398
29.11.2021;09:56:00-000;57.17;57.17;57.17;57.17;700;57.17
29.11.2021;09:58:00-000;57.05;57.05;57.05;57.05;529;57.05
29.11.2021;10:14:00-000;57.11;57.11;57.11;57.11;144;57.11
29.11.2021;10:21:00-000;57.11;57.11;57.11;57.11;178;57.11
29.11.2021;10:23:00-000;57.061;57.061;57.061;57.061;140;57.061
29.11.2021;10:27:00-000;57.06;57.06;57.06;57.06;200;57.06
29.11.2021;10:54:00-000;56.95;56.95;56.95;56.95;145;56.95
29.11.2021;11:06:00-000;56.94;56.94;56.94;56.94;218;56.94
29.11.2021;11:32:00-000;57.03;57.03;57.03;57.03;124;57.03
29.11.2021;12:04:00-000;57.1;57.1;57.1;57.1;365;57.1
29.11.2021;12:10:00-000;57.21;57.21;57.21;57.21;100;57.21
29.11.2021;12:14:00-000;57.21;57.21;57.21;57.21;100;57.21
29.11.2021;12:28:00-000;57.23;57.23;57.23;57.23;169;57.2346
29.11.2021;12:32:00-000;57.23;57.23;57.23;57.23;3401;57.2312
29.11.2021;12:35:00-000;57.37;57.37;57.37;57.37;124;57.37
29.11.2021;13:39:00-000;57.3299;57.3299;57.3299;57.3299;125;57.3268
29.11.2021;13:47:00-000;57.32;57.32;57.32;57.32;100;57.32
29.11.2021;14:04:00-000;57.3588;57.3588;57.3588;57.3588;873;57.3587
29.11.2021;15:21:00-000;57.339;57.339;57.339;57.339;108;57.3388
29.11.2021;15:23:00-000;57.29;57.29;57.29;57.29;170;57.2896
29.11.2021;15:54:00-000;57.17;57.2226;57.17;57.2226;349;57.203
29.11.2021;16:10:00-000;57.2229;57.2229;57.2229;57.2229;0;0
29.11.2021;18:30:00-000;57.2229;57.2229;57.2229;57.2229;0;0
29.11.2021;20:00:00-000;57.2229;57.2229;57.2229;57.2229;0;0
