Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;6;6;6;6;100;6
29.11.2021;06:17:00-000;6;6;6;6;228;6
29.11.2021;07:13:00-000;6.07;6.07;6.07;6.07;300;6.07
29.11.2021;07:18:00-000;6.07;6.07;6.07;6.07;203;6.07
29.11.2021;07:22:00-000;6.07;6.07;6.07;6.07;107;6.07
29.11.2021;07:24:00-000;6.07;6.07;6.07;6.07;174;6.07
29.11.2021;07:28:00-000;6.08;6.09;6.08;6.08;600;6.0862
29.11.2021;07:45:00-000;6.08;6.08;6.07;6.07;3475;6.0729
29.11.2021;07:58:00-000;6.06;6.06;6.06;6.06;185;6.06
29.11.2021;08:00:00-000;6.12;6.16;6.05;6.08;6405;6.0897
29.11.2021;08:05:00-000;6.0799;6.0799;6.0799;6.0799;500;6.0799
29.11.2021;08:08:00-000;6.06;6.0799;6.06;6.0799;1850;6.0745
29.11.2021;08:10:00-000;6.06;6.06;6.06;6.06;292;6.06
29.11.2021;08:11:00-000;6.06;6.06;6.06;6.06;600;6.06
29.11.2021;08:12:00-000;6.0601;6.0601;6.0601;6.0601;2007;6.0601
29.11.2021;08:19:00-000;6.0699;6.0699;6.0699;6.0699;200;6.0699
29.11.2021;08:20:00-000;6.07;6.07;6.07;6.07;700;6.07
29.11.2021;08:22:00-000;6.06;6.06;6.06;6.06;500;6.06
29.11.2021;08:24:00-000;6.07;6.07;6.07;6.07;1038;6.07
29.11.2021;08:27:00-000;6.08;6.08;6.08;6.08;4000;6.08
29.11.2021;08:30:00-000;6.08;6.08;6.08;6.08;820;6.08
29.11.2021;08:35:00-000;6.09;6.09;6.0899;6.0899;200;6.09
29.11.2021;08:54:00-000;6.0701;6.0701;6.0701;6.0701;174;6.0701
29.11.2021;08:58:00-000;6.075;6.075;6.075;6.075;1020;6.0749
29.11.2021;09:00:00-000;6.08;6.11;6.06;6.06;4530;6.0883
29.11.2021;09:01:00-000;6.06;6.06;6.05;6.06;806;6.0588
29.11.2021;09:03:00-000;6.09;6.11;6.09;6.11;1944;6.1002
29.11.2021;09:04:00-000;6.09;6.09;6.09;6.09;115;6.0917
29.11.2021;09:05:00-000;6.11;6.12;6.11;6.12;1045;6.118
29.11.2021;09:06:00-000;6.1301;6.15;6.13;6.15;16793;6.1314
29.11.2021;09:07:00-000;6.18;6.18;6.17;6.17;3952;6.1695
29.11.2021;09:08:00-000;6.18;6.18;6.16;6.16;1050;6.1705
29.11.2021;09:10:00-000;6.18;6.18;6.18;6.18;1005;6.1799
29.11.2021;09:12:00-000;6.16;6.16;6.15;6.15;337;6.1537
29.11.2021;09:13:00-000;6.1599;6.1599;6.15;6.15;600;6.155
29.11.2021;09:17:00-000;6.15;6.15;6.15;6.15;500;6.15
29.11.2021;09:18:00-000;6.14;6.14;6.14;6.14;500;6.14
29.11.2021;09:19:00-000;6.15;6.15;6.15;6.15;326;6.15
29.11.2021;09:20:00-000;6.16;6.17;6.16;6.17;1936;6.1643
29.11.2021;09:22:00-000;6.16;6.16;6.16;6.16;403;6.16
29.11.2021;09:23:00-000;6.18;6.18;6.17;6.17;2300;6.1713
29.11.2021;09:24:00-000;6.17;6.17;6.17;6.17;1200;6.17
29.11.2021;09:25:00-000;6.17;6.18;6.17;6.18;4116;6.1751
29.11.2021;09:26:00-000;6.15;6.15;6.15;6.15;786;6.15
29.11.2021;09:27:00-000;6.1699;6.17;6.1699;6.17;900;6.1699
29.11.2021;09:30:00-000;6.14;6.17;6.07;6.0799;96232;6.1279
29.11.2021;09:31:00-000;6.08;6.09;6.044;6.05;21173;6.0665
29.11.2021;09:32:00-000;6.05;6.09;6.05;6.09;13508;6.0668
29.11.2021;09:33:00-000;6.08;6.09;6.072;6.09;4494;6.0847
29.11.2021;09:34:00-000;6.09;6.16;6.09;6.1499;65592;6.1123
29.11.2021;09:35:00-000;6.14;6.165;6.13;6.14;18728;6.1498
29.11.2021;09:36:00-000;6.1301;6.14;6.1026;6.1291;27070;6.1183
29.11.2021;09:37:00-000;6.13;6.13;6.117;6.117;3975;6.1235
29.11.2021;09:38:00-000;6.12;6.1285;6.11;6.11;23452;6.1195
29.11.2021;09:39:00-000;6.105;6.12;6.105;6.11;9149;6.1094
29.11.2021;09:40:00-000;6.1013;6.115;6.09;6.1019;35053;6.1043
29.11.2021;09:41:00-000;6.1001;6.13;6.1001;6.13;19681;6.1207
29.11.2021;09:42:00-000;6.14;6.14;6.1;6.11;44410;6.1179
29.11.2021;09:43:00-000;6.1099;6.1099;6.04;6.055;26601;6.0738
29.11.2021;09:44:00-000;6.0501;6.0605;6.04;6.0605;15252;6.0554
29.11.2021;09:45:00-000;6.06;6.06;6.03;6.05;15360;6.0434
29.11.2021;09:46:00-000;6.045;6.0499;6.02;6.02;36664;6.0308
29.11.2021;09:47:00-000;6.0287;6.0398;6.025;6.0299;7243;6.0307
29.11.2021;09:48:00-000;6.03;6.04;6.0287;6.04;11259;6.033
29.11.2021;09:49:00-000;6.045;6.05;6.025;6.0291;42069;6.0364
29.11.2021;09:50:00-000;6.03;6.05;6.03;6.05;7072;6.0477
29.11.2021;09:51:00-000;6.05;6.06;6.05;6.06;5111;6.0537
29.11.2021;09:52:00-000;6.055;6.06;6.0487;6.05;10481;6.0502
29.11.2021;09:53:00-000;6.05;6.0636;6.05;6.0636;9842;6.0574
29.11.2021;09:54:00-000;6.0678;6.135;6.0678;6.13;34422;6.1156
29.11.2021;09:55:00-000;6.13;6.159;6.12;6.15;31238;6.1419
29.11.2021;09:56:00-000;6.1501;6.16;6.15;6.153;27548;6.1536
29.11.2021;09:57:00-000;6.157;6.157;6.12;6.125;16091;6.1369
29.11.2021;09:58:00-000;6.12;6.13;6.12;6.13;4844;6.1228
29.11.2021;09:59:00-000;6.1291;6.145;6.1291;6.13;19472;6.1392
29.11.2021;10:00:00-000;6.13;6.1473;6.115;6.1412;17624;6.1356
29.11.2021;10:01:00-000;6.14;6.15;6.11;6.115;41914;6.1326
