Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:27:00-000;27;27;27;27;500;27
29.11.2021;04:28:00-000;27;27;27;27;446;27
29.11.2021;05:45:00-000;27.15;27.15;27.15;27.15;130;27.15
29.11.2021;06:25:00-000;27.51;27.51;27.51;27.51;515;27.51
29.11.2021;06:29:00-000;27.5;27.5;27.5;27.5;100;27.5
29.11.2021;06:46:00-000;27.52;27.52;27.52;27.52;399;27.52
29.11.2021;07:29:00-000;27.12;27.12;27.12;27.12;525;27.1201
29.11.2021;07:44:00-000;27.5;27.5;27.5;27.5;100;27.5
29.11.2021;08:00:00-000;27.2004;27.2004;27.2004;27.2004;230;27.1876
29.11.2021;09:30:00-000;27.66;27.69;27.55;27.59;10980;27.5935
29.11.2021;09:31:00-000;27.7;27.81;27.675;27.71;6485;27.7418
29.11.2021;09:32:00-000;27.71;27.79;27.68;27.77;2451;27.7435
29.11.2021;09:33:00-000;27.7711;27.85;27.76;27.76;6304;27.8137
29.11.2021;09:36:00-000;27.61;27.61;27.6;27.61;2862;27.6107
29.11.2021;09:37:00-000;27.555;27.555;27.5;27.5;372;27.5415
29.11.2021;09:39:00-000;27.42;27.46;27.36;27.4;3885;27.41
29.11.2021;09:40:00-000;27.3;27.34;27.19;27.3;5045;27.2623
29.11.2021;09:41:00-000;27.29;27.45;27.28;27.36;5031;27.3516
29.11.2021;09:42:00-000;27.4;27.47;27.395;27.395;835;27.4074
29.11.2021;09:43:00-000;27.31;27.31;27.17;27.17;4278;27.2119
29.11.2021;09:44:00-000;27.23;27.2314;27.07;27.07;3730;27.1572
29.11.2021;09:45:00-000;27.06;27.2;26.99;27.03;3345;27.0478
29.11.2021;09:47:00-000;27.255;27.255;27.01;27.01;291;27.1273
29.11.2021;09:48:00-000;27.09;27.16;27;27.05;8943;27.0607
29.11.2021;09:49:00-000;27.02;27.02;27;27.01;709;27.0109
29.11.2021;09:50:00-000;26.94;27.2;26.93;27.145;10169;27.1203
29.11.2021;09:51:00-000;27.07;27.14;27.07;27.14;4767;27.1163
29.11.2021;09:52:00-000;27.08;27.15;27.08;27.15;414;27.1096
29.11.2021;09:53:00-000;27.03;27.15;27.03;27.04;6922;27.0641
29.11.2021;09:54:00-000;27.2;27.2;27.2;27.2;519;27.194
29.11.2021;09:55:00-000;27.25;27.38;27.23;27.3;1800;27.2826
29.11.2021;09:56:00-000;27.41;27.48;27.41;27.4143;1739;27.4236
29.11.2021;09:57:00-000;27.43;27.43;27.3572;27.4;1050;27.3874
29.11.2021;09:58:00-000;27.3464;27.375;27.21;27.29;3516;27.3137
29.11.2021;09:59:00-000;27.25;27.25;27.2;27.235;2377;27.2216
29.11.2021;10:00:00-000;27.15;27.29;27.15;27.2;1061;27.2357
29.11.2021;10:01:00-000;27.22;27.25;27.16;27.16;982;27.2242
29.11.2021;10:02:00-000;27.16;27.26;27.16;27.21;1664;27.2154
29.11.2021;10:03:00-000;27.21;27.24;27.15;27.24;4739;27.1985
29.11.2021;10:04:00-000;27.18;27.22;27.05;27.06;14241;27.1071
29.11.2021;10:05:00-000;27.03;27.22;27;27.18;7777;27.1215
29.11.2021;10:06:00-000;27.18;27.2312;27.13;27.13;8938;27.1707
29.11.2021;10:07:00-000;27.16;27.16;26.98;27.105;8393;27.0739
29.11.2021;10:08:00-000;27.05;27.07;27.04;27.07;918;27.051
29.11.2021;10:09:00-000;27;27.0499;26.97;27.0142;2799;27.0211
29.11.2021;10:10:00-000;27.05;27.05;26.98;27.05;8583;27.0421
29.11.2021;10:11:00-000;27.05;27.05;26.98;26.98;2002;27.0083
29.11.2021;10:12:00-000;26.98;26.98;26.95;26.95;541;26.9704
29.11.2021;10:14:00-000;26.95;26.95;26.95;26.95;101;26.9501
29.11.2021;10:15:00-000;26.97;27.005;26.97;26.97;826;26.9742
29.11.2021;10:16:00-000;26.92;26.96;26.86;26.86;721;26.8886
29.11.2021;10:17:00-000;26.98;27.05;26.98;27.05;1020;27.0253
29.11.2021;10:18:00-000;27.01;27.01;27;27;375;26.9772
29.11.2021;10:20:00-000;27.04;27.04;27.04;27.04;533;27.035
29.11.2021;10:21:00-000;27.05;27.07;27.05;27.05;3391;27.0552
29.11.2021;10:22:00-000;27;27;27;27;712;27.0107
29.11.2021;10:23:00-000;26.96;26.96;26.96;26.96;472;26.9604
29.11.2021;10:24:00-000;27.049;27.049;27;27;1111;27.0096
29.11.2021;10:25:00-000;26.96;26.96;26.9;26.9081;3769;26.9167
29.11.2021;10:26:00-000;26.89;26.89;26.78;26.78;2590;26.8184
29.11.2021;10:27:00-000;26.7;26.713;26.65;26.65;1248;26.6733
29.11.2021;10:28:00-000;26.68;26.74;26.68;26.74;1637;26.6894
29.11.2021;10:30:00-000;26.74;26.74;26.68;26.74;617;26.7187
29.11.2021;10:33:00-000;26.58;26.7;26.56;26.7;5099;26.609
29.11.2021;10:34:00-000;26.66;26.66;26.66;26.66;1123;26.6645
29.11.2021;10:35:00-000;26.6808;26.72;26.6808;26.72;3301;26.7194
29.11.2021;10:36:00-000;26.7511;26.7511;26.62;26.62;1557;26.6578
