Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:04:00-000;1.9;1.9;1.9;1.9;114;1.8988
29.11.2021;09:11:00-000;1.8901;1.8901;1.89;1.89;786;1.8901
29.11.2021;09:30:00-000;1.89;1.89;1.89;1.89;405;1.8902
29.11.2021;09:31:00-000;1.92;1.92;1.915;1.915;6750;1.9188
29.11.2021;09:32:00-000;1.9;1.9;1.9;1.9;6791;1.9002
29.11.2021;09:33:00-000;1.895;1.9;1.895;1.9;739;1.8993
29.11.2021;09:34:00-000;1.89;1.89;1.89;1.89;1342;1.89
29.11.2021;09:37:00-000;1.885;1.8897;1.885;1.8897;576;1.8889
29.11.2021;09:38:00-000;1.885;1.89;1.88;1.88;5009;1.8821
29.11.2021;09:40:00-000;1.875;1.875;1.875;1.875;1803;1.875
29.11.2021;09:41:00-000;1.87;1.87;1.87;1.87;303;1.87
29.11.2021;09:42:00-000;1.86;1.865;1.86;1.865;858;1.8609
29.11.2021;09:43:00-000;1.86;1.86;1.8482;1.8482;4850;1.8519
29.11.2021;09:44:00-000;1.85;1.85;1.8493;1.85;5584;1.8498
29.11.2021;09:45:00-000;1.85;1.855;1.85;1.855;1700;1.8521
29.11.2021;09:46:00-000;1.85;1.8501;1.84;1.85;2000;1.847
29.11.2021;09:50:00-000;1.84;1.84;1.84;1.84;300;1.84
29.11.2021;09:52:00-000;1.835;1.835;1.8273;1.8299;3202;1.8306
29.11.2021;09:54:00-000;1.8299;1.83;1.8299;1.83;201;1.8299
29.11.2021;09:55:00-000;1.82;1.835;1.82;1.835;5128;1.8295
29.11.2021;09:58:00-000;1.835;1.835;1.835;1.835;274;1.8351
29.11.2021;09:59:00-000;1.84;1.84;1.84;1.84;120;1.84
29.11.2021;10:00:00-000;1.84;1.84;1.84;1.84;100;1.84
29.11.2021;10:03:00-000;1.83;1.83;1.83;1.83;1700;1.83
29.11.2021;10:04:00-000;1.83;1.83;1.826;1.826;268;1.8275
29.11.2021;10:05:00-000;1.82;1.8217;1.8193;1.8193;3871;1.8204
29.11.2021;10:06:00-000;1.82;1.82;1.82;1.82;106;1.82
29.11.2021;10:07:00-000;1.82;1.82;1.81;1.8184;6231;1.8141
29.11.2021;10:08:00-000;1.82;1.82;1.82;1.82;500;1.82
29.11.2021;10:09:00-000;1.82;1.82;1.82;1.82;1000;1.82
29.11.2021;10:10:00-000;1.8199;1.82;1.8157;1.82;3200;1.8195
29.11.2021;10:11:00-000;1.82;1.84;1.82;1.84;5921;1.834
29.11.2021;10:12:00-000;1.838;1.84;1.838;1.84;510;1.8392
29.11.2021;10:13:00-000;1.8316;1.84;1.8316;1.84;6000;1.8369
29.11.2021;10:14:00-000;1.84;1.84;1.83;1.83;2200;1.8353
29.11.2021;10:15:00-000;1.8324;1.8324;1.8324;1.8324;149;1.8324
29.11.2021;10:16:00-000;1.83;1.83;1.83;1.83;300;1.83
29.11.2021;10:19:00-000;1.83;1.83;1.825;1.83;3329;1.8296
29.11.2021;10:20:00-000;1.835;1.835;1.835;1.835;2004;1.835
29.11.2021;10:21:00-000;1.84;1.84;1.8386;1.8386;1300;1.8389
29.11.2021;10:24:00-000;1.835;1.8398;1.83;1.8384;10000;1.8348
29.11.2021;10:25:00-000;1.84;1.84;1.8397;1.8397;1000;1.84
29.11.2021;10:26:00-000;1.84;1.84;1.8397;1.84;1433;1.8397
29.11.2021;10:31:00-000;1.83;1.83;1.83;1.83;500;1.83
29.11.2021;10:32:00-000;1.8271;1.83;1.827;1.827;1030;1.8274
29.11.2021;10:33:00-000;1.8285;1.8285;1.82;1.82;2000;1.8243
29.11.2021;10:35:00-000;1.83;1.84;1.8287;1.8287;4901;1.8305
29.11.2021;10:36:00-000;1.82;1.82;1.82;1.82;3412;1.82
29.11.2021;10:37:00-000;1.81;1.81;1.805;1.8099;4212;1.8088
29.11.2021;10:38:00-000;1.81;1.815;1.805;1.815;4137;1.8089
29.11.2021;10:39:00-000;1.817;1.817;1.817;1.817;115;1.817
29.11.2021;10:41:00-000;1.815;1.815;1.815;1.815;100;1.815
29.11.2021;10:44:00-000;1.82;1.82;1.82;1.82;873;1.82
29.11.2021;10:45:00-000;1.81;1.8199;1.81;1.8199;325;1.8169
29.11.2021;10:46:00-000;1.82;1.84;1.8199;1.835;30320;1.8221
29.11.2021;10:48:00-000;1.84;1.84;1.835;1.835;594;1.8364
29.11.2021;10:49:00-000;1.8399;1.84;1.8399;1.84;1145;1.8399
29.11.2021;10:52:00-000;1.84;1.84;1.84;1.84;701;1.8395
29.11.2021;10:55:00-000;1.84;1.84;1.84;1.84;200;1.84
29.11.2021;10:58:00-000;1.83;1.83;1.83;1.83;200;1.83
29.11.2021;11:01:00-000;1.84;1.84;1.84;1.84;1263;1.84
29.11.2021;11:02:00-000;1.85;1.85;1.85;1.85;202;1.85
29.11.2021;11:03:00-000;1.85;1.855;1.85;1.855;3400;1.8504
29.11.2021;11:04:00-000;1.8508;1.8517;1.85;1.85;5200;1.8503
29.11.2021;11:08:00-000;1.845;1.845;1.8417;1.8417;1100;1.842
29.11.2021;11:09:00-000;1.8401;1.85;1.8401;1.8408;3000;1.8436
29.11.2021;11:10:00-000;1.845;1.845;1.84;1.84;12939;1.8405
29.11.2021;11:13:00-000;1.8301;1.8307;1.8301;1.8307;2000;1.8304
29.11.2021;11:14:00-000;1.835;1.835;1.83;1.8301;3977;1.8314
29.11.2021;11:15:00-000;1.825;1.825;1.825;1.825;202;1.825
29.11.2021;11:18:00-000;1.8242;1.8242;1.815;1.82;3820;1.8211
29.11.2021;11:20:00-000;1.815;1.815;1.815;1.815;101;1.815
29.11.2021;11:21:00-000;1.82;1.82;1.815;1.82;776;1.8191
29.11.2021;11:23:00-000;1.82;1.82;1.82;1.82;1000;1.82
29.11.2021;11:24:00-000;1.8106;1.82;1.8106;1.815;600;1.8176
29.11.2021;11:25:00-000;1.82;1.82;1.82;1.82;142;1.82
29.11.2021;11:26:00-000;1.815;1.815;1.81;1.81;500;1.811
29.11.2021;11:28:00-000;1.8137;1.8137;1.8137;1.8137;100;1.8137
29.11.2021;11:31:00-000;1.81;1.81;1.805;1.81;6901;1.8098
29.11.2021;11:32:00-000;1.81;1.81;1.81;1.81;373;1.8077
29.11.2021;11:33:00-000;1.805;1.8162;1.805;1.8101;7601;1.8115
29.11.2021;11:34:00-000;1.815;1.815;1.81;1.81;2899;1.8117
29.11.2021;11:35:00-000;1.8098;1.81;1.8;1.8;7333;1.8054
29.11.2021;11:40:00-000;1.81;1.81;1.8;1.8;1700;1.8041
29.11.2021;11:41:00-000;1.8068;1.8071;1.8068;1.8071;2000;1.807
29.11.2021;11:43:00-000;1.8093;1.8199;1.8093;1.8199;913;1.8113
29.11.2021;11:44:00-000;1.82;1.82;1.81;1.81;5100;1.8149
29.11.2021;11:45:00-000;1.81;1.82;1.8;1.805;18347;1.8116
29.11.2021;11:46:00-000;1.81;1.81;1.81;1.81;354;1.81
29.11.2021;11:47:00-000;1.81;1.82;1.81;1.8101;7562;1.8133
29.11.2021;11:48:00-000;1.815;1.815;1.815;1.815;1046;1.8148
29.11.2021;11:53:00-000;1.812;1.812;1.812;1.812;161;1.812
29.11.2021;11:55:00-000;1.8117;1.8117;1.8107;1.8107;2000;1.8112
29.11.2021;11:56:00-000;1.812;1.812;1.81;1.81;2400;1.8101
29.11.2021;11:57:00-000;1.805;1.805;1.805;1.805;818;1.805
29.11.2021;12:01:00-000;1.8019;1.8019;1.8019;1.8019;200;1.8019
29.11.2021;12:04:00-000;1.8088;1.81;1.8088;1.81;1801;1.8093
29.11.2021;12:05:00-000;1.81;1.8119;1.81;1.8119;756;1.8108
29.11.2021;12:13:00-000;1.82;1.825;1.82;1.825;1358;1.8207
29.11.2021;12:15:00-000;1.8213;1.8213;1.8213;1.8213;206;1.8213
29.11.2021;12:16:00-000;1.82;1.82;1.82;1.82;208;1.8201
29.11.2021;12:19:00-000;1.825;1.825;1.825;1.825;200;1.825
29.11.2021;12:23:00-000;1.83;1.83;1.83;1.83;1654;1.8299
29.11.2021;12:25:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;12:26:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;12:28:00-000;1.8395;1.84;1.838;1.84;2900;1.8388
29.11.2021;12:35:00-000;1.8315;1.8315;1.8315;1.8315;195;1.8315
29.11.2021;12:41:00-000;1.835;1.84;1.835;1.84;4000;1.8399
29.11.2021;12:52:00-000;1.8399;1.8399;1.8399;1.8399;100;1.8399
29.11.2021;12:53:00-000;1.84;1.84;1.84;1.84;250;1.84
29.11.2021;12:56:00-000;1.83;1.84;1.83;1.84;2601;1.8385
29.11.2021;12:57:00-000;1.84;1.84;1.82;1.82;28015;1.8213
29.11.2021;12:58:00-000;1.825;1.825;1.825;1.825;592;1.8251
29.11.2021;12:59:00-000;1.82;1.8273;1.82;1.8273;2110;1.8204
29.11.2021;13:00:00-000;1.82;1.82;1.82;1.82;100;1.82
29.11.2021;13:06:00-000;1.825;1.83;1.825;1.83;5938;1.8299
29.11.2021;13:07:00-000;1.83;1.83;1.825;1.825;471;1.8289
29.11.2021;13:08:00-000;1.83;1.83;1.83;1.83;318;1.8298
29.11.2021;13:09:00-000;1.83;1.83;1.83;1.83;291;1.83
29.11.2021;13:10:00-000;1.83;1.83;1.83;1.83;270;1.83
29.11.2021;13:11:00-000;1.83;1.83;1.83;1.83;250;1.83
29.11.2021;13:12:00-000;1.83;1.83;1.83;1.83;279;1.8282
29.11.2021;13:15:00-000;1.83;1.83;1.82;1.82;2000;1.825
29.11.2021;13:19:00-000;1.825;1.8288;1.825;1.8288;778;1.826
29.11.2021;13:27:00-000;1.83;1.83;1.83;1.83;400;1.83
29.11.2021;13:28:00-000;1.8275;1.8275;1.8275;1.8275;100;1.8275
29.11.2021;13:33:00-000;1.828;1.83;1.828;1.83;680;1.8295
29.11.2021;13:36:00-000;1.8253;1.8253;1.8253;1.8253;100;1.8253
29.11.2021;13:41:00-000;1.82;1.82;1.82;1.82;400;1.82
29.11.2021;13:44:00-000;1.825;1.84;1.825;1.835;23926;1.8318
29.11.2021;13:47:00-000;1.835;1.835;1.835;1.835;300;1.835
29.11.2021;13:58:00-000;1.84;1.86;1.84;1.85;15429;1.8462
29.11.2021;13:59:00-000;1.852;1.852;1.85;1.85;893;1.8504
29.11.2021;14:01:00-000;1.85;1.85;1.85;1.85;300;1.85
29.11.2021;14:06:00-000;1.86;1.865;1.855;1.86;15254;1.8599
29.11.2021;14:08:00-000;1.855;1.87;1.855;1.87;2402;1.8604
29.11.2021;14:11:00-000;1.8691;1.8699;1.86;1.8699;5000;1.8672
29.11.2021;14:18:00-000;1.8657;1.87;1.8657;1.87;5100;1.8692
29.11.2021;14:20:00-000;1.865;1.87;1.865;1.87;500;1.869
29.11.2021;14:21:00-000;1.87;1.87;1.87;1.87;2431;1.87
29.11.2021;14:22:00-000;1.87;1.87;1.87;1.87;504;1.87
29.11.2021;14:29:00-000;1.87;1.87;1.87;1.87;7088;1.87
29.11.2021;14:30:00-000;1.87;1.87;1.86;1.86;21853;1.8699
29.11.2021;14:31:00-000;1.86;1.86;1.855;1.855;2158;1.858
29.11.2021;14:32:00-000;1.86;1.86;1.855;1.86;501;1.8587
29.11.2021;14:33:00-000;1.855;1.855;1.855;1.855;700;1.855
29.11.2021;14:40:00-000;1.855;1.855;1.855;1.855;374;1.854
29.11.2021;14:41:00-000;1.85;1.85;1.85;1.85;397;1.85
29.11.2021;14:42:00-000;1.85;1.85;1.845;1.85;2961;1.8497
29.11.2021;14:43:00-000;1.85;1.85;1.85;1.85;970;1.8499
29.11.2021;14:44:00-000;1.85;1.86;1.85;1.86;2191;1.8529
29.11.2021;14:49:00-000;1.86;1.87;1.86;1.865;5098;1.8681
29.11.2021;14:51:00-000;1.8646;1.8646;1.8646;1.8646;579;1.8648
29.11.2021;14:57:00-000;1.8615;1.8615;1.8615;1.8615;1030;1.8617
29.11.2021;15:00:00-000;1.87;1.87;1.87;1.87;761;1.87
29.11.2021;15:07:00-000;1.86;1.86;1.86;1.86;1510;1.86
29.11.2021;15:08:00-000;1.86;1.86;1.86;1.86;200;1.86
29.11.2021;15:09:00-000;1.86;1.86;1.86;1.86;400;1.86
29.11.2021;15:10:00-000;1.86;1.86;1.86;1.86;229;1.86
29.11.2021;15:11:00-000;1.86;1.86;1.855;1.855;300;1.8583
29.11.2021;15:12:00-000;1.86;1.86;1.86;1.86;433;1.86
29.11.2021;15:13:00-000;1.86;1.86;1.86;1.86;474;1.86
29.11.2021;15:14:00-000;1.86;1.86;1.855;1.855;1791;1.8597
29.11.2021;15:15:00-000;1.855;1.855;1.855;1.855;100;1.855
29.11.2021;15:20:00-000;1.855;1.855;1.84;1.85;13869;1.85
29.11.2021;15:22:00-000;1.84;1.84;1.84;1.84;100;1.84
29.11.2021;15:24:00-000;1.85;1.85;1.845;1.845;500;1.848
29.11.2021;15:25:00-000;1.845;1.85;1.845;1.845;2762;1.8493
29.11.2021;15:26:00-000;1.845;1.85;1.84;1.84;16057;1.841
29.11.2021;15:27:00-000;1.845;1.845;1.845;1.845;400;1.845
29.11.2021;15:33:00-000;1.845;1.845;1.845;1.845;200;1.845
29.11.2021;15:34:00-000;1.845;1.845;1.845;1.845;113;1.8454
29.11.2021;15:37:00-000;1.845;1.845;1.845;1.845;100;1.845
29.11.2021;15:39:00-000;1.845;1.845;1.83;1.835;7840;1.8391
29.11.2021;15:40:00-000;1.835;1.84;1.835;1.84;2544;1.8397
29.11.2021;15:45:00-000;1.83;1.83;1.83;1.83;100;1.83
29.11.2021;15:46:00-000;1.835;1.835;1.83;1.83;3966;1.8313
29.11.2021;15:47:00-000;1.825;1.8281;1.825;1.8281;701;1.8259
29.11.2021;15:52:00-000;1.825;1.83;1.825;1.83;336;1.8285
29.11.2021;15:53:00-000;1.82;1.82;1.82;1.82;300;1.82
29.11.2021;15:54:00-000;1.82;1.83;1.82;1.83;5600;1.8296
29.11.2021;15:55:00-000;1.83;1.84;1.825;1.835;1917;1.8324
29.11.2021;15:56:00-000;1.835;1.835;1.835;1.835;100;1.835
29.11.2021;15:57:00-000;1.835;1.84;1.835;1.84;2072;1.8395
29.11.2021;15:58:00-000;1.84;1.84;1.84;1.84;855;1.84
29.11.2021;15:59:00-000;1.84;1.84;1.83;1.83;5842;1.8372
29.11.2021;16:00:00-000;1.83;1.83;1.83;1.83;2589;1.83
29.11.2021;16:10:00-000;1.83;1.83;1.83;1.83;0;0
29.11.2021;18:30:00-000;1.83;1.83;1.83;1.83;0;0
29.11.2021;19:00:00-000;1.83;1.83;1.83;1.83;0;0
