Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;47.84;47.84;47.84;47.84;1089;47.8508
29.11.2021;05:25:00-000;47.96;47.96;47.96;47.96;530;47.96
29.11.2021;05:33:00-000;47.96;47.96;47.96;47.96;200;47.96
29.11.2021;05:34:00-000;47.96;47.96;47.96;47.96;300;47.96
29.11.2021;05:35:00-000;48.1;48.19;48.1;48.19;900;48.14
29.11.2021;05:54:00-000;47.88;47.88;47.88;47.88;150;47.882
29.11.2021;07:38:00-000;48.18;48.18;48.18;48.18;500;48.18
29.11.2021;07:39:00-000;48.18;48.2;48.18;48.2;500;48.1916
29.11.2021;07:45:00-000;47.97;47.97;47.97;47.97;100;47.97
29.11.2021;08:08:00-000;48.18;48.2;48.18;48.2;1406;48.1848
29.11.2021;08:12:00-000;48.2;48.2;48.2;48.2;299;48.2
29.11.2021;08:21:00-000;48.2;48.2;48.2;48.2;655;48.2
29.11.2021;08:30:00-000;47.95;47.95;47.95;47.95;100;47.95
29.11.2021;08:31:00-000;48.18;48.18;48.18;48.18;8751;48.18
29.11.2021;08:32:00-000;48.19;48.2;48.19;48.2;1127;48.194
29.11.2021;08:37:00-000;48.21;48.21;48.21;48.21;1004;48.2025
29.11.2021;08:57:00-000;48.4;48.5;48.4;48.5;1559;48.4739
29.11.2021;09:28:00-000;47.9;47.9;47.9;47.9;100;47.9
29.11.2021;09:29:00-000;47.96;47.96;47.95;47.95;1027;47.9571
29.11.2021;09:30:00-000;48.19;48.45;48.14;48.37;56420;48.2228
29.11.2021;09:31:00-000;48.44;48.57;48.18;48.19;14119;48.4199
29.11.2021;09:32:00-000;48.32;48.32;48.21;48.26;5648;48.256
29.11.2021;09:33:00-000;48.2622;48.32;48.03;48.03;19801;48.2209
29.11.2021;09:34:00-000;48.05;48.05;47.93;48.04;11490;47.9622
29.11.2021;09:35:00-000;48.03;48.15;47.97;48.15;20494;48.0721
29.11.2021;09:36:00-000;48.23;48.26;48.14;48.14;11212;48.2222
29.11.2021;09:37:00-000;48.16;48.2;48.02;48.05;14844;48.1588
