Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:31:00-000;0.4031;0.4031;0.4031;0.4031;1500;0.4031
29.11.2021;05:04:00-000;0.4031;0.4031;0.4031;0.4031;1352;0.4031
29.11.2021;05:19:00-000;0.4031;0.4031;0.4031;0.4031;200;0.4031
29.11.2021;07:00:00-000;0.4031;0.4031;0.4031;0.4031;140;0.4031
29.11.2021;07:24:00-000;0.4031;0.4032;0.4031;0.4032;33438;0.4032
29.11.2021;08:00:00-000;0.403;0.403;0.403;0.403;571;0.403
29.11.2021;08:10:00-000;0.4101;0.4101;0.4101;0.4101;125;0.4101
29.11.2021;08:15:00-000;0.41;0.41;0.41;0.41;125;0.41
29.11.2021;08:24:00-000;0.4184;0.4184;0.4184;0.4184;100;0.4184
29.11.2021;08:44:00-000;0.4183;0.4183;0.4183;0.4183;500;0.4183
29.11.2021;08:45:00-000;0.4182;0.4182;0.4182;0.4182;4000;0.4182
29.11.2021;08:55:00-000;0.4035;0.4035;0.4035;0.4035;1000;0.4035
29.11.2021;08:59:00-000;0.418;0.418;0.418;0.418;100;0.418
29.11.2021;09:06:00-000;0.4183;0.4183;0.4183;0.4183;172;0.4183
29.11.2021;09:08:00-000;0.4036;0.4036;0.4036;0.4036;150;0.4036
29.11.2021;09:13:00-000;0.41;0.41;0.41;0.41;1525;0.41
29.11.2021;09:27:00-000;0.4043;0.4043;0.4043;0.4043;746;0.4043
29.11.2021;09:29:00-000;0.4052;0.4052;0.4052;0.4052;100;0.4052
29.11.2021;09:30:00-000;0.4116;0.4179;0.41;0.4101;20542;0.4126
29.11.2021;09:31:00-000;0.4179;0.4179;0.4101;0.4101;4507;0.4137
29.11.2021;09:32:00-000;0.418;0.418;0.4101;0.4101;5270;0.4116
29.11.2021;09:33:00-000;0.4101;0.4101;0.4099;0.41;5660;0.41
29.11.2021;09:34:00-000;0.4098;0.4099;0.4098;0.4099;11300;0.4099
29.11.2021;09:35:00-000;0.4097;0.4097;0.4086;0.4086;1105;0.409
29.11.2021;09:36:00-000;0.405;0.4085;0.405;0.4085;2808;0.4063
29.11.2021;09:37:00-000;0.406;0.406;0.4051;0.4051;592;0.406
29.11.2021;09:38:00-000;0.4068;0.4068;0.4068;0.4068;130;0.4068
29.11.2021;09:39:00-000;0.4085;0.4085;0.4085;0.4085;10633;0.4085
29.11.2021;09:40:00-000;0.4051;0.4051;0.4051;0.4051;929;0.4051
29.11.2021;09:41:00-000;0.4084;0.4084;0.4068;0.4068;608;0.4074
29.11.2021;09:42:00-000;0.4085;0.4085;0.4051;0.4051;17280;0.4052
29.11.2021;09:43:00-000;0.4052;0.4052;0.4052;0.4052;1034;0.4053
29.11.2021;09:44:00-000;0.4085;0.4085;0.4085;0.4085;1074;0.4083
29.11.2021;09:45:00-000;0.4068;0.4068;0.4068;0.4068;1300;0.4068
29.11.2021;09:46:00-000;0.4051;0.4085;0.4051;0.4068;2275;0.4068
29.11.2021;09:47:00-000;0.4084;0.4084;0.4068;0.4068;720;0.4075
29.11.2021;09:48:00-000;0.4051;0.4083;0.4051;0.4083;21351;0.4051
29.11.2021;09:49:00-000;0.4084;0.4085;0.4084;0.4084;1815;0.4084
29.11.2021;09:50:00-000;0.4053;0.4096;0.4053;0.4096;794;0.4077
