Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;07:00:00-000;26.04;26.04;26.04;26.04;1650;26.0439
29.11.2021;07:23:00-000;26.16;26.16;26.16;26.16;136;26.16
29.11.2021;08:05:00-000;26.26;26.26;26.25;26.25;1000;26.252
29.11.2021;08:14:00-000;26.32;26.44;26.32;26.44;1400;26.3782
29.11.2021;08:23:00-000;26.44;26.51;26.44;26.51;804;26.458
29.11.2021;08:44:00-000;26.63;26.65;26.63;26.65;948;26.6431
29.11.2021;08:47:00-000;26.59;26.66;26.58;26.66;832;26.6132
29.11.2021;08:48:00-000;26.68;26.68;26.68;26.68;100;26.68
29.11.2021;08:51:00-000;26.6;26.7;26.6;26.7;1805;26.6429
29.11.2021;09:02:00-000;26.79;26.86;26.79;26.86;3975;26.8318
29.11.2021;09:03:00-000;26.85;26.85;26.85;26.85;200;26.85
29.11.2021;09:06:00-000;26.81;26.81;26.81;26.81;200;26.81
29.11.2021;09:07:00-000;26.82;26.82;26.81;26.81;800;26.8188
29.11.2021;09:11:00-000;26.79;26.8;26.79;26.8;638;26.7963
29.11.2021;09:12:00-000;26.79;26.8;26.75;26.75;2545;26.7706
29.11.2021;09:18:00-000;26.74;26.74;26.7;26.7;12147;26.7389
29.11.2021;09:27:00-000;26.75;26.76;26.75;26.76;600;26.7575
29.11.2021;09:28:00-000;26.76;26.76;26.76;26.76;300;26.76
29.11.2021;09:29:00-000;26.77;27.13;26.72;27.13;1961;26.8904
29.11.2021;09:30:00-000;27.06;27.08;26.81;26.86;157692;27.0049
29.11.2021;09:31:00-000;26.89;26.9;26.84;26.84;30077;26.8664
29.11.2021;09:32:00-000;26.82;26.82;26.76;26.76;13307;26.7811
29.11.2021;09:33:00-000;26.78;26.91;26.755;26.755;29410;26.8461
29.11.2021;09:34:00-000;26.7475;26.815;26.73;26.76;16796;26.7737
29.11.2021;09:35:00-000;26.71;26.83;26.71;26.83;11439;26.7912
29.11.2021;09:36:00-000;26.84;26.85;26.71;26.71;18041;26.822
29.11.2021;09:37:00-000;26.68;26.68;26.58;26.61;24780;26.6346
29.11.2021;09:38:00-000;26.61;26.695;26.58;26.625;13013;26.6525
29.11.2021;09:39:00-000;26.63;26.67;26.63;26.65;18669;26.6451
29.11.2021;09:40:00-000;26.66;26.71;26.62;26.69;37770;26.678
29.11.2021;09:41:00-000;26.68;26.82;26.675;26.82;246722;26.7486
29.11.2021;09:42:00-000;26.81;26.84;26.67;26.67;25660;26.7991
29.11.2021;09:43:00-000;26.67;26.67;26.535;26.54;6849;26.5776
29.11.2021;09:44:00-000;26.55;26.61;26.54;26.56;17854;26.5676
29.11.2021;09:45:00-000;26.535;26.555;26.4;26.44;26029;26.4732
29.11.2021;09:46:00-000;26.445;26.46;26.37;26.37;16643;26.4089
29.11.2021;09:47:00-000;26.37;26.39;26.32;26.38;8416;26.3696
29.11.2021;09:48:00-000;26.4;26.4;26.325;26.34;4636;26.3701
29.11.2021;09:49:00-000;26.34;26.39;26.3;26.35;15281;26.3491
29.11.2021;09:50:00-000;26.33;26.37;26.32;26.35;5751;26.3428
29.11.2021;09:51:00-000;26.37;26.42;26.36;26.36;8176;26.3951
29.11.2021;09:52:00-000;26.36;26.37;26.29;26.29;5467;26.3423
29.11.2021;09:53:00-000;26.3;26.31;26.26;26.27;9028;26.2837
29.11.2021;09:54:00-000;26.28;26.325;26.25;26.27;13515;26.2948
29.11.2021;09:55:00-000;26.27;26.365;26.255;26.36;10654;26.3058
29.11.2021;09:56:00-000;26.36;26.36;26.32;26.32;10825;26.3423
29.11.2021;09:57:00-000;26.28;26.28;26.24;26.25;8909;26.2588
29.11.2021;09:58:00-000;26.24;26.3;26.21;26.285;14069;26.2442
29.11.2021;09:59:00-000;26.28;26.31;26.22;26.245;32802;26.2539
29.11.2021;10:00:00-000;26.245;26.25;26.23;26.25;11092;26.2446
29.11.2021;10:01:00-000;26.24;26.26;26.18;26.2;12272;26.2247
29.11.2021;10:02:00-000;26.19;26.23;26.19;26.21;5967;26.2169
29.11.2021;10:03:00-000;26.2;26.205;26.17;26.18;11390;26.1872
29.11.2021;10:04:00-000;26.15;26.18;26.14;26.14;8433;26.1647
29.11.2021;10:05:00-000;26.15;26.17;26.15;26.16;4123;26.1628
29.11.2021;10:06:00-000;26.16;26.17;26.155;26.17;4227;26.1613
29.11.2021;10:07:00-000;26.165;26.28;26.15;26.24;82949;26.2172
29.11.2021;10:08:00-000;26.23;26.23;26.21;26.21;23255;26.2122
29.11.2021;10:09:00-000;26.21;26.255;26.205;26.255;8248;26.2316
29.11.2021;10:10:00-000;26.25;26.28;26.235;26.28;5652;26.2579
29.11.2021;10:11:00-000;26.28;26.2999;26.27;26.2999;3861;26.2859
29.11.2021;10:12:00-000;26.29;26.29;26.21;26.21;5745;26.2481
29.11.2021;10:13:00-000;26.21;26.229;26.18;26.225;20667;26.2024
29.11.2021;10:14:00-000;26.23;26.27;26.23;26.27;8495;26.2558
29.11.2021;10:15:00-000;26.29;26.35;26.285;26.33;11804;26.3294
29.11.2021;10:16:00-000;26.32;26.35;26.29;26.29;5859;26.3194
29.11.2021;10:17:00-000;26.29;26.33;26.275;26.32;36501;26.2855
29.11.2021;10:18:00-000;26.32;26.38;26.31;26.38;8282;26.3368
29.11.2021;10:19:00-000;26.38;26.395;26.36;26.37;6865;26.3799
29.11.2021;10:20:00-000;26.36;26.3609;26.34;26.34;6805;26.3554
29.11.2021;10:21:00-000;26.36;26.37;26.36;26.36;5531;26.3643
29.11.2021;10:22:00-000;26.36;26.37;26.34;26.34;12369;26.3449
29.11.2021;10:23:00-000;26.36;26.38;26.36;26.37;11757;26.3704
29.11.2021;10:24:00-000;26.37;26.39;26.345;26.37;7630;26.3702
29.11.2021;10:25:00-000;26.38;26.38;26.34;26.34;3675;26.3639
29.11.2021;10:26:00-000;26.34;26.34;26.26;26.26;14358;26.2771
29.11.2021;10:27:00-000;26.25;26.255;26.22;26.22;7505;26.2401
29.11.2021;10:28:00-000;26.22;26.23;26.21;26.23;2947;26.2199
29.11.2021;10:29:00-000;26.22;26.22;26.17;26.21;114046;26.1948
29.11.2021;10:30:00-000;26.2;26.24;26.2;26.24;10916;26.2098
29.11.2021;10:31:00-000;26.23;26.23;26.185;26.19;8775;26.2101
29.11.2021;10:32:00-000;26.2;26.23;26.2;26.215;5239;26.2201
29.11.2021;10:33:00-000;26.215;26.25;26.215;26.25;5178;26.2332
29.11.2021;10:34:00-000;26.265;26.265;26.225;26.26;5277;26.2454
29.11.2021;10:35:00-000;26.27;26.31;26.27;26.295;5162;26.2918
29.11.2021;10:36:00-000;26.295;26.31;26.21;26.21;9950;26.2792
29.11.2021;10:37:00-000;26.22;26.22;26.14;26.21;40231;26.1795
29.11.2021;10:38:00-000;26.205;26.25;26.2;26.22;12632;26.2166
29.11.2021;10:39:00-000;26.22;26.32;26.22;26.32;9874;26.2712
29.11.2021;10:40:00-000;26.315;26.32;26.3;26.31;7041;26.3105
29.11.2021;10:41:00-000;26.3114;26.3114;26.29;26.29;5508;26.3008
29.11.2021;10:42:00-000;26.27;26.3;26.27;26.3;5570;26.2958
29.11.2021;10:43:00-000;26.32;26.36;26.32;26.36;6418;26.3416
29.11.2021;10:44:00-000;26.37;26.3901;26.37;26.3901;4894;26.3815
29.11.2021;10:45:00-000;26.41;26.4399;26.41;26.42;11940;26.4209
29.11.2021;10:46:00-000;26.42;26.43;26.38;26.38;6036;26.4085
29.11.2021;10:47:00-000;26.36;26.365;26.35;26.365;4169;26.3549
29.11.2021;10:48:00-000;26.36;26.37;26.34;26.355;3426;26.3613
29.11.2021;10:49:00-000;26.35;26.35;26.265;26.265;7278;26.3185
29.11.2021;10:50:00-000;26.265;26.27;26.195;26.21;22625;26.213
29.11.2021;10:51:00-000;26.21;26.26;26.205;26.26;9738;26.2341
29.11.2021;10:52:00-000;26.275;26.3;26.27;26.3;4492;26.2977
29.11.2021;10:53:00-000;26.3;26.32;26.285;26.29;6642;26.3079
29.11.2021;10:54:00-000;26.28;26.295;26.27;26.27;3159;26.2854
29.11.2021;10:55:00-000;26.265;26.32;26.265;26.32;6417;26.2907
29.11.2021;10:56:00-000;26.32;26.32;26.285;26.285;3002;26.3034
29.11.2021;10:57:00-000;26.28;26.325;26.275;26.32;6852;26.3002
29.11.2021;10:58:00-000;26.32;26.33;26.31;26.325;1195;26.3237
29.11.2021;10:59:00-000;26.34;26.375;26.335;26.37;3827;26.3611
29.11.2021;11:00:00-000;26.36;26.4;26.36;26.37;4029;26.3758
29.11.2021;11:01:00-000;26.36;26.36;26.32;26.3201;3836;26.331
29.11.2021;11:02:00-000;26.325;26.345;26.32;26.34;2969;26.3341
29.11.2021;11:03:00-000;26.33;26.335;26.32;26.33;1866;26.3294
29.11.2021;11:04:00-000;26.325;26.375;26.325;26.37;7873;26.352
29.11.2021;11:05:00-000;26.375;26.385;26.36;26.38;7420;26.3719
29.11.2021;11:06:00-000;26.39;26.45;26.39;26.42;19699;26.4352
29.11.2021;11:07:00-000;26.42;26.425;26.38;26.385;7386;26.4044
29.11.2021;11:08:00-000;26.39;26.415;26.39;26.405;3348;26.4059
29.11.2021;11:09:00-000;26.4;26.4;26.38;26.38;4113;26.3855
29.11.2021;11:10:00-000;26.39;26.39;26.37;26.37;5338;26.3772
29.11.2021;11:11:00-000;26.365;26.37;26.34;26.355;9768;26.3603
29.11.2021;11:12:00-000;26.35;26.38;26.33;26.38;7504;26.3649
29.11.2021;11:13:00-000;26.39;26.395;26.38;26.38;4392;26.3838
29.11.2021;11:14:00-000;26.36;26.37;26.36;26.365;1745;26.3666
29.11.2021;11:15:00-000;26.37;26.37;26.36;26.365;2383;26.3674
29.11.2021;11:16:00-000;26.37;26.375;26.35;26.35;7578;26.3642
29.11.2021;11:17:00-000;26.36;26.36;26.34;26.35;4654;26.3489
29.11.2021;11:18:00-000;26.35;26.365;26.34;26.36;2703;26.3549
29.11.2021;11:19:00-000;26.35;26.355;26.325;26.325;2991;26.3421
29.11.2021;11:20:00-000;26.32;26.35;26.3;26.34;5566;26.3219
29.11.2021;11:21:00-000;26.3383;26.345;26.335;26.34;1386;26.3397
29.11.2021;11:22:00-000;26.33;26.35;26.32;26.33;4268;26.3339
29.11.2021;11:23:00-000;26.33;26.335;26.3;26.3;3871;26.3204
29.11.2021;11:24:00-000;26.29;26.325;26.29;26.32;3602;26.3109
29.11.2021;11:25:00-000;26.31;26.325;26.28;26.325;4028;26.2994
29.11.2021;11:26:00-000;26.32;26.36;26.31;26.34;4308;26.3271
29.11.2021;11:27:00-000;26.34;26.35;26.315;26.345;6906;26.3299
29.11.2021;11:28:00-000;26.34;26.34;26.3;26.3;2594;26.3129
29.11.2021;11:29:00-000;26.3;26.3;26.27;26.28;5695;26.2824
29.11.2021;11:30:00-000;26.28;26.3;26.24;26.3;9608;26.2739
29.11.2021;11:31:00-000;26.31;26.32;26.25;26.265;3864;26.2812
29.11.2021;11:32:00-000;26.27;26.27;26.205;26.205;5383;26.2318
29.11.2021;11:33:00-000;26.21;26.225;26.195;26.195;4736;26.2102
29.11.2021;11:34:00-000;26.185;26.21;26.1801;26.2;8972;26.2002
29.11.2021;11:35:00-000;26.21;26.22;26.205;26.22;1268;26.2116
29.11.2021;11:36:00-000;26.215;26.225;26.215;26.22;4521;26.2197
29.11.2021;11:37:00-000;26.23;26.24;26.225;26.24;3390;26.2313
29.11.2021;11:38:00-000;26.24;26.24;26.21;26.23;1993;26.2264
29.11.2021;11:39:00-000;26.24;26.26;26.235;26.235;11756;26.2421
29.11.2021;11:40:00-000;26.225;26.25;26.22;26.24;10069;26.2345
29.11.2021;11:41:00-000;26.235;26.24;26.23;26.24;6884;26.2372
29.11.2021;11:42:00-000;26.23;26.23;26.225;26.225;2567;26.2266
29.11.2021;11:43:00-000;26.225;26.245;26.22;26.245;3388;26.2315
29.11.2021;11:44:00-000;26.245;26.285;26.245;26.28;5666;26.2607
29.11.2021;11:45:00-000;26.27;26.27;26.26;26.265;3272;26.2655
29.11.2021;11:46:00-000;26.265;26.27;26.265;26.27;1756;26.2671
29.11.2021;11:47:00-000;26.285;26.33;26.285;26.325;7836;26.308
29.11.2021;11:48:00-000;26.33;26.365;26.33;26.365;3585;26.3459
29.11.2021;11:49:00-000;26.36;26.36;26.34;26.345;2845;26.3523
29.11.2021;11:50:00-000;26.35;26.35;26.34;26.349;3508;26.3465
29.11.2021;11:51:00-000;26.345;26.375;26.345;26.37;5316;26.3584
29.11.2021;11:52:00-000;26.375;26.385;26.37;26.37;1491;26.3782
29.11.2021;11:53:00-000;26.38;26.38;26.375;26.38;3375;26.3789
29.11.2021;11:54:00-000;26.395;26.395;26.39;26.395;2965;26.3895
29.11.2021;11:55:00-000;26.4;26.405;26.395;26.395;3904;26.3986
29.11.2021;11:56:00-000;26.395;26.43;26.395;26.425;14163;26.4174
29.11.2021;11:57:00-000;26.425;26.425;26.4;26.425;7228;26.4073
29.11.2021;11:58:00-000;26.425;26.425;26.415;26.4201;4179;26.4206
29.11.2021;11:59:00-000;26.425;26.46;26.425;26.45;31325;26.4489
29.11.2021;12:00:00-000;26.45;26.45;26.44;26.445;4532;26.4447
29.11.2021;12:01:00-000;26.445;26.45;26.44;26.45;2810;26.4445
29.11.2021;12:02:00-000;26.445;26.445;26.43;26.44;8212;26.4373
29.11.2021;12:03:00-000;26.44;26.455;26.435;26.445;3934;26.4474
29.11.2021;12:04:00-000;26.45;26.48;26.45;26.48;6046;26.4615
29.11.2021;12:05:00-000;26.48;26.505;26.48;26.505;2567;26.4924
29.11.2021;12:06:00-000;26.51;26.51;26.5;26.505;16127;26.5018
29.11.2021;12:07:00-000;26.51;26.52;26.49;26.52;7382;26.505
29.11.2021;12:08:00-000;26.525;26.53;26.515;26.525;13477;26.5222
29.11.2021;12:09:00-000;26.53;26.53;26.5;26.52;7941;26.5185
29.11.2021;12:10:00-000;26.52;26.53;26.515;26.525;3851;26.5224
29.11.2021;12:11:00-000;26.525;26.525;26.525;26.525;925;26.5238
29.11.2021;12:12:00-000;26.52;26.52;26.505;26.505;1472;26.5108
29.11.2021;12:13:00-000;26.505;26.505;26.495;26.505;4084;26.5012
29.11.2021;12:14:00-000;26.505;26.52;26.505;26.52;4175;26.5135
29.11.2021;12:15:00-000;26.51;26.515;26.505;26.51;3437;26.5108
29.11.2021;12:16:00-000;26.51;26.51;26.5;26.505;2321;26.5053
29.11.2021;12:17:00-000;26.51;26.51;26.505;26.51;2192;26.507
29.11.2021;12:18:00-000;26.51;26.515;26.5;26.5;3530;26.5076
29.11.2021;12:19:00-000;26.505;26.51;26.505;26.505;2334;26.5052
29.11.2021;12:20:00-000;26.505;26.53;26.505;26.53;3262;26.5138
29.11.2021;12:21:00-000;26.53;26.55;26.515;26.525;12930;26.5355
29.11.2021;12:22:00-000;26.53;26.56;26.53;26.54;12963;26.5487
29.11.2021;12:23:00-000;26.545;26.548;26.535;26.54;5304;26.5424
29.11.2021;12:24:00-000;26.54;26.555;26.54;26.555;3557;26.5498
29.11.2021;12:25:00-000;26.56;26.575;26.555;26.56;4193;26.5632
29.11.2021;12:26:00-000;26.565;26.5699;26.54;26.54;4379;26.5542
29.11.2021;12:27:00-000;26.5499;26.57;26.5499;26.57;4123;26.5607
29.11.2021;12:28:00-000;26.565;26.575;26.5646;26.565;2853;26.5685
29.11.2021;12:29:00-000;26.56;26.575;26.56;26.575;4350;26.5687
29.11.2021;12:30:00-000;26.58;26.585;26.58;26.585;1479;26.5802
29.11.2021;12:31:00-000;26.585;26.585;26.58;26.585;983;26.5842
29.11.2021;12:32:00-000;26.585;26.592;26.58;26.59;17579;26.5896
29.11.2021;12:33:00-000;26.59;26.625;26.59;26.625;10859;26.6101
29.11.2021;12:34:00-000;26.625;26.635;26.62;26.625;8817;26.6251
29.11.2021;12:35:00-000;26.62;26.625;26.58;26.58;11790;26.596
29.11.2021;12:36:00-000;26.56;26.58;26.55;26.58;4246;26.5625
29.11.2021;12:37:00-000;26.59;26.61;26.58;26.605;2340;26.5966
29.11.2021;12:38:00-000;26.61;26.615;26.605;26.615;3742;26.6101
29.11.2021;12:39:00-000;26.61;26.6132;26.6;26.605;12030;26.6068
29.11.2021;12:40:00-000;26.605;26.61;26.6;26.605;1393;26.606
29.11.2021;12:41:00-000;26.61;26.61;26.61;26.61;944;26.6098
29.11.2021;12:42:00-000;26.62;26.63;26.615;26.63;2130;26.6195
29.11.2021;12:43:00-000;26.635;26.66;26.635;26.645;5376;26.6453
29.11.2021;12:44:00-000;26.64;26.64;26.63;26.64;3089;26.6367
29.11.2021;12:45:00-000;26.645;26.66;26.64;26.6531;2866;26.6497
29.11.2021;12:46:00-000;26.655;26.655;26.62;26.63;13533;26.633
29.11.2021;12:47:00-000;26.63;26.635;26.62;26.635;2638;26.6275
29.11.2021;12:48:00-000;26.635;26.64;26.625;26.64;2958;26.6345
29.11.2021;12:49:00-000;26.635;26.655;26.635;26.655;1562;26.6442
29.11.2021;12:50:00-000;26.66;26.66;26.63;26.635;4736;26.6435
29.11.2021;12:51:00-000;26.625;26.66;26.625;26.66;3030;26.6439
29.11.2021;12:52:00-000;26.66;26.66;26.62;26.625;8529;26.6402
29.11.2021;12:53:00-000;26.63;26.635;26.625;26.63;5811;26.6313
29.11.2021;12:54:00-000;26.625;26.635;26.625;26.635;3066;26.6313
29.11.2021;12:55:00-000;26.64;26.655;26.64;26.65;3224;26.6442
29.11.2021;12:56:00-000;26.665;26.69;26.665;26.68;6216;26.681
29.11.2021;12:57:00-000;26.69;26.69;26.67;26.67;2935;26.6798
29.11.2021;12:58:00-000;26.665;26.665;26.65;26.65;2098;26.6593
29.11.2021;12:59:00-000;26.645;26.655;26.645;26.65;1210;26.6512
29.11.2021;13:00:00-000;26.64;26.645;26.64;26.645;630;26.6434
29.11.2021;13:01:00-000;26.64;26.645;26.63;26.64;1736;26.6384
29.11.2021;13:02:00-000;26.645;26.645;26.64;26.645;2261;26.6438
29.11.2021;13:03:00-000;26.645;26.665;26.645;26.66;3461;26.6516
29.11.2021;13:04:00-000;26.655;26.66;26.655;26.655;392;26.6564
29.11.2021;13:05:00-000;26.66;26.68;26.64;26.65;5658;26.6603
29.11.2021;13:06:00-000;26.645;26.66;26.645;26.66;1884;26.651
29.11.2021;13:07:00-000;26.66;26.69;26.66;26.69;5597;26.6777
29.11.2021;13:08:00-000;26.69;26.69;26.675;26.675;7662;26.6878
29.11.2021;13:09:00-000;26.67;26.68;26.67;26.675;2031;26.6763
29.11.2021;13:10:00-000;26.67;26.67;26.655;26.655;2990;26.6627
29.11.2021;13:11:00-000;26.665;26.665;26.65;26.65;1154;26.6581
29.11.2021;13:12:00-000;26.66;26.66;26.65;26.66;1810;26.6571
29.11.2021;13:13:00-000;26.655;26.655;26.625;26.625;2113;26.6405
29.11.2021;13:14:00-000;26.62;26.63;26.61;26.62;4904;26.6168
29.11.2021;13:15:00-000;26.615;26.625;26.615;26.62;2388;26.6216
29.11.2021;13:16:00-000;26.61;26.62;26.59;26.62;4681;26.6056
29.11.2021;13:17:00-000;26.62;26.62;26.59;26.59;1972;26.6027
29.11.2021;13:18:00-000;26.595;26.6;26.5904;26.595;7469;26.5953
29.11.2021;13:19:00-000;26.61;26.61;26.6;26.6;884;26.6012
29.11.2021;13:20:00-000;26.6;26.6;26.58;26.58;2706;26.5919
29.11.2021;13:21:00-000;26.58;26.58;26.55;26.56;9545;26.5561
29.11.2021;13:22:00-000;26.565;26.57;26.565;26.57;2297;26.569
29.11.2021;13:23:00-000;26.575;26.58;26.57;26.58;810;26.575
29.11.2021;13:24:00-000;26.58;26.58;26.57;26.57;4740;26.5756
29.11.2021;13:25:00-000;26.56;26.56;26.555;26.56;2444;26.5599
29.11.2021;13:26:00-000;26.56;26.56;26.535;26.56;5542;26.5542
29.11.2021;13:27:00-000;26.56;26.58;26.56;26.58;7214;26.5738
29.11.2021;13:28:00-000;26.5701;26.58;26.57;26.57;2058;26.5758
29.11.2021;13:29:00-000;26.555;26.565;26.555;26.56;613;26.559
29.11.2021;13:30:00-000;26.5603;26.58;26.55;26.58;6256;26.5707
29.11.2021;13:31:00-000;26.58;26.6;26.58;26.6;4033;26.5973
29.11.2021;13:32:00-000;26.61;26.62;26.61;26.62;1353;26.6146
29.11.2021;13:33:00-000;26.63;26.6491;26.625;26.645;3528;26.6393
29.11.2021;13:34:00-000;26.645;26.67;26.645;26.67;1875;26.6559
29.11.2021;13:35:00-000;26.67;26.67;26.64;26.64;7571;26.6516
29.11.2021;13:36:00-000;26.64;26.645;26.64;26.645;2325;26.6401
29.11.2021;13:37:00-000;26.63;26.64;26.615;26.615;2646;26.6297
29.11.2021;13:38:00-000;26.61;26.62;26.595;26.595;5400;26.6107
29.11.2021;13:39:00-000;26.58;26.5879;26.545;26.545;3439;26.5796
29.11.2021;13:40:00-000;26.555;26.59;26.555;26.59;3237;26.577
29.11.2021;13:41:00-000;26.585;26.6;26.585;26.59;15726;26.5903
29.11.2021;13:42:00-000;26.59;26.615;26.59;26.61;10073;26.5998
29.11.2021;13:43:00-000;26.61;26.615;26.56;26.565;20101;26.5924
29.11.2021;13:44:00-000;26.57;26.575;26.565;26.575;1003;26.5714
29.11.2021;13:45:00-000;26.575;26.58;26.57;26.57;2420;26.5737
29.11.2021;13:46:00-000;26.575;26.578;26.57;26.57;1297;26.5699
29.11.2021;13:47:00-000;26.56;26.565;26.55;26.56;2019;26.5568
29.11.2021;13:48:00-000;26.565;26.565;26.56;26.56;622;26.5635
29.11.2021;13:49:00-000;26.56;26.57;26.55;26.55;8620;26.5615
29.11.2021;13:50:00-000;26.55;26.555;26.53;26.555;8806;26.5385
29.11.2021;13:51:00-000;26.56;26.565;26.56;26.565;1699;26.5609
29.11.2021;13:52:00-000;26.56;26.605;26.56;26.6;6275;26.581
29.11.2021;13:53:00-000;26.605;26.605;26.59;26.59;1923;26.6005
29.11.2021;13:54:00-000;26.595;26.605;26.59;26.59;2063;26.5957
29.11.2021;13:55:00-000;26.59;26.59;26.59;26.59;760;26.5902
29.11.2021;13:56:00-000;26.58;26.585;26.58;26.585;1983;26.5822
29.11.2021;13:57:00-000;26.585;26.6;26.585;26.6;2616;26.5887
29.11.2021;13:58:00-000;26.6;26.615;26.6;26.615;6686;26.6039
29.11.2021;13:59:00-000;26.615;26.64;26.615;26.64;2402;26.6214
29.11.2021;14:00:00-000;26.645;26.645;26.58;26.59;11919;26.6107
29.11.2021;14:01:00-000;26.59;26.605;26.59;26.6;2797;26.5988
29.11.2021;14:02:00-000;26.6;26.6;26.6;26.6;704;26.6004
29.11.2021;14:03:00-000;26.6;26.6;26.58;26.58;3525;26.5864
29.11.2021;14:04:00-000;26.585;26.605;26.58;26.605;5333;26.5938
29.11.2021;14:05:00-000;26.6;26.64;26.6;26.64;4960;26.6219
29.11.2021;14:06:00-000;26.63;26.6356;26.61;26.61;4879;26.6234
29.11.2021;14:07:00-000;26.6;26.606;26.595;26.6;5297;26.6022
29.11.2021;14:08:00-000;26.6;26.605;26.595;26.6;3475;26.5989
29.11.2021;14:09:00-000;26.605;26.605;26.59;26.59;4309;26.595
29.11.2021;14:10:00-000;26.595;26.605;26.59;26.595;5026;26.5972
29.11.2021;14:11:00-000;26.59;26.59;26.59;26.59;2386;26.59
29.11.2021;14:12:00-000;26.585;26.59;26.575;26.58;3632;26.5806
29.11.2021;14:13:00-000;26.58;26.58;26.56;26.57;6488;26.5708
29.11.2021;14:14:00-000;26.565;26.58;26.565;26.575;3335;26.5691
29.11.2021;14:15:00-000;26.575;26.585;26.565;26.565;4820;26.5771
29.11.2021;14:16:00-000;26.565;26.565;26.54;26.565;7092;26.5568
29.11.2021;14:17:00-000;26.56;26.565;26.56;26.56;2599;26.5606
29.11.2021;14:18:00-000;26.56;26.56;26.545;26.555;1888;26.5543
29.11.2021;14:19:00-000;26.55;26.55;26.535;26.545;3326;26.5447
29.11.2021;14:20:00-000;26.55;26.55;26.535;26.55;5343;26.5447
29.11.2021;14:21:00-000;26.565;26.565;26.56;26.56;899;26.5617
29.11.2021;14:22:00-000;26.56;26.56;26.53;26.53;4823;26.5388
29.11.2021;14:23:00-000;26.525;26.53;26.505;26.51;3431;26.5132
29.11.2021;14:24:00-000;26.51;26.515;26.51;26.515;768;26.5124
29.11.2021;14:25:00-000;26.52;26.52;26.52;26.52;3293;26.5201
29.11.2021;14:26:00-000;26.51;26.52;26.51;26.515;2507;26.5178
29.11.2021;14:27:00-000;26.52;26.525;26.51;26.525;3339;26.5182
29.11.2021;14:29:00-000;26.52;26.52;26.51;26.515;4119;26.519
29.11.2021;14:30:00-000;26.515;26.535;26.48;26.48;9584;26.5206
29.11.2021;14:31:00-000;26.485;26.49;26.475;26.48;1977;26.485
29.11.2021;14:32:00-000;26.475;26.51;26.475;26.51;4136;26.4925
29.11.2021;14:33:00-000;26.51;26.52;26.5;26.515;2227;26.5144
29.11.2021;14:34:00-000;26.51;26.51;26.495;26.495;2653;26.5018
29.11.2021;14:35:00-000;26.495;26.495;26.475;26.48;1753;26.4846
29.11.2021;14:36:00-000;26.475;26.475;26.435;26.46;9519;26.4554
29.11.2021;14:37:00-000;26.47;26.47;26.46;26.47;3040;26.4655
29.11.2021;14:38:00-000;26.48;26.48;26.47;26.475;4942;26.4714
29.11.2021;14:39:00-000;26.475;26.49;26.47;26.485;2618;26.4733
29.11.2021;14:40:00-000;26.485;26.495;26.485;26.495;1111;26.4889
29.11.2021;14:41:00-000;26.49;26.495;26.4894;26.49;2378;26.4898
29.11.2021;14:42:00-000;26.49;26.495;26.485;26.495;1430;26.4891
29.11.2021;14:43:00-000;26.49;26.495;26.48;26.48;12092;26.4906
29.11.2021;14:44:00-000;26.485;26.5;26.47;26.47;15203;26.4873
29.11.2021;14:45:00-000;26.47;26.47;26.44;26.45;14717;26.4542
29.11.2021;14:46:00-000;26.445;26.445;26.44;26.44;866;26.445
29.11.2021;14:47:00-000;26.45;26.45;26.44;26.445;2821;26.4424
29.11.2021;14:48:00-000;26.44;26.475;26.44;26.47;34458;26.4602
29.11.2021;14:49:00-000;26.47;26.47;26.45;26.45;6916;26.464
29.11.2021;14:50:00-000;26.445;26.49;26.445;26.48;11341;26.4797
29.11.2021;14:51:00-000;26.48;26.51;26.48;26.51;7960;26.4995
29.11.2021;14:52:00-000;26.515;26.52;26.515;26.515;2901;26.518
29.11.2021;14:53:00-000;26.52;26.53;26.515;26.515;4455;26.5193
29.11.2021;14:54:00-000;26.51;26.52;26.495;26.5;4723;26.5059
29.11.2021;14:55:00-000;26.5;26.5;26.49;26.5;10603;26.4992
29.11.2021;14:56:00-000;26.495;26.5;26.495;26.495;2225;26.4988
29.11.2021;14:57:00-000;26.49;26.5;26.475;26.5;23377;26.4875
29.11.2021;14:58:00-000;26.51;26.535;26.51;26.535;1921;26.5237
29.11.2021;14:59:00-000;26.535;26.545;26.535;26.54;2936;26.5403
29.11.2021;15:00:00-000;26.55;26.59;26.545;26.59;5627;26.5665
29.11.2021;15:01:00-000;26.58;26.58;26.55;26.55;4060;26.5704
29.11.2021;15:02:00-000;26.55;26.555;26.545;26.555;1992;26.549
29.11.2021;15:03:00-000;26.56;26.56;26.55;26.555;1435;26.5244
29.11.2021;15:04:00-000;26.56;26.56;26.55;26.555;2404;26.5575
29.11.2021;15:05:00-000;26.55;26.55;26.53;26.53;6871;26.5409
29.11.2021;15:06:00-000;26.53;26.54;26.53;26.53;1968;26.5363
29.11.2021;15:07:00-000;26.535;26.565;26.53;26.565;4308;26.545
