Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:16:00-000;18.25;18.25;18.25;18.25;600;18.25
29.11.2021;09:20:00-000;18.25;18.25;18.25;18.25;516;18.25
29.11.2021;09:30:00-000;18.27;18.44;18.2159;18.42;21432;18.2911
29.11.2021;09:31:00-000;18.32;18.425;18.32;18.4;3713;18.3789
29.11.2021;09:32:00-000;18.52;18.53;18.3946;18.5219;845;18.4811
29.11.2021;09:33:00-000;18.43;18.43;18.19;18.19;3340;18.3187
29.11.2021;09:34:00-000;18.18;18.19;18;18.11;5192;18.0641
29.11.2021;09:35:00-000;18.12;18.12;18.06;18.07;742;18.0895
29.11.2021;09:36:00-000;18.07;18.09;18;18.03;5090;18.0479
29.11.2021;09:37:00-000;18.04;18.08;18.03;18.08;1987;18.0583
29.11.2021;09:38:00-000;18.01;18.05;18;18.01;4512;18.0085
29.11.2021;09:39:00-000;18.025;18.05;18;18.01;8306;18.0412
29.11.2021;09:40:00-000;18.01;18.01;17.95;17.97;1184;17.9734
29.11.2021;09:41:00-000;17.98;17.98;17.875;17.92;8023;17.9099
29.11.2021;09:42:00-000;17.86;17.86;17.86;17.86;386;17.8653
29.11.2021;09:43:00-000;17.84;17.84;17.81;17.81;1936;17.8364
29.11.2021;09:44:00-000;17.815;17.815;17.72;17.785;8470;17.7712
29.11.2021;09:45:00-000;17.77;17.85;17.77;17.85;2403;17.8049
29.11.2021;09:46:00-000;17.865;17.9;17.8101;17.88;5038;17.8336
29.11.2021;09:47:00-000;17.9081;17.92;17.88;17.92;3780;17.8948
29.11.2021;09:48:00-000;17.98;17.98;17.93;17.93;1064;17.9424
29.11.2021;09:49:00-000;17.96;17.96;17.885;17.895;3053;17.906
29.11.2021;09:50:00-000;17.88;17.885;17.84;17.87;2935;17.8628
29.11.2021;09:51:00-000;17.85;17.91;17.85;17.89;2884;17.8755
29.11.2021;09:52:00-000;17.83;17.845;17.83;17.84;1066;17.836
29.11.2021;09:53:00-000;17.84;17.87;17.77;17.7701;5713;17.8292
29.11.2021;09:54:00-000;17.81;17.92;17.81;17.9;13334;17.8591
29.11.2021;09:55:00-000;17.86;17.98;17.84;17.98;4489;17.8938
29.11.2021;09:56:00-000;17.98;17.98;17.92;17.95;3755;17.9637
29.11.2021;09:57:00-000;17.92;17.9494;17.88;17.91;6953;17.8925
