Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;04:00:00-000;5.96;5.96;5.96;5.96;2041;5.9622
29.11.2021;04:01:00-000;6;6;6;6;209;6
29.11.2021;04:02:00-000;6.02;6.02;6.02;6.02;150;6.02
29.11.2021;04:04:00-000;6.05;6.05;6.03;6.03;1437;6.04
29.11.2021;04:05:00-000;6.02;6.03;6.02;6.03;1742;6.0231
29.11.2021;04:06:00-000;6.03;6.03;6.01;6.01;4179;6.0197
29.11.2021;04:07:00-000;6.03;6.06;6.03;6.06;600;6.0482
29.11.2021;04:08:00-000;6.05;6.05;6.04;6.04;800;6.0438
29.11.2021;04:10:00-000;6.04;6.04;6.04;6.04;100;6.04
29.11.2021;04:11:00-000;6.03;6.03;6.03;6.03;350;6.03
29.11.2021;04:14:00-000;6.03;6.03;6;6.01;3455;6.0156
29.11.2021;04:15:00-000;6.01;6.01;6.01;6.01;260;6.01
29.11.2021;04:21:00-000;6.03;6.03;6.03;6.03;445;6.03
29.11.2021;04:22:00-000;6.03;6.03;6.03;6.03;605;6.03
29.11.2021;04:23:00-000;6.03;6.03;6.03;6.03;1160;6.03
29.11.2021;04:24:00-000;6.03;6.03;6.03;6.03;501;6.03
29.11.2021;04:26:00-000;6.03;6.03;6.03;6.03;930;6.03
29.11.2021;04:29:00-000;6.03;6.03;6.03;6.03;397;6.03
29.11.2021;04:32:00-000;6.03;6.03;6.03;6.03;3000;6.03
29.11.2021;04:33:00-000;6.03;6.03;6.03;6.03;3150;6.03
29.11.2021;04:34:00-000;6.03;6.03;6.03;6.03;400;6.03
29.11.2021;04:35:00-000;6.03;6.03;6.03;6.03;1659;6.03
29.11.2021;04:43:00-000;6.06;6.06;6.06;6.06;200;6.0575
29.11.2021;04:51:00-000;6.03;6.03;6.03;6.03;350;6.0312
29.11.2021;04:59:00-000;6.05;6.05;6.03;6.03;3250;6.0491
29.11.2021;05:02:00-000;6.02;6.02;6.02;6.02;1000;6.02
29.11.2021;05:07:00-000;6.02;6.02;6.02;6.02;490;6.02
29.11.2021;05:09:00-000;6.02;6.02;6.02;6.02;210;6.02
29.11.2021;05:14:00-000;6.01;6.01;6.01;6.01;350;6.01
29.11.2021;05:15:00-000;6.01;6.01;6.01;6.01;1050;6.0111
29.11.2021;05:25:00-000;6;6;5.99;6;5102;5.9998
29.11.2021;05:27:00-000;6.02;6.02;6.02;6.02;269;6.011
29.11.2021;05:29:00-000;6.03;6.03;6.03;6.03;335;6.0258
29.11.2021;05:30:00-000;6.01;6.01;6;6;3228;6.0062
29.11.2021;05:39:00-000;6.01;6.01;6.01;6.01;501;6.01
29.11.2021;05:42:00-000;6.03;6.03;6.03;6.03;311;6.03
29.11.2021;05:59:00-000;6.03;6.03;6.03;6.03;114;6.03
29.11.2021;06:01:00-000;6.03;6.03;6.03;6.03;183;6.03
29.11.2021;06:02:00-000;6.04;6.04;6.04;6.04;500;6.04
29.11.2021;06:08:00-000;6.04;6.04;6.04;6.04;350;6.0386
29.11.2021;06:09:00-000;6.04;6.04;6.04;6.04;150;6.04
29.11.2021;06:13:00-000;6.04;6.04;6.04;6.04;174;6.04
29.11.2021;06:33:00-000;6.03;6.03;6.03;6.03;433;6.0266
29.11.2021;06:48:00-000;6.03;6.03;6.03;6.03;1739;6.03
29.11.2021;06:49:00-000;6.04;6.04;6.04;6.04;300;6.04
29.11.2021;06:51:00-000;6.03;6.03;6.03;6.03;895;6.03
29.11.2021;06:58:00-000;6.03;6.03;6.03;6.03;105;6.03
29.11.2021;07:02:00-000;6.04;6.04;6.04;6.04;250;6.04
29.11.2021;07:11:00-000;6.03;6.03;6.02;6.02;619;6.0268
29.11.2021;07:12:00-000;6.03;6.03;6.03;6.03;1050;6.03
29.11.2021;07:15:00-000;6.03;6.03;6.03;6.03;100;6.03
29.11.2021;07:18:00-000;6.03;6.03;6.03;6.03;1000;6.03
29.11.2021;07:19:00-000;6.03;6.03;6.03;6.03;905;6.03
29.11.2021;07:20:00-000;6.03;6.03;6.03;6.03;1050;6.03
29.11.2021;07:23:00-000;6.03;6.03;6.03;6.03;400;6.03
29.11.2021;07:32:00-000;6.03;6.03;6.03;6.03;449;6.03
29.11.2021;07:34:00-000;6.03;6.03;6.03;6.03;956;6.03
29.11.2021;07:37:00-000;6.02;6.02;6.02;6.02;250;6.024
29.11.2021;07:38:00-000;6.03;6.03;6.03;6.03;500;6.03
29.11.2021;07:50:00-000;6.03;6.03;6.03;6.03;200;6.03
29.11.2021;07:55:00-000;6.04;6.04;6.04;6.04;1645;6.04
29.11.2021;07:58:00-000;6.04;6.04;6.04;6.04;239;6.04
29.11.2021;07:59:00-000;6.05;6.05;6.05;6.05;1688;6.0502
29.11.2021;08:00:00-000;6.0399;6.05;6.02;6.05;10310;6.0371
29.11.2021;08:01:00-000;6.05;6.05;6.04;6.04;1605;6.0469
29.11.2021;08:03:00-000;6.03;6.03;6.03;6.03;664;6.03
29.11.2021;08:04:00-000;6.03;6.03;6.03;6.03;120;6.0317
29.11.2021;08:05:00-000;6.05;6.05;6.05;6.05;600;6.05
29.11.2021;08:07:00-000;6.05;6.05;6.05;6.05;200;6.05
29.11.2021;08:11:00-000;6.06;6.06;6.06;6.06;987;6.06
29.11.2021;08:16:00-000;6.05;6.05;6.05;6.05;500;6.05
29.11.2021;08:21:00-000;6.051;6.06;6.05;6.06;478;6.0523
29.11.2021;08:23:00-000;6.06;6.06;6.06;6.06;405;6.0601
29.11.2021;08:25:00-000;6.0699;6.07;6.0699;6.07;463;6.0699
29.11.2021;08:26:00-000;6.06;6.06;6.06;6.06;500;6.06
29.11.2021;08:27:00-000;6.06;6.06;6.06;6.06;100;6.06
29.11.2021;08:28:00-000;6.06;6.06;6.06;6.06;200;6.06
29.11.2021;08:30:00-000;6.06;6.06;6.06;6.06;500;6.06
29.11.2021;08:32:00-000;6.06;6.06;6.06;6.06;150;6.06
29.11.2021;08:33:00-000;6.06;6.06;6.06;6.06;507;6.06
29.11.2021;08:35:00-000;6.05;6.05;6.05;6.05;500;6.05
29.11.2021;08:38:00-000;6.06;6.06;6.06;6.06;300;6.06
29.11.2021;08:39:00-000;6.06;6.06;6.06;6.06;100;6.06
29.11.2021;08:41:00-000;6.05;6.05;6.05;6.05;195;6.05
29.11.2021;08:42:00-000;6.05;6.05;6.05;6.05;1646;6.05
29.11.2021;08:44:00-000;6.05;6.05;6.05;6.05;213;6.0501
29.11.2021;08:47:00-000;6.06;6.06;6.05;6.06;5528;6.0598
29.11.2021;08:48:00-000;6.07;6.09;6.07;6.08;3514;6.0831
29.11.2021;08:49:00-000;6.08;6.08;6.08;6.08;304;6.08
29.11.2021;08:50:00-000;6.08;6.08;6.08;6.08;450;6.08
29.11.2021;08:52:00-000;6.08;6.09;6.08;6.09;481;6.085
29.11.2021;08:54:00-000;6.09;6.09;6.09;6.09;195;6.09
29.11.2021;09:00:00-000;6.07;6.07;6.07;6.07;141;6.07
29.11.2021;09:01:00-000;6.07;6.07;6.07;6.07;100;6.07
29.11.2021;09:02:00-000;6.08;6.08;6.08;6.08;105;6.08
29.11.2021;09:03:00-000;6.08;6.08;6.08;6.08;164;6.08
29.11.2021;09:04:00-000;6.08;6.08;6.07;6.07;2257;6.0793
29.11.2021;09:05:00-000;6.07;6.07;6.07;6.07;207;6.0703
