Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;10:17:00-000;0.65;0.65;0.65;0.65;5204;0.65
29.11.2021;11:04:00-000;0.6301;0.6301;0.63;0.63;4272;0.63
29.11.2021;11:07:00-000;0.64;0.64;0.64;0.64;1500;0.64
29.11.2021;11:08:00-000;0.64;0.64;0.64;0.64;500;0.64
29.11.2021;11:34:00-000;0.6201;0.6201;0.62;0.62;17757;0.62
29.11.2021;12:18:00-000;0.6399;0.64;0.6399;0.64;200;0.64
29.11.2021;12:38:00-000;0.635;0.635;0.63;0.63;1000;0.6309
29.11.2021;13:25:00-000;0.63;0.63;0.63;0.63;676;0.63
29.11.2021;13:26:00-000;0.6205;0.6205;0.6201;0.6201;11100;0.6201
29.11.2021;13:59:00-000;0.62;0.63;0.62;0.62;13224;0.6201
29.11.2021;14:00:00-000;0.6406;0.6448;0.6406;0.6448;400;0.6424
29.11.2021;15:53:00-000;0.6399;0.64;0.6399;0.64;3694;0.64
29.11.2021;15:59:00-000;0.6301;0.6301;0.6301;0.6301;100;0.6301
