Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:00:00-000;63.3;63.3;63.3;63.3;100;63.3
29.11.2021;09:07:00-000;65.29;65.29;65.29;65.29;100;65.29
29.11.2021;09:30:00-000;65;65;65;65;3626;64.999
29.11.2021;09:31:00-000;64.8509;64.8509;64.4732;64.49;2910;64.5368
29.11.2021;09:32:00-000;64.77;64.77;64.77;64.77;1716;64.7662
29.11.2021;09:33:00-000;64.7;64.835;64.7;64.76;362;64.7629
29.11.2021;09:34:00-000;64.65;64.65;64.65;64.65;723;64.6561
29.11.2021;09:35:00-000;64.67;64.67;64.48;64.525;1492;64.5647
29.11.2021;09:37:00-000;64.44;64.46;64.25;64.46;883;64.3285
29.11.2021;09:39:00-000;64.35;64.35;64.21;64.26;2000;64.2646
29.11.2021;09:40:00-000;64.335;64.44;64.33;64.4101;2395;64.4119
29.11.2021;09:41:00-000;64.6501;64.6501;64.41;64.56;3225;64.521
29.11.2021;09:42:00-000;64.57;64.57;64.526;64.55;889;64.5605
29.11.2021;09:44:00-000;64.545;64.545;64.545;64.545;432;64.5222
29.11.2021;09:45:00-000;64.43;64.53;64.43;64.48;1130;64.4305
29.11.2021;09:46:00-000;64.3725;64.375;64.33;64.33;499;64.3273
29.11.2021;09:47:00-000;64.28;64.4;64.28;64.3033;3148;64.3553
29.11.2021;09:48:00-000;64.32;64.43;64.32;64.4;1268;64.3998
29.11.2021;09:49:00-000;64.355;64.365;64.355;64.365;339;64.3609
29.11.2021;09:50:00-000;64.3;64.44;64.28;64.35;6690;64.3687
29.11.2021;09:51:00-000;64.4;64.41;64.23;64.245;6035;64.2828
29.11.2021;09:52:00-000;64.21;64.31;64.14;64.31;2451;64.2364
29.11.2021;09:53:00-000;64.4099;64.4099;64.4099;64.4099;201;64.4091
29.11.2021;09:54:00-000;64.47;64.56;64.47;64.56;1767;64.4864
29.11.2021;09:55:00-000;64.435;64.52;64.36;64.52;5969;64.4248
29.11.2021;09:57:00-000;64.45;64.52;64.41;64.42;7543;64.4759
