Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;1.3;1.3;1.3;1.3;1000;1.3
29.11.2021;10:16:00-000;1.19;1.19;1.15;1.16;9230;1.1689
29.11.2021;10:55:00-000;1.23;1.23;1.23;1.23;630;1.23
29.11.2021;11:15:00-000;1.27;1.27;1.27;1.27;100;1.27
29.11.2021;11:16:00-000;1.27;1.27;1.27;1.27;100;1.27
29.11.2021;11:22:00-000;1.23;1.23;1.23;1.23;100;1.23
29.11.2021;13:48:00-000;1.235;1.235;1.22;1.22;1700;1.2332
29.11.2021;15:56:00-000;1.205;1.22;1.205;1.22;700;1.2114
29.11.2021;15:58:00-000;1.205;1.22;1.205;1.22;1100;1.2118
29.11.2021;15:59:00-000;1.22;1.22;1.22;1.22;110;1.2182
29.11.2021;16:00:00-000;1.22;1.22;1.22;1.22;2000;1.22
