Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;7.66;7.66;7.6014;7.6014;3905;7.649
29.11.2021;09:31:00-000;7.55;7.55;7.55;7.55;100;7.55
29.11.2021;09:33:00-000;7.55;7.55;7.55;7.55;312;7.5505
29.11.2021;09:35:00-000;7.53;7.53;7.53;7.53;419;7.5301
29.11.2021;09:40:00-000;7.5;7.5;7.5;7.5;1196;7.4991
29.11.2021;09:42:00-000;7.48;7.48;7.47;7.48;2416;7.4792
29.11.2021;09:47:00-000;7.43;7.43;7.43;7.43;128;7.4298
29.11.2021;09:48:00-000;7.42;7.42;7.42;7.42;587;7.42
29.11.2021;09:50:00-000;7.39;7.43;7.39;7.39;1369;7.3993
29.11.2021;09:51:00-000;7.43;7.43;7.43;7.43;203;7.4298
29.11.2021;09:53:00-000;7.4;7.4;7.4;7.4;106;7.4
29.11.2021;09:54:00-000;7.4;7.4;7.4;7.4;159;7.3998
29.11.2021;09:55:00-000;7.385;7.39;7.385;7.39;608;7.3891
29.11.2021;09:56:00-000;7.395;7.4;7.395;7.4;201;7.3975
29.11.2021;09:57:00-000;7.41;7.41;7.41;7.41;300;7.41
29.11.2021;09:58:00-000;7.405;7.405;7.405;7.405;222;7.4021
29.11.2021;09:59:00-000;7.41;7.41;7.41;7.41;183;7.3964
29.11.2021;10:00:00-000;7.385;7.385;7.37;7.38;1231;7.3804
29.11.2021;10:01:00-000;7.39;7.39;7.39;7.39;436;7.3901
29.11.2021;10:04:00-000;7.39;7.39;7.37;7.37;976;7.3825
29.11.2021;10:05:00-000;7.38;7.43;7.38;7.43;1493;7.4075
29.11.2021;10:07:00-000;7.42;7.42;7.4;7.4;1001;7.404
29.11.2021;10:09:00-000;7.4;7.4;7.4;7.4;311;7.4
29.11.2021;10:10:00-000;7.385;7.4;7.385;7.4;2507;7.391
29.11.2021;10:11:00-000;7.38;7.39;7.37;7.385;1545;7.3855
29.11.2021;10:12:00-000;7.39;7.39;7.385;7.385;616;7.3891
29.11.2021;10:13:00-000;7.385;7.385;7.37;7.3707;1872;7.3776
29.11.2021;10:14:00-000;7.38;7.38;7.375;7.375;323;7.3785
29.11.2021;10:15:00-000;7.37;7.38;7.35;7.37;2390;7.3658
29.11.2021;10:19:00-000;7.38;7.38;7.38;7.38;842;7.3812
29.11.2021;10:20:00-000;7.4;7.4;7.4;7.4;101;7.4
29.11.2021;10:21:00-000;7.42;7.42;7.42;7.42;401;7.4188
29.11.2021;10:22:00-000;7.41;7.41;7.39;7.4;2695;7.3995
29.11.2021;10:23:00-000;7.405;7.405;7.375;7.375;1597;7.3949
29.11.2021;10:25:00-000;7.355;7.355;7.345;7.345;656;7.3523
29.11.2021;10:26:00-000;7.34;7.34;7.33;7.33;348;7.3334
29.11.2021;10:27:00-000;7.31;7.31;7.3;7.3;597;7.3066
29.11.2021;10:28:00-000;7.31;7.31;7.31;7.31;200;7.3083
29.11.2021;10:30:00-000;7.3;7.3;7.2823;7.285;2110;7.2856
29.11.2021;10:31:00-000;7.3;7.3;7.3;7.3;207;7.3
29.11.2021;10:33:00-000;7.28;7.28;7.28;7.28;572;7.2782
29.11.2021;10:34:00-000;7.28;7.28;7.28;7.28;102;7.2799
29.11.2021;10:35:00-000;7.28;7.29;7.28;7.29;442;7.2875
29.11.2021;10:36:00-000;7.29;7.29;7.275;7.275;601;7.2792
29.11.2021;10:37:00-000;7.275;7.275;7.275;7.275;204;7.275
29.11.2021;10:38:00-000;7.275;7.275;7.25;7.255;1915;7.2606
29.11.2021;10:39:00-000;7.255;7.255;7.255;7.255;225;7.2545
29.11.2021;10:40:00-000;7.255;7.255;7.255;7.255;413;7.2543
29.11.2021;10:41:00-000;7.255;7.255;7.255;7.255;269;7.255
29.11.2021;10:42:00-000;7.255;7.255;7.255;7.255;832;7.255
29.11.2021;10:44:00-000;7.255;7.255;7.255;7.255;287;7.255
29.11.2021;10:45:00-000;7.26;7.26;7.26;7.26;1854;7.2598
29.11.2021;10:46:00-000;7.27;7.28;7.27;7.27;1164;7.2721
29.11.2021;10:47:00-000;7.28;7.28;7.27;7.27;200;7.275
29.11.2021;10:48:00-000;7.26;7.26;7.24;7.24;1608;7.249
29.11.2021;10:49:00-000;7.23;7.24;7.23;7.24;1245;7.2344
29.11.2021;10:52:00-000;7.235;7.24;7.235;7.24;201;7.2375
29.11.2021;10:53:00-000;7.23;7.24;7.23;7.24;430;7.2335
29.11.2021;10:55:00-000;7.235;7.24;7.235;7.24;561;7.2391
29.11.2021;10:58:00-000;7.25;7.25;7.25;7.25;301;7.25
29.11.2021;10:59:00-000;7.25;7.26;7.25;7.25;1427;7.2521
29.11.2021;11:02:00-000;7.26;7.26;7.26;7.26;101;7.2601
29.11.2021;11:05:00-000;7.255;7.255;7.255;7.255;203;7.2551
29.11.2021;11:06:00-000;7.26;7.28;7.26;7.28;873;7.271
29.11.2021;11:07:00-000;7.28;7.28;7.28;7.28;102;7.28
29.11.2021;11:09:00-000;7.2844;7.2844;7.265;7.27;3414;7.2766
29.11.2021;11:10:00-000;7.265;7.265;7.265;7.265;113;7.2656
29.11.2021;11:11:00-000;7.27;7.27;7.27;7.27;320;7.27
29.11.2021;11:14:00-000;7.275;7.275;7.275;7.275;101;7.275
29.11.2021;11:16:00-000;7.27;7.27;7.27;7.27;1000;7.27
29.11.2021;11:17:00-000;7.275;7.275;7.27;7.27;210;7.2725
29.11.2021;11:18:00-000;7.265;7.265;7.255;7.255;1263;7.2592
29.11.2021;11:19:00-000;7.25;7.25;7.24;7.24;1467;7.2432
29.11.2021;11:20:00-000;7.24;7.24;7.24;7.24;602;7.2392
29.11.2021;11:21:00-000;7.24;7.24;7.23;7.2301;1000;7.235
29.11.2021;11:23:00-000;7.24;7.24;7.24;7.24;304;7.2401
29.11.2021;11:24:00-000;7.23;7.24;7.22;7.23;1003;7.23
29.11.2021;11:26:00-000;7.24;7.24;7.2317;7.2317;580;7.236
29.11.2021;11:27:00-000;7.23;7.24;7.23;7.23;1039;7.2338
29.11.2021;11:28:00-000;7.22;7.22;7.2;7.2;686;7.2132
29.11.2021;11:30:00-000;7.21;7.21;7.21;7.21;519;7.2129
29.11.2021;11:31:00-000;7.22;7.22;7.21;7.21;771;7.2154
29.11.2021;11:33:00-000;7.195;7.195;7.195;7.195;200;7.195
29.11.2021;11:35:00-000;7.195;7.195;7.195;7.195;331;7.195
29.11.2021;11:37:00-000;7.2;7.21;7.2;7.21;1402;7.2023
29.11.2021;11:40:00-000;7.21;7.22;7.21;7.22;404;7.2174
