Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:31:00-000;9.84;9.84;9.84;9.84;100;9.84
29.11.2021;09:32:00-000;9.84;9.84;9.84;9.84;100;9.84
29.11.2021;09:33:00-000;9.84;9.84;9.84;9.84;100;9.84
29.11.2021;09:34:00-000;9.84;9.84;9.84;9.84;200;9.84
29.11.2021;10:23:00-000;9.86;9.86;9.86;9.86;100;9.86
29.11.2021;14:14:00-000;9.84;9.84;9.84;9.84;100;9.84
29.11.2021;15:11:00-000;9.84;9.84;9.84;9.84;500;9.84
29.11.2021;16:10:00-000;9.84;9.84;9.84;9.84;0;0
29.11.2021;18:30:00-000;9.84;9.84;9.84;9.84;0;0
29.11.2021;19:00:00-000;9.84;9.84;9.84;9.84;0;0
