Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;509.05;509.42;509.05;509.42;1586;509.014
29.11.2021;09:33:00-000;510.22;510.22;510.05;510.05;995;510.41
29.11.2021;09:39:00-000;509.62;509.62;509.62;509.62;161;509.213
29.11.2021;09:41:00-000;508.58;508.58;508.58;508.58;181;508.154
29.11.2021;09:42:00-000;508;508;508;508;196;507.527
29.11.2021;09:43:00-000;508.52;508.52;508.52;508.52;416;508.743
29.11.2021;09:44:00-000;509.16;509.19;509.04;509.19;606;509.125
29.11.2021;09:47:00-000;508;508;508;508;155;507.68
29.11.2021;09:53:00-000;509.28;509.6;509.28;509.6;1374;509.141
29.11.2021;09:55:00-000;510.38;510.38;509.09;509.09;382;509.952
29.11.2021;09:57:00-000;513.08;513.08;513.08;513.08;153;512.724
29.11.2021;09:59:00-000;512.81;512.83;511.945;511.945;498;512.639
29.11.2021;10:01:00-000;512.76;512.76;511.885;511.885;220;512.311
29.11.2021;10:04:00-000;512.07;512.07;511.39;511.39;352;511.81
29.11.2021;10:05:00-000;512.04;512.04;512.03;512.03;276;511.858
29.11.2021;10:07:00-000;510.97;510.97;510.97;510.97;871;510.91
29.11.2021;10:14:00-000;509.825;509.825;509.825;509.825;875;509.921
29.11.2021;10:15:00-000;509.825;512.03;509.825;512.03;2998;511.049
29.11.2021;10:16:00-000;511.755;512.86;511.7;512.86;6963;511.454
29.11.2021;10:18:00-000;513.86;515.07;512.18;515.07;2990;513.995
29.11.2021;10:22:00-000;514.275;514.275;514.275;514.275;211;514.301
29.11.2021;10:23:00-000;514.395;514.395;514.395;514.395;206;514.551
29.11.2021;10:24:00-000;515.9;515.9;515.9;515.9;233;515.665
29.11.2021;10:27:00-000;515.58;515.62;513.96;513.96;1584;514.541
29.11.2021;10:29:00-000;513.48;513.48;513.48;513.48;218;513.349
29.11.2021;10:32:00-000;512.225;512.225;512.22;512.22;205;512.23
29.11.2021;10:38:00-000;513.69;513.69;513.69;513.69;276;513.868
29.11.2021;10:41:00-000;512.81;512.81;512.81;512.81;218;512.935
29.11.2021;10:44:00-000;513.65;513.65;513.65;513.65;626;513.847
29.11.2021;10:46:00-000;513.466;514.69;513.466;514.69;405;513.903
29.11.2021;10:49:00-000;513.87;513.87;513.43;513.43;692;513.689
29.11.2021;10:50:00-000;513.43;513.73;513.23;513.73;690;513.571
29.11.2021;10:51:00-000;514.42;514.42;514.42;514.42;470;514.342
29.11.2021;10:57:00-000;515.4;515.4;515.4;515.4;767;515.366
29.11.2021;11:00:00-000;515.67;515.67;515.67;515.67;449;515.715
29.11.2021;11:02:00-000;516.65;516.71;516.65;516.71;320;516.672
29.11.2021;11:05:00-000;516.81;516.81;516.81;516.81;360;517.168
29.11.2021;11:06:00-000;517.41;517.41;517.41;517.41;442;517.568
29.11.2021;11:07:00-000;517.53;517.53;517.53;517.53;383;517.534
29.11.2021;11:10:00-000;519.11;519.11;519.11;519.11;135;518.924
29.11.2021;11:11:00-000;517.5;518.61;517.49;518.61;1159;517.743
29.11.2021;11:14:00-000;517.12;518.65;517.12;518.65;561;517.715
29.11.2021;11:15:00-000;517.28;517.28;517.28;517.28;285;517.262
29.11.2021;11:17:00-000;517.12;517.12;517.12;517.12;440;517.117
29.11.2021;11:22:00-000;517.49;517.49;517.49;517.49;119;517.47
29.11.2021;11:25:00-000;517.425;517.425;516.85;516.85;690;516.962
29.11.2021;11:28:00-000;517.59;517.59;517.59;517.59;141;517.584
29.11.2021;11:30:00-000;518;518.66;517.553;517.553;1037;518.141
29.11.2021;11:31:00-000;518.54;518.54;518.36;518.36;528;518.568
29.11.2021;11:32:00-000;518.89;519.57;518.23;518.23;788;518.945
29.11.2021;11:35:00-000;518.27;518.27;518.27;518.27;154;518.052
29.11.2021;11:37:00-000;518.21;518.21;518.21;518.21;529;518.226
29.11.2021;11:40:00-000;518.2;518.75;518.2;518.75;625;518.437
29.11.2021;11:42:00-000;518.11;519;518.1;518.54;970;518.466
29.11.2021;11:47:00-000;519.515;519.515;519.515;519.515;417;519.477
29.11.2021;11:48:00-000;519.24;519.24;519.24;519.24;160;519.441
29.11.2021;11:50:00-000;519.08;519.08;519.08;519.08;281;519.257
29.11.2021;11:52:00-000;519.25;519.25;519.25;519.25;555;519.105
29.11.2021;11:55:00-000;518.832;518.832;518.832;518.832;113;518.884
29.11.2021;11:57:00-000;519.41;519.41;519.41;519.41;145;519.191
29.11.2021;12:03:00-000;518.9;518.9;518.9;518.9;114;518.917
29.11.2021;12:07:00-000;518.78;519.06;518.78;519.06;676;519.184
29.11.2021;12:08:00-000;518.71;518.89;518.68;518.68;670;518.723
29.11.2021;12:10:00-000;518.45;518.55;518.45;518.55;298;518.693
29.11.2021;12:12:00-000;518.48;519.05;518.21;518.21;1294;518.606
29.11.2021;12:13:00-000;518.21;518.21;518.14;518.14;250;518.262
29.11.2021;12:14:00-000;518.275;518.275;518.275;518.275;142;518.33
29.11.2021;12:15:00-000;518.82;518.82;518.5;518.5;333;518.631
29.11.2021;12:16:00-000;517.57;517.57;517.57;517.57;477;518.148
29.11.2021;12:17:00-000;518.26;518.26;518.26;518.26;273;518.519
29.11.2021;12:18:00-000;518.34;518.34;518.34;518.34;139;518.327
29.11.2021;12:19:00-000;518.69;518.71;518.69;518.71;1293;518.72
29.11.2021;12:20:00-000;519.305;519.305;519.305;519.305;157;519.3
29.11.2021;12:21:00-000;518.78;518.86;518.78;518.86;286;518.984
29.11.2021;12:25:00-000;518.98;518.98;518.4;518.4;705;518.834
29.11.2021;12:26:00-000;518.39;518.39;518.39;518.39;113;518.382
29.11.2021;12:27:00-000;517.94;517.94;517.94;517.94;159;518.322
29.11.2021;12:30:00-000;518.42;518.42;518.42;518.42;189;518.655
29.11.2021;12:31:00-000;518.81;518.81;518.81;518.81;132;518.911
29.11.2021;12:32:00-000;519.1;519.1;519.1;519.1;121;519.12
29.11.2021;12:33:00-000;519.51;519.51;519.51;519.51;257;519.499
29.11.2021;12:34:00-000;519.49;520.19;519.485;520.19;444;519.728
29.11.2021;12:35:00-000;519.25;519.25;519.25;519.25;107;519.26
29.11.2021;12:37:00-000;518.49;518.49;518.49;518.49;517;518.933
29.11.2021;12:38:00-000;518.57;518.57;518.57;518.57;248;518.609
29.11.2021;12:39:00-000;519.13;519.13;519.13;519.13;206;519.131
29.11.2021;12:43:00-000;519.48;519.89;519.48;519.89;695;519.621
29.11.2021;12:46:00-000;520.01;520.01;520.01;520.01;296;520.104
29.11.2021;12:50:00-000;520;520;519.7;519.7;1524;519.839
29.11.2021;12:52:00-000;518.75;518.75;518.71;518.71;219;518.783
29.11.2021;12:57:00-000;519.205;519.205;519.205;519.205;260;519.186
29.11.2021;12:58:00-000;519.175;519.175;519.175;519.175;117;519.182
29.11.2021;13:01:00-000;519.53;519.53;519.53;519.53;668;519.541
29.11.2021;13:04:00-000;519.985;520.63;519.985;520.63;306;520.231
29.11.2021;13:05:00-000;520.23;520.23;520.23;520.23;210;520.286
29.11.2021;13:08:00-000;519.87;519.87;519.87;519.87;634;519.831
29.11.2021;13:09:00-000;520.09;520.17;520;520;755;520.053
29.11.2021;13:11:00-000;519.72;519.72;519.72;519.72;111;519.758
29.11.2021;13:13:00-000;519.735;519.735;519.435;519.435;761;519.696
29.11.2021;13:14:00-000;519.7;519.7;519.7;519.7;133;519.522
29.11.2021;13:15:00-000;518.45;518.45;518.45;518.45;329;518.944
29.11.2021;13:16:00-000;518.51;519.11;518.51;519.11;298;518.796
29.11.2021;13:21:00-000;519.97;519.97;519.97;519.97;106;519.956
29.11.2021;13:30:00-000;519.92;519.92;519.555;519.555;379;519.668
29.11.2021;13:33:00-000;519.47;519.47;519.47;519.47;144;519.487
29.11.2021;13:39:00-000;518.51;518.75;518.13;518.75;543;518.507
29.11.2021;13:41:00-000;519.34;519.34;519.34;519.34;256;519.134
29.11.2021;13:44:00-000;519.09;519.42;519.08;519.42;690;519.19
29.11.2021;13:47:00-000;519.91;520.185;519.91;520.185;688;520.055
29.11.2021;13:50:00-000;519.68;519.68;519.68;519.68;430;519.689
29.11.2021;13:55:00-000;520;520;519.83;519.83;219;519.89
29.11.2021;13:56:00-000;520.64;520.64;520.64;520.64;198;520.4
29.11.2021;13:57:00-000;520.02;520.02;520.02;520.02;3631;520.022
29.11.2021;13:59:00-000;520.06;520.065;520.06;520.06;2538;520.061
29.11.2021;14:01:00-000;519.59;519.62;519.57;519.57;584;519.578
29.11.2021;14:03:00-000;519.19;519.19;519.19;519.19;268;519.151
29.11.2021;14:09:00-000;519.8;519.8;519.795;519.795;412;519.484
29.11.2021;14:15:00-000;520.35;520.35;520.35;520.35;133;520.179
29.11.2021;14:16:00-000;520.31;520.31;520.31;520.31;201;520.303
29.11.2021;14:19:00-000;520.4;520.4;520.4;520.4;122;520.337
29.11.2021;14:20:00-000;520.45;520.63;520.1;520.63;791;520.458
29.11.2021;14:22:00-000;520.97;520.97;520.97;520.97;320;521.072
29.11.2021;14:23:00-000;520.99;521.075;520.99;521.075;613;521.033
29.11.2021;14:24:00-000;521.08;521.08;520.58;520.835;798;520.732
29.11.2021;14:32:00-000;521.34;521.34;521.34;521.34;131;521.225
29.11.2021;14:33:00-000;520.69;521.22;520.69;521.1;1039;521.066
29.11.2021;14:34:00-000;521.541;521.541;521.055;521.055;663;521.241
29.11.2021;14:35:00-000;521.135;521.135;521.135;521.135;110;521.14
29.11.2021;14:39:00-000;520.11;520.115;520.11;520.115;356;520.081
29.11.2021;14:40:00-000;520.5;520.5;520.35;520.35;1574;520.391
29.11.2021;14:42:00-000;520.38;520.38;520.38;520.38;102;520.385
29.11.2021;14:43:00-000;520.9;521.035;520.9;521.035;283;520.939
29.11.2021;14:45:00-000;521.2;521.8;521.16;521.8;576;521.411
29.11.2021;14:46:00-000;521.9;521.9;521.9;521.9;152;521.766
29.11.2021;14:48:00-000;521.93;521.93;521.93;521.93;421;521.899
29.11.2021;14:49:00-000;522.57;522.57;522.57;522.57;120;522.55
29.11.2021;14:52:00-000;522.38;522.38;522.38;522.38;191;522.288
29.11.2021;14:53:00-000;521.955;522.21;521.925;522.21;625;522
29.11.2021;14:55:00-000;522.5;522.5;522.01;522.01;604;522.24
29.11.2021;14:56:00-000;521.71;521.9;521.1;521.1;1120;521.539
29.11.2021;14:58:00-000;521.03;521.29;521.03;521.25;702;521.172
29.11.2021;14:59:00-000;521.11;521.11;521.11;521.11;159;521.229
29.11.2021;15:00:00-000;521.14;521.14;521.14;521.14;182;521.015
29.11.2021;15:01:00-000;521.42;521.436;521.115;521.115;726;521.379
29.11.2021;15:02:00-000;521.065;521.065;521.065;521.065;212;521.087
29.11.2021;15:04:00-000;520.84;520.84;520.84;520.84;585;520.79
29.11.2021;15:09:00-000;521.13;521.51;521.13;521.51;567;521.131
29.11.2021;15:10:00-000;521.33;521.33;521.33;521.33;115;521.348
29.11.2021;15:13:00-000;522.01;522.01;522.01;522.01;249;521.801
29.11.2021;15:18:00-000;522.42;522.42;521.46;521.575;1226;521.76
29.11.2021;15:20:00-000;521.58;521.6;521.58;521.6;359;521.598
29.11.2021;15:22:00-000;522.08;522.08;522.08;522.08;256;522.072
29.11.2021;15:23:00-000;521.64;521.64;521.64;521.64;246;521.752
29.11.2021;15:24:00-000;521.435;521.98;521.435;521.98;523;521.657
29.11.2021;15:26:00-000;521.9;521.9;521.9;521.9;175;521.842
29.11.2021;15:28:00-000;521.96;521.96;521.96;521.96;289;521.985
29.11.2021;15:29:00-000;521.965;521.965;521.805;521.805;466;522.014
29.11.2021;15:31:00-000;521.93;521.93;521.93;521.93;203;521.836
29.11.2021;15:34:00-000;522.99;522.99;522.99;522.99;386;522.836
29.11.2021;15:36:00-000;522.54;522.54;522.4;522.4;1188;522.517
29.11.2021;15:37:00-000;522.31;522.31;522.31;522.31;315;522.314
29.11.2021;15:39:00-000;522.17;522.17;522.17;522.17;612;522.032
29.11.2021;15:40:00-000;522.27;522.27;522.27;522.27;233;522.018
29.11.2021;15:41:00-000;521.89;521.89;521.89;521.89;440;521.842
29.11.2021;15:42:00-000;521.8;522;521.8;522;1023;521.84
29.11.2021;15:43:00-000;521.59;521.645;521.57;521.645;908;521.593
29.11.2021;15:44:00-000;521.62;521.62;521.62;521.62;444;521.7
29.11.2021;15:45:00-000;521.57;521.57;521.03;521.39;1513;521.275
29.11.2021;15:46:00-000;521.37;521.37;521.37;521.37;299;521.34
29.11.2021;15:47:00-000;521.21;521.34;521.06;521.06;1024;521.309
29.11.2021;15:48:00-000;521.24;521.24;521.18;521.18;694;521.329
29.11.2021;15:50:00-000;521.31;521.57;521.09;521.39;1294;521.379
29.11.2021;15:51:00-000;521.375;521.375;521.375;521.375;348;521.448
29.11.2021;15:52:00-000;521.085;521.38;521;521.07;3011;521.099
29.11.2021;15:53:00-000;521.535;521.58;521.535;521.58;1079;521.383
29.11.2021;15:54:00-000;521.3;521.44;521.3;521.44;1075;521.422
29.11.2021;15:55:00-000;521.42;521.435;520.86;521.215;5134;521.193
29.11.2021;15:56:00-000;521.525;521.525;521.14;521.225;1691;521.363
29.11.2021;15:57:00-000;520.91;522.08;520.91;522.08;1317;521.761
29.11.2021;15:58:00-000;521.93;521.93;521.415;521.415;3217;521.7
29.11.2021;15:59:00-000;521.52;521.52;521.07;521.28;7468;521.298
29.11.2021;16:00:00-000;521.28;521.28;521.28;521.28;42678;521.28
29.11.2021;16:01:00-000;521.28;521.28;521.28;521.28;320;521.28
29.11.2021;16:02:00-000;521.28;521.28;521.28;521.28;139;521.28
29.11.2021;16:03:00-000;521.28;521.28;521.28;521.28;785;521.28
29.11.2021;16:10:00-000;521.28;521.28;521.28;521.28;0;0
29.11.2021;18:30:00-000;521.28;521.28;521.28;521.28;0;0
29.11.2021;19:00:00-000;521.28;521.28;521.28;521.28;0;0
