Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;05:16:00-000;57.9;57.9;57.9;57.9;100;57.9
29.11.2021;07:10:00-000;57.69;57.69;57.69;57.69;130;57.69
29.11.2021;08:15:00-000;57.55;57.55;57.55;57.55;200;57.55
29.11.2021;08:36:00-000;57.5;57.5;57.5;57.5;100;57.5
29.11.2021;08:41:00-000;57.23;57.23;57.23;57.23;100;57.23
29.11.2021;08:43:00-000;57.24;57.24;57.23;57.23;2000;57.2345
29.11.2021;09:13:00-000;57.22;57.22;57.22;57.22;150;57.22
29.11.2021;09:20:00-000;57.14;57.14;57.14;57.14;228;57.1454
29.11.2021;09:23:00-000;57.11;57.11;57.11;57.11;200;57.11
29.11.2021;09:28:00-000;57.12;57.12;57.12;57.12;1600;57.12
29.11.2021;09:30:00-000;57.11;57.1268;57.11;57.1268;2994;57.1118
29.11.2021;09:31:00-000;57.14;57.14;57.14;57.14;208;57.1401
29.11.2021;09:32:00-000;57.19;57.19;57.19;57.19;255;57.1897
29.11.2021;09:34:00-000;57.28;57.28;57.28;57.28;171;57.2728
29.11.2021;09:35:00-000;57.2309;57.29;57.2309;57.29;2533;57.2685
29.11.2021;09:36:00-000;57.3401;57.3401;57.3401;57.3401;101;57.3406
29.11.2021;09:37:00-000;57.36;57.36;57.36;57.36;106;57.3597
29.11.2021;09:38:00-000;57.35;57.37;57.35;57.37;210;57.3614
29.11.2021;09:41:00-000;57.26;57.26;57.26;57.26;122;57.2604
29.11.2021;09:42:00-000;57.25;57.2585;57.21;57.21;613;57.2411
29.11.2021;09:43:00-000;57.21;57.2216;57.21;57.22;841;57.2169
29.11.2021;09:44:00-000;57.2157;57.2157;57.2157;57.2157;1400;57.2157
29.11.2021;09:45:00-000;57.18;57.2;57.18;57.2;502;57.188
29.11.2021;09:49:00-000;57.31;57.31;57.31;57.31;999;57.31
29.11.2021;09:53:00-000;57.3;57.3;57.3;57.3;7980;57.3
29.11.2021;09:58:00-000;57.3181;57.3181;57.3181;57.3181;220;57.3173
29.11.2021;09:59:00-000;57.2801;57.2801;57.2801;57.2801;214;57.2871
29.11.2021;10:18:00-000;57.272;57.272;57.272;57.272;135;57.2771
29.11.2021;10:20:00-000;57.25;57.25;57.25;57.25;575;57.25
29.11.2021;10:21:00-000;57.292;57.292;57.292;57.292;106;57.2925
29.11.2021;10:24:00-000;57.2;57.2;57.19;57.19;2101;57.1995
29.11.2021;10:29:00-000;57.19;57.19;57.19;57.19;180;57.2093
29.11.2021;10:30:00-000;57.16;57.16;57.16;57.16;100;57.16
29.11.2021;10:32:00-000;57.14;57.14;57.1381;57.1381;667;57.1405
29.11.2021;10:34:00-000;57.15;57.15;57.15;57.15;100;57.15
29.11.2021;10:39:00-000;57.266;57.266;57.266;57.266;1001;57.266
29.11.2021;10:42:00-000;57.26;57.26;57.24;57.24;501;57.2454
29.11.2021;10:48:00-000;57.2;57.2;57.2;57.2;207;57.2163
29.11.2021;10:52:00-000;57.2391;57.2391;57.2391;57.2391;170;57.2391
29.11.2021;10:56:00-000;57.3;57.3;57.3;57.3;515;57.3
29.11.2021;10:58:00-000;57.27;57.27;57.27;57.27;300;57.27
29.11.2021;11:03:00-000;57.23;57.23;57.23;57.23;100;57.23
29.11.2021;11:05:00-000;57.2799;57.2799;57.2799;57.2799;200;57.2799
29.11.2021;11:10:00-000;57.17;57.17;57.17;57.17;152;57.1701
29.11.2021;11:17:00-000;57.1;57.1;57.1;57.1;104;57.1005
29.11.2021;11:26:00-000;57.0427;57.0427;57.0427;57.0427;105;57.0442
29.11.2021;11:40:00-000;57.06;57.06;57.06;57.06;200;57.06
29.11.2021;11:42:00-000;57.0773;57.0899;57.045;57.0899;426;57.0756
29.11.2021;11:47:00-000;57.03;57.03;57.03;57.03;108;57.03
29.11.2021;11:56:00-000;57.03;57.03;56.99;57;3232;57.0006
29.11.2021;11:57:00-000;57.0004;57.0004;57.0004;57.0004;7984;57.0004
29.11.2021;12:00:00-000;57.09;57.12;57.075;57.11;2168;57.1013
29.11.2021;12:01:00-000;57.1162;57.1162;57.1162;57.1162;892;57.1162
29.11.2021;12:21:00-000;57.0439;57.0439;57.0439;57.0439;170;57.0439
29.11.2021;12:23:00-000;57.05;57.05;56.97;56.97;662;57.0141
29.11.2021;12:25:00-000;56.9867;56.9867;56.9867;56.9867;150;56.9867
29.11.2021;12:26:00-000;56.97;57;56.97;57;654;56.9808
29.11.2021;12:32:00-000;56.9899;56.9899;56.9899;56.9899;120;56.9899
29.11.2021;12:42:00-000;56.9438;56.9438;56.9438;56.9438;117;56.9438
29.11.2021;12:44:00-000;56.99;56.99;56.99;56.99;183;56.99
29.11.2021;12:45:00-000;56.9701;56.9701;56.9701;56.9701;500;56.9701
29.11.2021;12:56:00-000;57.07;57.07;57.07;57.07;220;57.0695
29.11.2021;13:04:00-000;57;57;57;57;105;57.001
29.11.2021;13:12:00-000;57.07;57.07;57.07;57.07;152;57.0747
29.11.2021;13:14:00-000;57.06;57.06;57.06;57.06;165;57.06
29.11.2021;13:17:00-000;57.03;57.03;57.03;57.03;100;57.03
29.11.2021;13:22:00-000;56.9701;56.9701;56.9701;56.9701;216;56.9713
29.11.2021;13:26:00-000;56.9657;56.9657;56.9657;56.9657;123;56.9657
29.11.2021;13:35:00-000;57.05;57.05;57.05;57.05;1700;57.05
29.11.2021;13:36:00-000;57.03;57.0327;57.03;57.0327;3300;57.0301
29.11.2021;13:44:00-000;57.11;57.11;57.11;57.11;100;57.11
29.11.2021;13:47:00-000;57.0529;57.0529;57.0529;57.0529;175;57.0529
29.11.2021;13:52:00-000;57.0501;57.0501;57.0501;57.0501;122;57.0504
29.11.2021;13:57:00-000;57.0599;57.0599;57.0599;57.0599;100;57.0599
29.11.2021;13:58:00-000;57.04;57.04;57.04;57.04;100;57.04
29.11.2021;14:01:00-000;57.01;57.01;57.01;57.01;127;57.0102
29.11.2021;14:02:00-000;57.01;57.01;57.01;57.01;752;57.01
29.11.2021;14:03:00-000;57.0001;57.0001;57.0001;57.0001;4065;57.0001
29.11.2021;14:04:00-000;57.02;57.02;57.02;57.02;300;57.02
29.11.2021;14:06:00-000;57;57;57;57;200;57
29.11.2021;14:10:00-000;56.96;56.96;56.96;56.96;158;56.9601
29.11.2021;14:15:00-000;56.9935;56.9935;56.9935;56.9935;230;56.9889
29.11.2021;14:16:00-000;56.99;56.99;56.99;56.99;120;56.9908
29.11.2021;14:17:00-000;56.99;56.99;56.99;56.99;100;56.99
29.11.2021;14:19:00-000;56.9131;56.9131;56.9131;56.9131;781;56.9131
29.11.2021;14:32:00-000;56.98;56.98;56.98;56.98;284;56.9787
29.11.2021;14:36:00-000;56.9862;56.9895;56.982;56.982;375;56.986
29.11.2021;14:37:00-000;56.97;56.97;56.97;56.97;205;56.9695
29.11.2021;14:38:00-000;56.96;56.96;56.96;56.96;100;56.96
29.11.2021;14:40:00-000;56.95;56.95;56.95;56.95;388;56.95
29.11.2021;14:47:00-000;56.94;56.94;56.94;56.94;100;56.94
29.11.2021;14:48:00-000;56.94;56.94;56.94;56.94;1200;56.94
29.11.2021;14:54:00-000;56.97;56.97;56.97;56.97;303;56.963
29.11.2021;14:58:00-000;56.95;56.95;56.95;56.95;102;56.9512
29.11.2021;14:59:00-000;56.89;56.94;56.89;56.94;2982;56.9087
29.11.2021;15:08:00-000;57.092;57.092;57.092;57.092;283;57.0939
29.11.2021;15:16:00-000;57.07;57.07;57.07;57.07;259;57.0716
29.11.2021;15:17:00-000;57.07;57.0752;57.07;57.07;431;57.0714
29.11.2021;15:29:00-000;57.08;57.08;57.08;57.08;235;57.0735
29.11.2021;15:30:00-000;57.06;57.06;57.06;57.06;202;57.0641
29.11.2021;15:31:00-000;57.02;57.02;57.02;57.02;194;57.0313
29.11.2021;15:36:00-000;57.02;57.02;57.02;57.02;175;57.0225
29.11.2021;15:41:00-000;57;57;57;57;1069;56.9996
29.11.2021;15:48:00-000;57;57.04;57;57.04;243;57.0199
29.11.2021;15:49:00-000;57.02;57.02;57.02;57.02;148;57.02
29.11.2021;15:51:00-000;57.02;57.02;57.02;57.02;719;57.0191
29.11.2021;15:52:00-000;57.0027;57.0027;57.0027;57.0027;400;57.0027
29.11.2021;15:58:00-000;57;57;57;57;101;57
29.11.2021;16:10:00-000;56.999;56.999;56.999;56.999;0;0
29.11.2021;18:30:00-000;56.999;56.999;56.999;56.999;0;0
29.11.2021;19:58:00-000;57;57;57;57;207;57
29.11.2021;20:00:00-000;56.999;56.999;56.999;56.999;0;0
