Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;28.95;28.95;28.95;28.95;789;28.8996
29.11.2021;09:35:00-000;28.325;28.94;28.325;28.94;1159;28.8621
29.11.2021;09:36:00-000;28.95;29;28.795;29;1255;28.9422
29.11.2021;09:37:00-000;29.1;29.13;28.91;28.91;793;28.9681
29.11.2021;09:38:00-000;28.88;28.88;28.88;28.88;338;28.8602
29.11.2021;09:40:00-000;28.69;28.69;28.69;28.69;100;28.69
29.11.2021;09:41:00-000;28.83;28.83;28.83;28.83;101;28.8299
29.11.2021;09:44:00-000;28.78;28.78;28.78;28.78;101;28.7799
29.11.2021;09:45:00-000;28.815;28.815;28.75;28.8125;600;28.7954
29.11.2021;09:47:00-000;28.73;28.73;28.705;28.705;364;28.7286
29.11.2021;09:49:00-000;28.735;28.79;28.7;28.78;614;28.7405
29.11.2021;09:50:00-000;28.705;28.78;28.705;28.78;357;28.7116
29.11.2021;09:51:00-000;28.675;28.675;28.675;28.675;100;28.675
29.11.2021;09:52:00-000;28.52;28.52;28.52;28.52;569;28.522
29.11.2021;09:58:00-000;28.55;28.55;28.55;28.55;479;28.5311
29.11.2021;10:00:00-000;28.42;28.42;28.42;28.42;247;28.4662
29.11.2021;10:01:00-000;28.48;28.4822;28.48;28.4822;560;28.4778
29.11.2021;10:07:00-000;28.49;28.49;28.49;28.49;236;28.4758
29.11.2021;10:09:00-000;28.49;28.49;28.49;28.49;216;28.4418
29.11.2021;10:10:00-000;28.405;28.405;28.405;28.405;120;28.4162
29.11.2021;10:15:00-000;28.41;28.41;28.41;28.41;235;28.4039
29.11.2021;10:16:00-000;28.38;28.38;28.38;28.38;352;28.3766
29.11.2021;10:26:00-000;28.41;28.41;28.41;28.41;121;28.4137
29.11.2021;10:27:00-000;28.35;28.35;28.34;28.34;759;28.3438
29.11.2021;10:32:00-000;28.3;28.33;28.3;28.33;293;28.2952
29.11.2021;10:34:00-000;28.24;28.24;28.24;28.24;210;28.2379
29.11.2021;10:36:00-000;28.24;28.24;28.24;28.24;632;28.2421
29.11.2021;10:37:00-000;28.21;28.22;28.2;28.22;485;28.2061
29.11.2021;10:38:00-000;28.24;28.24;28.14;28.14;940;28.1851
29.11.2021;10:39:00-000;28.22;28.22;28.22;28.22;200;28.1951
29.11.2021;10:41:00-000;28.14;28.14;28.13;28.13;376;28.1253
29.11.2021;11:00:00-000;28.18;28.18;28.18;28.18;282;28.1596
29.11.2021;11:01:00-000;28.18;28.18;28.18;28.18;337;28.1817
29.11.2021;11:05:00-000;28.26;28.26;28.26;28.26;390;28.2496
29.11.2021;11:15:00-000;28.24;28.26;28.24;28.26;200;28.25
29.11.2021;11:18:00-000;28.19;28.19;28.19;28.19;217;28.1918
29.11.2021;11:19:00-000;28.14;28.14;28.13;28.13;417;28.1372
29.11.2021;11:20:00-000;28.16;28.16;28.16;28.16;791;28.1584
29.11.2021;11:25:00-000;28.11;28.11;28.11;28.11;102;28.11
29.11.2021;11:27:00-000;28.08;28.08;28.08;28.08;166;28.0863
29.11.2021;11:31:00-000;28.13;28.13;28.09;28.09;390;28.1107
29.11.2021;11:39:00-000;28.15;28.15;28.15;28.15;300;28.15
29.11.2021;11:43:00-000;28.245;28.245;28.245;28.245;104;28.245
29.11.2021;11:49:00-000;28.24;28.24;28.24;28.24;190;28.2372
29.11.2021;11:52:00-000;28.25;28.26;28.25;28.26;200;28.255
29.11.2021;11:53:00-000;28.26;28.26;28.26;28.26;257;28.26
29.11.2021;11:59:00-000;28.25;28.25;28.25;28.25;100;28.25
29.11.2021;12:02:00-000;28.24;28.24;28.24;28.24;100;28.24
29.11.2021;12:20:00-000;28.38;28.38;28.38;28.38;101;28.38
29.11.2021;12:21:00-000;28.42;28.42;28.42;28.42;311;28.4043
29.11.2021;12:23:00-000;28.43;28.43;28.4;28.4;593;28.4182
29.11.2021;12:28:00-000;28.49;28.49;28.49;28.49;200;28.49
29.11.2021;12:30:00-000;28.44;28.44;28.44;28.44;218;28.4283
29.11.2021;12:33:00-000;28.4975;28.4975;28.4975;28.4975;100;28.4975
29.11.2021;12:36:00-000;28.52;28.52;28.52;28.52;202;28.5199
29.11.2021;12:46:00-000;28.57;28.57;28.57;28.57;101;28.57
29.11.2021;12:47:00-000;28.57;28.57;28.57;28.57;128;28.57
29.11.2021;12:51:00-000;28.51;28.51;28.51;28.51;290;28.5107
29.11.2021;12:52:00-000;28.54;28.56;28.54;28.56;315;28.5537
29.11.2021;12:54:00-000;28.63;28.66;28.63;28.66;201;28.6451
29.11.2021;12:57:00-000;28.57;28.57;28.55;28.55;1142;28.5628
29.11.2021;12:59:00-000;28.57;28.57;28.55;28.55;338;28.5634
29.11.2021;13:03:00-000;28.51;28.57;28.51;28.57;1295;28.5193
29.11.2021;13:06:00-000;28.53;28.54;28.53;28.54;715;28.5341
29.11.2021;13:08:00-000;28.59;28.59;28.59;28.59;101;28.5896
29.11.2021;13:09:00-000;28.58;28.58;28.58;28.58;176;28.5751
29.11.2021;13:11:00-000;28.61;28.61;28.61;28.61;306;28.5785
29.11.2021;13:16:00-000;28.5;28.5;28.5;28.5;339;28.5032
29.11.2021;13:23:00-000;28.52;28.52;28.52;28.52;430;28.5107
29.11.2021;13:26:00-000;28.46;28.46;28.46;28.46;105;28.4605
29.11.2021;13:30:00-000;28.45;28.47;28.45;28.47;277;28.4558
29.11.2021;13:32:00-000;28.48;28.48;28.48;28.48;213;28.4794
29.11.2021;13:38:00-000;28.42;28.42;28.42;28.42;280;28.4175
29.11.2021;13:49:00-000;28.41;28.41;28.39;28.4;1701;28.4018
29.11.2021;13:52:00-000;28.385;28.385;28.385;28.385;102;28.3857
29.11.2021;13:55:00-000;28.37;28.37;28.37;28.37;455;28.3712
29.11.2021;13:57:00-000;28.41;28.41;28.41;28.41;509;28.4087
29.11.2021;14:00:00-000;28.48;28.48;28.48;28.48;101;28.48
29.11.2021;14:04:00-000;28.5;28.5;28.5;28.5;200;28.5
29.11.2021;14:10:00-000;28.48;28.48;28.48;28.48;100;28.48
29.11.2021;14:11:00-000;28.49;28.49;28.49;28.49;200;28.49
