Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;08:06:00-000;2.2401;2.2401;2.2401;2.2401;1100;2.2401
29.11.2021;09:01:00-000;2.28;2.28;2.28;2.28;1500;2.28
29.11.2021;09:30:00-000;2.27;2.27;2.2507;2.265;7135;2.264
29.11.2021;09:32:00-000;2.265;2.265;2.2527;2.2527;2250;2.2565
29.11.2021;09:33:00-000;2.265;2.265;2.23;2.2369;12683;2.2426
29.11.2021;09:35:00-000;2.235;2.235;2.23;2.235;1273;2.2384
29.11.2021;09:36:00-000;2.23;2.235;2.23;2.235;1507;2.2383
29.11.2021;09:37:00-000;2.235;2.235;2.23;2.235;3397;2.2337
29.11.2021;09:38:00-000;2.235;2.235;2.22;2.22;9672;2.2295
29.11.2021;09:39:00-000;2.22;2.23;2.22;2.225;763;2.2258
29.11.2021;09:40:00-000;2.225;2.2289;2.22;2.22;2105;2.2268
29.11.2021;09:41:00-000;2.225;2.2278;2.225;2.225;1110;2.2261
29.11.2021;09:42:00-000;2.225;2.225;2.225;2.225;309;2.2256
29.11.2021;09:43:00-000;2.225;2.225;2.205;2.22;13260;2.2151
29.11.2021;09:44:00-000;2.2;2.2025;2.19;2.19;5476;2.1999
29.11.2021;09:45:00-000;2.195;2.195;2.19;2.195;800;2.1988
29.11.2021;09:46:00-000;2.19;2.195;2.18;2.195;15623;2.1901
29.11.2021;09:47:00-000;2.19;2.2;2.19;2.2;200;2.195
29.11.2021;09:48:00-000;2.194;2.195;2.19;2.195;2322;2.1926
29.11.2021;09:49:00-000;2.1999;2.1999;2.19;2.19;1301;2.1954
29.11.2021;09:50:00-000;2.195;2.2;2.195;2.195;2976;2.1989
29.11.2021;09:51:00-000;2.2;2.205;2.195;2.2;4221;2.1993
29.11.2021;09:52:00-000;2.2017;2.2017;2.19;2.1914;7804;2.199
29.11.2021;09:53:00-000;2.195;2.195;2.191;2.195;950;2.1939
29.11.2021;09:54:00-000;2.2;2.205;2.195;2.205;918;2.2022
29.11.2021;09:55:00-000;2.21;2.23;2.21;2.23;6869;2.2151
29.11.2021;09:56:00-000;2.23;2.24;2.23;2.2301;4644;2.2305
29.11.2021;09:57:00-000;2.235;2.24;2.235;2.24;700;2.2364
29.11.2021;09:59:00-000;2.23;2.23;2.225;2.225;7200;2.2296
29.11.2021;10:00:00-000;2.22;2.22;2.215;2.22;4675;2.2199
29.11.2021;10:01:00-000;2.215;2.215;2.21;2.215;3900;2.2114
29.11.2021;10:02:00-000;2.215;2.215;2.2123;2.2123;1100;2.2125
29.11.2021;10:03:00-000;2.21;2.215;2.21;2.215;1100;2.2187
29.11.2021;10:04:00-000;2.21;2.215;2.2;2.2;7625;2.2103
29.11.2021;10:05:00-000;2.2;2.215;2.2;2.215;5939;2.2098
29.11.2021;10:06:00-000;2.215;2.215;2.2108;2.215;2433;2.2115
29.11.2021;10:07:00-000;2.215;2.215;2.19;2.19;10274;2.2025
29.11.2021;10:08:00-000;2.195;2.195;2.195;2.195;350;2.1953
29.11.2021;10:09:00-000;2.195;2.195;2.19;2.195;955;2.1995
29.11.2021;10:10:00-000;2.195;2.195;2.19;2.195;1291;2.192
29.11.2021;10:11:00-000;2.19;2.195;2.19;2.195;303;2.1933
29.11.2021;10:12:00-000;2.195;2.2;2.195;2.2;970;2.1986
29.11.2021;10:13:00-000;2.19;2.19;2.18;2.19;7100;2.1896
29.11.2021;10:14:00-000;2.18;2.19;2.18;2.18;6594;2.1877
29.11.2021;10:15:00-000;2.185;2.2;2.18;2.2;8414;2.1906
29.11.2021;10:16:00-000;2.195;2.2089;2.19;2.205;14203;2.2033
29.11.2021;10:17:00-000;2.21;2.21;2.2;2.205;713;2.207
29.11.2021;10:18:00-000;2.205;2.205;2.205;2.205;100;2.205
