Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;41.08;41.08;41.08;41.08;4736;41.0801
29.11.2021;09:33:00-000;40.38;40.38;40.38;40.38;140;40.3393
29.11.2021;09:34:00-000;40.46;40.46;40.46;40.46;101;40.4603
29.11.2021;09:36:00-000;40.94;40.94;40.6;40.6;270;40.7186
29.11.2021;09:37:00-000;40.585;40.71;40.49;40.49;1141;40.5659
29.11.2021;09:38:00-000;40.49;40.6;40.38;40.6;595;40.4355
29.11.2021;09:39:00-000;40.61;40.61;40.61;40.61;110;40.5951
29.11.2021;09:41:00-000;40.62;40.77;40.62;40.77;1866;40.6387
29.11.2021;09:42:00-000;40.675;40.8;40.62;40.62;364;40.6838
29.11.2021;09:48:00-000;40.62;40.62;40.62;40.62;129;40.6147
29.11.2021;09:49:00-000;40.61;40.63;40.61;40.63;463;40.6193
29.11.2021;09:50:00-000;40.68;40.78;40.57;40.66;5308;40.6402
29.11.2021;09:52:00-000;40.59;40.75;40.59;40.67;1329;40.6454
29.11.2021;09:54:00-000;40.58;40.74;40.58;40.74;771;40.6326
29.11.2021;09:55:00-000;40.57;40.58;40.57;40.57;854;40.5712
29.11.2021;09:56:00-000;40.51;40.52;40.475;40.475;1362;40.4911
29.11.2021;09:57:00-000;40.5;40.51;40.5;40.51;280;40.4923
29.11.2021;09:58:00-000;40.54;40.54;40.54;40.54;378;40.5365
29.11.2021;10:00:00-000;40.555;40.555;40.51;40.51;439;40.5149
29.11.2021;10:02:00-000;40.56;40.56;40.56;40.56;571;40.5768
29.11.2021;10:03:00-000;40.66;40.66;40.66;40.66;120;40.65
29.11.2021;10:04:00-000;40.54;40.54;40.54;40.54;103;40.5417
29.11.2021;10:07:00-000;40.65;40.65;40.65;40.65;105;40.6457
29.11.2021;10:08:00-000;40.52;40.52;40.445;40.445;2124;40.5046
29.11.2021;10:09:00-000;40.5;40.605;40.5;40.605;1655;40.5158
29.11.2021;10:12:00-000;40.46;40.57;40.44;40.57;1025;40.4872
29.11.2021;10:13:00-000;40.49;40.49;40.49;40.49;702;40.4809
29.11.2021;10:14:00-000;40.44;40.44;40.39;40.4;1427;40.4113
29.11.2021;10:15:00-000;40.39;40.42;40.37;40.4;2414;40.4004
