Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;13.61;13.61;13.61;13.61;2249;13.61
29.11.2021;09:45:00-000;13.58;13.58;13.58;13.58;300;13.58
29.11.2021;10:05:00-000;13.59;13.59;13.59;13.59;400;13.59
29.11.2021;10:08:00-000;13.6;13.6;13.6;13.6;100;13.6
29.11.2021;10:10:00-000;13.6;13.6;13.58;13.58;1300;13.5846
29.11.2021;10:13:00-000;13.57;13.57;13.56;13.56;339;13.5676
29.11.2021;10:15:00-000;13.565;13.57;13.565;13.5698;953;13.5686
29.11.2021;10:25:00-000;13.5689;13.57;13.5689;13.57;617;13.5693
29.11.2021;10:38:00-000;13.565;13.57;13.565;13.57;200;13.5675
29.11.2021;10:46:00-000;13.57;13.57;13.57;13.57;100;13.57
29.11.2021;10:47:00-000;13.57;13.57;13.57;13.57;100;13.57
29.11.2021;10:49:00-000;13.57;13.57;13.57;13.57;100;13.57
29.11.2021;10:55:00-000;13.57;13.57;13.57;13.57;100;13.57
29.11.2021;10:57:00-000;13.5697;13.5697;13.5697;13.5697;500;13.5697
29.11.2021;11:01:00-000;13.57;13.57;13.57;13.57;100;13.57
29.11.2021;11:09:00-000;13.57;13.57;13.57;13.57;200;13.57
29.11.2021;11:16:00-000;13.59;13.59;13.59;13.59;200;13.59
29.11.2021;11:23:00-000;13.59;13.59;13.59;13.59;200;13.59
29.11.2021;11:33:00-000;13.6;13.6;13.6;13.6;200;13.6
29.11.2021;11:38:00-000;13.5797;13.5797;13.5797;13.5797;198;13.5797
29.11.2021;11:40:00-000;13.6;13.6;13.6;13.6;100;13.6
29.11.2021;11:41:00-000;13.6;13.6;13.6;13.6;200;13.6
29.11.2021;11:47:00-000;13.6;13.6;13.6;13.6;200;13.6
29.11.2021;11:52:00-000;13.6;13.6;13.6;13.6;100;13.6
29.11.2021;11:54:00-000;13.6;13.6;13.6;13.6;199;13.6
29.11.2021;12:06:00-000;13.5794;13.5794;13.5794;13.5794;206;13.5794
29.11.2021;12:09:00-000;13.58;13.58;13.58;13.58;867;13.58
29.11.2021;12:36:00-000;13.6;13.6;13.57;13.57;977;13.5939
29.11.2021;12:41:00-000;13.6;13.6;13.5658;13.5658;700;13.5853
29.11.2021;12:47:00-000;13.6;13.6;13.6;13.6;1144;13.6
29.11.2021;12:48:00-000;13.6;13.6;13.6;13.6;100;13.6
29.11.2021;12:53:00-000;13.6;13.6;13.6;13.6;300;13.6
29.11.2021;12:57:00-000;13.6;13.6;13.58;13.6;6280;13.5995
29.11.2021;12:59:00-000;13.62;13.62;13.62;13.62;1050;13.62
29.11.2021;13:01:00-000;13.62;13.62;13.62;13.62;3680;13.62
29.11.2021;13:05:00-000;13.62;13.62;13.62;13.62;200;13.62
29.11.2021;13:08:00-000;13.63;13.63;13.61;13.6298;3680;13.6197
29.11.2021;13:10:00-000;13.615;13.615;13.615;13.615;200;13.615
