Date;Time;Open;High;Low;Close;Volume;VWAP
29.11.2021;09:30:00-000;211.13;211.13;211.13;211.13;3438;211.131
29.11.2021;09:32:00-000;211.36;211.36;211.36;211.36;111;211.421
29.11.2021;09:33:00-000;212;212;212;212;174;211.879
29.11.2021;09:37:00-000;210.41;210.41;210.41;210.41;267;210.405
29.11.2021;09:44:00-000;210.205;210.205;210.205;210.205;1356;210.2
29.11.2021;09:46:00-000;210.208;210.208;210.208;210.208;226;210.189
29.11.2021;09:51:00-000;209.39;209.39;209.39;209.39;115;209.417
29.11.2021;09:55:00-000;209.15;209.15;209.01;209.01;505;209.062
29.11.2021;09:59:00-000;209.54;209.54;209.54;209.54;227;209.402
29.11.2021;10:00:00-000;209.17;209.54;209.17;209.54;201;209.355
29.11.2021;10:21:00-000;208.83;208.83;208.83;208.83;159;208.83
29.11.2021;10:22:00-000;208.965;208.965;208.77;208.77;205;208.866
29.11.2021;10:26:00-000;208.51;208.51;208.51;208.51;100;208.51
29.11.2021;10:30:00-000;207.96;207.96;207.96;207.96;117;207.968
29.11.2021;10:36:00-000;207.675;207.675;207.675;207.675;120;207.7
29.11.2021;10:48:00-000;207.3;207.3;207.29;207.29;319;207.304
29.11.2021;10:50:00-000;206.89;206.89;206.89;206.89;101;206.891
29.11.2021;11:00:00-000;207.41;207.41;207.321;207.321;220;207.351
29.11.2021;11:05:00-000;207.93;207.93;207.93;207.93;105;207.925
29.11.2021;11:07:00-000;207.69;207.69;207.69;207.69;502;207.691
29.11.2021;11:10:00-000;207.83;207.83;207.81;207.81;204;207.822
29.11.2021;11:20:00-000;207.84;207.84;207.84;207.84;354;207.83
29.11.2021;11:27:00-000;207.535;207.535;207.535;207.535;125;207.535
29.11.2021;11:39:00-000;207.53;207.72;207.41;207.72;1521;207.512
29.11.2021;11:41:00-000;207.88;207.88;207.88;207.88;245;207.88
29.11.2021;11:46:00-000;208.015;208.015;208.015;208.015;495;208.019
29.11.2021;12:00:00-000;208.275;208.359;208.275;208.359;615;208.292
29.11.2021;12:03:00-000;208.495;208.495;208.495;208.495;370;208.495
29.11.2021;12:04:00-000;208.72;208.72;208.72;208.72;148;208.718
29.11.2021;12:17:00-000;208.93;208.93;208.93;208.93;335;208.938
29.11.2021;12:25:00-000;209.5;209.5;209.5;209.5;1310;209.5
29.11.2021;12:37:00-000;209.92;209.92;209.92;209.92;108;209.92
29.11.2021;12:51:00-000;209.925;209.925;209.925;209.925;305;209.924
29.11.2021;13:06:00-000;210.34;210.36;210.34;210.36;305;210.347
29.11.2021;13:11:00-000;210.34;210.42;210.34;210.42;418;210.398
29.11.2021;13:15:00-000;209.85;209.85;209.85;209.85;102;209.853
29.11.2021;13:16:00-000;209.67;209.67;209.67;209.67;235;209.677
29.11.2021;13:18:00-000;209.39;209.39;209.39;209.39;1548;209.391
29.11.2021;13:24:00-000;209.58;209.58;209.58;209.58;102;209.581
29.11.2021;13:43:00-000;209.05;209.05;209.05;209.05;100;209.05
29.11.2021;13:45:00-000;209.2;209.2;209.2;209.2;119;209.2
29.11.2021;13:49:00-000;209.405;209.405;209.325;209.325;300;209.378
29.11.2021;13:50:00-000;209.285;209.285;209.285;209.285;302;209.284
29.11.2021;13:58:00-000;209.424;209.424;209.424;209.424;100;209.424
29.11.2021;14:05:00-000;209.42;209.42;209.42;209.42;286;209.435
29.11.2021;14:10:00-000;209.275;209.275;209.275;209.275;201;209.275
29.11.2021;14:24:00-000;208.813;208.813;208.813;208.813;780;208.814
29.11.2021;14:28:00-000;209.01;209.01;209.01;209.01;178;209.032
29.11.2021;14:32:00-000;208.815;208.815;208.815;208.815;1000;208.815
29.11.2021;14:45:00-000;208.81;208.81;208.81;208.81;227;208.811
29.11.2021;14:48:00-000;208.94;208.94;208.94;208.94;155;208.934
29.11.2021;14:52:00-000;208.975;208.99;208.975;208.99;615;208.982
29.11.2021;14:53:00-000;208.97;209.028;208.83;208.95;1366;208.937
29.11.2021;14:54:00-000;208.91;208.91;208.77;208.827;1025;208.829
29.11.2021;14:55:00-000;208.836;208.836;208.836;208.836;283;208.819
29.11.2021;15:00:00-000;208.82;208.86;208.82;208.86;302;208.84
29.11.2021;15:04:00-000;208.79;208.79;208.79;208.79;100;208.79
29.11.2021;15:06:00-000;208.689;208.689;208.689;208.689;303;208.692
29.11.2021;15:09:00-000;208.845;208.845;208.845;208.845;200;208.845
29.11.2021;15:15:00-000;209.07;209.07;209.07;209.07;103;209.067
